"Daily Weather Observations for Sydney, New South Wales for July 2017"
"Prepared at 13:01 GMT on Monday  7 August 2017   IDCJDW2124.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,5.8,16.4,0,3.8,9.4,W,39,04:19,8.0,55,2,W,28,1030.6,15.3,47,2,S,20,1028.4
,2017-07-2,5.4,17.6,0,2.0,9.5,W,28,00:50,7.6,78,1,W,19,1028.3,16.1,44,1,ESE,4,1023.8
,2017-07-3,5.6,15.8,0,2.6,2.7,N,31,19:23,7.9,81,5,W,19,1021.5,15.4,57,6,NE,6,1015.1
,2017-07-4,7.9,21.8,0.2,0.6,9.3,,,,13.2,76,1,WNW,11,1013.4,21.5,23,3,WNW,20,1010.1
,2017-07-5,12.2,20.8,0,5.4,9.2,W,52,18:45,14.4,51,1,W,6,1014.8,18.7,36,2,NW,15,1010.1
,2017-07-6,9.1,18.2,0,4.8,9.7,WSW,37,10:36,11.5,62,1,WNW,15,1017.5,17.4,36,1,WNW,11,1015.1
,2017-07-7,6.6,19.1,0,3.6,9.4,WNW,35,15:03,8.8,73,1,W,13,1013.6,18.6,24,3,WNW,13,1009.6
,2017-07-8,7.0,18.1,0,3.2,9.3,W,37,13:38,9.0,66,1,W,17,1016.8,17.0,36,7,WNW,17,1014.8
,2017-07-9,7.4,18.0,0,2.0,9.5,W,33,10:46,9.2,69,1,W,9,1021.2,17.6,33,1,WNW,11,1019.1
,2017-07-10,7.0,17.3,0,3.6,9.4,W,39,12:52,9.4,67,1,WNW,15,1026.5,16.7,36,7,W,22,1024.4
,2017-07-11,6.6,18.4,0,2.8,9.2,SSW,39,14:16,9.0,63,1,W,24,1030.7,17.7,46,3,S,24,1029.7
,2017-07-12,7.8,14.8,1.6,3.4,0.5,W,31,04:04,8.9,76,3,WNW,17,1034.0,13.0,79,7,S,11,1031.5
,2017-07-13,8.0,17.4,10.4,1.0,9.3,ENE,30,15:15,9.6,80,1,W,17,1029.1,17.2,49,1,ENE,15,1023.9
,2017-07-14,9.6,20.8,0,4.0,6.1,NNW,30,22:23,12.2,67,7,NW,13,1019.3,19.3,41,7,NNW,17,1015.1
,2017-07-15,12.1,19.8,0.4,4.0,6.1,SW,30,21:52,13.0,71,7,WNW,17,1019.7,17.9,39,3,E,15,1017.9
,2017-07-16,7.7,18.4,0,1.8,9.4,WSW,31,01:41,9.4,61,1,W,22,1023.9,16.8,32,1,ENE,13,1020.7
,2017-07-17,7.9,19.3,0,4.2,6.5,W,24,09:50,9.8,75,6,WNW,15,1020.7,17.3,44,7,WNW,7,1017.0
,2017-07-18,9.1,22.9,0,1.2,9.8,NW,54,12:26,14.1,62,1,W,11,1014.0,22.6,30,1,NW,20,1007.1
,2017-07-19,10.6,17.5,0,6.6,9.1,WSW,57,11:52,12.0,53,4,W,15,1007.3,16.9,33,3,W,35,1006.4
,2017-07-20,9.3,17.5,0,4.4,9.6,WSW,63,16:48,11.4,55,1,WNW,20,1013.7,15.8,26,1,WSW,28,1011.4
,2017-07-21,7.5,18.0,0,4.2,9.2,W,46,08:06,9.6,53,1,W,30,1020.7,17.4,37,1,SSW,24,1020.6
,2017-07-22,6.0,19.1,0,3.6,9.8,W,31,03:29,7.9,64,1,W,19,1024.0,18.7,27,0,W,7,1019.0
,2017-07-23,6.5,22.1,0,3.6,9.9,NW,44,19:06,10.8,49,1,W,9,1017.3,22.1,22,2,WNW,20,1012.9
,2017-07-24,10.0,21.3,0,7.2,9.6,WSW,31,13:44,12.7,51,1,WNW,13,1019.7,20.9,24,1,WSW,13,1018.0
,2017-07-25,7.9,20.6,0,4.2,9.9,NW,30,21:43,11.0,63,1,W,11,1023.2,19.7,32,0,WNW,9,1019.0
,2017-07-26,11.0,21.3,0,2.8,9.9,W,70,14:41,18.0,39,1,WNW,31,1015.5,20.2,27,1,W,41,1014.7
,2017-07-27,9.1,17.5,0,4.8,9.7,W,31,03:07,11.2,61,1,W,19,1025.2,17.1,44,2,E,9,1022.9
,2017-07-28,11.2,19.1,0,4.2,8.3,WSW,67,12:47,13.1,51,5,W,13,1018.1,18.9,25,1,WSW,33,1015.8
,2017-07-29,8.2,21.2,0,4.6,9.9,W,31,00:34,10.7,52,2,WNW,20,1021.5,20.9,23,1,N,15,1015.9
,2017-07-30,10.7,26.5,0,6.0,6.2,NNW,44,10:28,18.4,25,3,NNW,31,1014.8,24.8,22,7,NNW,22,1011.2
,2017-07-31,15.6,16.5,0,4.4,0.0,WSW,56,14:01,15.7,72,7,W,7,1018.5,11.8,85,7,W,24,1014.8
