"Daily Weather Observations for Darwin, Northern Territory for August 2016"
"Prepared at 13:13 GMT on Saturday 12 August 2017   IDCJDW8014.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,17.6,31.4,0,6.8,10.7,NW,31,14:57,24.4,60,1,SSW,9,1013.1,30.3,44,1,NW,19,1010.0
,2016-08-2,18.7,32.6,0,4.6,10.8,N,33,12:54,25.1,59,0,ESE,13,1012.3,30.8,48,2,NNW,20,1008.7
,2016-08-3,22.1,31.6,0,8.0,10.9,SE,48,09:58,24.3,25,1,ESE,30,1013.6,30.7,17,0,ESE,11,1011.2
,2016-08-4,18.8,30.6,0,11.6,10.9,ESE,46,08:44,20.5,20,1,SE,31,1014.9,29.3,10,1,SE,13,1011.9
,2016-08-5,13.3,29.4,0,7.2,10.9,E,44,09:43,19.7,23,1,SE,17,1016.2,29.0,11,1,WNW,15,1012.1
,2016-08-6,14.8,29.8,0,7.6,10.7,NW,31,14:34,21.0,48,2,E,22,1016.0,27.9,36,1,NW,22,1011.7
,2016-08-7,15.3,30.0,0,8.2,10.7,NNW,33,14:48,22.5,52,1,E,17,1015.5,28.1,48,2,N,22,1012.1
,2016-08-8,18.7,32.2,0,6.8,4.5,E,39,15:25,23.0,68,7,ESE,9,1016.3,30.8,25,7,ENE,17,1012.0
,2016-08-9,21.0,32.9,0,5.2,10.2,E,39,11:07,25.6,69,5,E,17,1016.0,30.6,38,3,NW,17,1011.4
,2016-08-10,20.5,32.7,0,8.0,11.0,NE,43,09:58,26.0,67,1,NE,20,1015.8,30.8,36,1,NNW,26,1011.7
,2016-08-11,20.9,34.1,0,10.8,10.8,E,39,09:40,26.1,73,1,ENE,19,1015.9,30.0,46,1,N,26,1011.0
,2016-08-12,20.1,34.6,0,6.2,10.8,SE,48,13:39,26.2,70,0,ENE,15,1016.2,33.8,16,1,ENE,17,1011.2
,2016-08-13,19.8,34.3,0,7.4,10.9,ENE,44,15:44,26.5,68,0,ENE,6,1015.9,32.3,36,1,NW,20,1010.8
,2016-08-14,20.7,34.4,0,7.2,11.0,E,48,12:16,26.7,63,2,E,17,1015.9,33.7,17,1,ESE,26,1011.3
,2016-08-15,19.7,34.1,0,8.8,11.1,SE,52,13:10,26.4,34,0,E,13,1015.6,33.4,12,0,SE,24,1011.1
,2016-08-16,17.7,34.2,0,8.6,11.1,ESE,41,10:55,24.3,48,0,SE,15,1015.3,32.0,26,2,NNW,24,1010.9
,2016-08-17,18.1,32.9,0,10.4,11.2,WNW,35,13:08,26.6,67,0,SSE,2,1014.4,30.1,49,1,NNW,24,1009.9
,2016-08-18,20.3,31.5,0,7.2,9.5,NW,30,12:14,26.4,74,4,NNE,11,1013.1,30.6,44,3,NW,19,1008.7
,2016-08-19,22.2,30.2,0,5.6,3.0,ESE,48,16:13,26.0,77,6,NNE,13,1012.6,28.0,51,7,E,30,1010.1
,2016-08-20,22.6,33.4,0,4.8,10.8,NNE,43,14:30,27.2,68,2,NE,15,1013.0,33.3,29,1,NNE,30,1008.5
,2016-08-21,21.8,32.3,0,7.2,10.9,NNE,41,14:21,26.4,71,2,ENE,11,1012.6,31.5,38,1,N,22,1008.2
,2016-08-22,22.7,31.5,0,7.0,10.1,NNW,33,12:43,25.6,76,3,N,15,1011.2,30.3,42,1,WNW,17,1007.2
,2016-08-23,21.6,31.1,0,7.0,11.2,NNW,33,10:55,27.0,66,6,WNW,17,1011.3,30.1,47,6,W,20,1007.6
,2016-08-24,21.5,32.1,0,8.0,10.8,WNW,39,15:54,28.0,60,2,NNW,13,1011.7,31.8,46,6,WNW,28,1007.7
,2016-08-25,22.5,34.2,0,7.0,10.8,WNW,33,17:25,27.5,51,3,S,15,1012.0,32.4,31,2,NW,22,1008.6
,2016-08-26,24.7,34.0,0,9.6,10.7,NNE,46,13:07,27.1,71,1,E,28,1014.2,32.5,45,1,NNE,30,1010.5
,2016-08-27,23.6,33.9,0,6.6,11.1,E,50,12:27,27.8,37,1,ENE,26,1015.9,33.0,17,0,NW,22,1011.8
,2016-08-28,19.9,32.6,0,7.6,11.1,N,39,14:17,26.7,68,1,NE,17,1016.0,30.3,35,1,N,26,1011.1
,2016-08-29,19.6,32.4,0,7.6,11.1,NNE,39,16:37,26.4,65,0,NE,15,1015.1,30.9,44,1,NNE,28,1010.5
,2016-08-30,23.0,34.0,0,4.8,11.3,N,39,15:01,27.7,72,3,ENE,20,1016.2,32.9,45,3,NNE,30,1011.3
,2016-08-31,23.9,34.8,0,4.2,11.3,N,43,13:52,27.5,71,3,E,20,1016.1,32.5,43,1,NNW,30,1011.1
