"Daily Weather Observations for Darwin, Northern Territory for September 2016"
"Prepared at 13:12 GMT on Friday 11 August 2017   IDCJDW8014.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,23.8,31.7,0,9.2,8.3,NW,31,15:52,28.2,75,5,NE,9,1013.7,30.6,57,2,NNW,24,1009.8
,2016-09-2,25.9,32.1,0,7.2,8.1,NW,43,15:12,28.5,73,6,W,9,1012.2,31.3,59,2,WNW,30,1008.2
,2016-09-3,25.0,32.8,1.8,6.8,10.6,NW,37,12:47,28.5,74,4,WNW,15,1012.3,31.5,59,2,NW,22,1008.9
,2016-09-4,25.6,33.1,0,6.2,4.3,ENE,59,11:14,28.5,66,2,ENE,22,1014.6,31.4,44,5,ENE,24,1011.5
,2016-09-5,23.4,35.0,0,4.0,11.0,NE,44,12:08,28.3,47,1,E,20,1016.0,33.3,38,4,NNW,28,1011.8
,2016-09-6,24.0,35.2,0,8.0,10.7,NW,41,14:00,29.2,55,1,SE,13,1015.8,31.9,43,5,NNW,28,1011.4
,2016-09-7,22.8,33.0,0,8.6,11.2,WNW,35,13:48,28.5,66,4,N,6,1016.1,31.4,57,2,WNW,24,1011.3
,2016-09-8,23.9,33.9,0,7.2,11.2,N,39,16:17,28.7,68,3,NE,20,1014.9,32.3,43,1,N,24,1011.1
,2016-09-9,22.9,32.8,0,7.4,9.9,N,41,16:02,28.9,64,3,ENE,15,1014.4,31.7,52,5,N,26,1009.9
,2016-09-10,23.4,32.4,2.0,6.0,10.4,NW,35,13:34,28.9,66,1,SW,2,1013.2,30.2,63,2,NNW,24,1009.3
,2016-09-11,23.8,33.9,0,7.0,10.7,NNE,44,15:56,29.8,63,1,N,6,1012.4,32.3,44,3,N,30,1008.7
,2016-09-12,26.0,33.6,0,8.0,10.6,WNW,31,12:10,28.8,71,3,SSW,11,1012.9,32.0,50,1,NNW,22,1009.0
,2016-09-13,24.8,33.0,0,7.4,7.9,NNW,31,12:26,28.9,66,3,N,15,1013.6,32.4,50,4,NNW,20,1009.1
,2016-09-14,23.8,33.1,0,7.2,9.2,NW,33,12:38,28.9,66,2,NNE,15,1013.7,31.8,49,3,NNW,17,1009.2
,2016-09-15,24.6,32.9,0,5.6,9.7,N,31,12:04,29.3,59,2,NNW,13,1013.5,31.7,44,3,NW,20,1009.5
,2016-09-16,24.8,32.9,0,6.6,6.2,NE,43,23:21,29.6,69,5,NNE,9,1013.6,31.7,57,7,NNW,20,1009.6
,2016-09-17,23.5,34.0,7.2,7.6,9.5,NE,41,13:46,28.2,73,1,E,20,1012.7,32.7,48,6,NE,26,1009.1
,2016-09-18,25.2,30.1,7.2,6.4,0.5,ENE,54,13:53,26.7,86,7, ,Calm,1011.5,24.9,89,7,SE,11,1008.4
,2016-09-19,22.8,30.8,33.4,4.4,1.7,SW,30,12:48,25.0,90,7,ESE,17,1011.0,29.2,76,7,S,9,1007.7
,2016-09-20,23.8,32.8,0.6,3.0,9.3,NNW,30,16:33,28.6,76,3,NNE,9,1012.0,32.1,52,3,N,20,1009.1
,2016-09-21,25.1,33.3,0,5.8,10.6,ENE,33,15:12,29.6,69,3,W,4,1012.9,32.1,60,3,N,19,1009.7
,2016-09-22,25.0,35.5,0,6.8,9.3,NNE,39,16:54,28.1,70,5,ENE,20,1012.7,34.3,41,2,N,22,1008.9
,2016-09-23,26.1,31.8,0,5.0,4.7,NE,33,14:00,28.9,68,7,ENE,17,1012.4,29.6,63,7,NE,11,1007.8
,2016-09-24,24.5,33.0,8.6,5.2,10.6,N,31,12:18,29.0,68,4,E,11,1011.6,32.3,55,2,NNW,17,1006.8
,2016-09-25,26.5,33.3,0,8.0,9.3,WNW,37,14:09,29.4,74,3,SSW,7,1010.2,32.6,50,4,WNW,30,1007.2
,2016-09-26,26.2,34.1,0,7.2,8.0,N,33,15:21,30.5,68,6,NNE,7,1011.3,32.4,59,6,N,17,1008.0
,2016-09-27,26.4,33.4,0,6.8,9.9,WNW,35,13:55,29.9,67,3,NNW,13,1012.4,32.9,55,6,NW,22,1008.3
,2016-09-28,25.4,34.7,0,7.4,10.4,N,30,09:34,29.3,75,5,NNE,11,1011.9,34.0,39,3,WNW,17,1008.1
,2016-09-29,25.5,34.3,0,7.4,9.5,SSW,69,16:53,29.9,71,5,SW,13,1010.3,30.8,55,7,W,26,1006.3
,2016-09-30,25.9,32.8,3.6,6.6,5.7,E,44,15:43,29.2,78,7,W,7,1010.6,29.8,57,6,NW,22,1008.1
