"Daily Weather Observations for Darwin, Northern Territory for October 2016"
"Prepared at 13:09 GMT on Thursday 10 August 2017   IDCJDW8014.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,23.4,33.8,9.8,3.0,10.7,NW,35,14:51,29.9,71,6,NNW,9,1011.9,32.0,52,3,WNW,24,1008.4
,2016-10-2,24.9,33.7,0,7.6,10.8,WNW,35,16:04,30.2,70,4,W,11,1012.6,33.0,57,6,WNW,26,1008.0
,2016-10-3,25.6,34.1,0,9.2,7.8,NE,41,13:41,29.7,77,5,S,11,1011.9,27.9,83,5,N,11,1008.2
,2016-10-4,23.2,34.4,13.8,5.8,8.7,E,50,22:02,27.0,76,6,ESE,11,1012.0,32.6,50,6,NNE,22,1007.0
,2016-10-5,23.7,34.7,2.4,6.4,7.7,ESE,37,11:08,26.6,82,7,ESE,17,1012.7,34.0,35,5,ENE,20,1009.0
,2016-10-6,24.8,35.8,0,8.0,9.3,E,41,11:59,28.7,40,6,ESE,17,1013.3,35.4,26,6,ENE,22,1009.2
,2016-10-7,26.3,36.2,0,8.0,11.0,E,44,08:46,29.9,60,4,ENE,30,1014.1,34.9,31,2,N,24,1009.6
,2016-10-8,25.7,37.5,0,8.0,11.5,E,50,12:40,30.1,64,1,ENE,24,1014.8,36.8,16,1,N,15,1009.1
,2016-10-9,22.8,34.3,5.4,10.4,11.2,NE,56,05:13,29.4,66,4,E,7,1014.1,33.5,35,2,N,24,1009.2
,2016-10-10,24.4,33.6,0,7.2,10.5,NW,31,16:26,30.1,63,1,ENE,11,1013.2,31.6,58,2,NNW,19,1008.9
,2016-10-11,24.4,33.2,4.6,6.6,10.0,SSW,46,18:30,29.7,68,2,N,7,1012.3,32.7,55,5,WNW,22,1008.6
,2016-10-12,24.6,34.2,12.2,4.6,10.1,SE,56,19:54,30.0,72,2,SSE,9,1011.9,33.7,47,2,NNW,22,1007.3
,2016-10-13,23.5,33.2,2.0,8.8,9.0,NW,35,14:40,30.0,69,2,SE,7,1013.0,31.8,60,2,NW,26,1007.8
,2016-10-14,25.4,33.2,0,6.0,9.9,NNW,35,13:55,29.5,64,3,NE,15,1012.6,32.8,51,2,NNW,22,1007.5
,2016-10-15,24.7,33.2,0,7.6,11.0,NNW,39,14:22,31.0,55,4,NE,13,1012.0,32.2,50,1,N,26,1007.8
,2016-10-16,24.3,33.8,0,7.4,10.0,NW,35,12:57,29.9,61,4,ESE,9,1012.5,31.8,50,5,NNW,20,1008.6
,2016-10-17,25.1,35.2,0,7.4,11.5,NNE,39,09:07,30.1,59,1,NNE,24,1010.5,34.7,34,1,NE,20,1007.7
,2016-10-18,26.3,34.0,0,8.0,7.8,NNE,39,14:18,30.3,66,5,NE,15,1012.1,33.0,48,3,NNE,28,1008.3
,2016-10-19,25.9,34.7,0,6.2,8.9,SSE,44,14:19,30.6,62,3,ENE,13,1012.3,29.6,73,3,WNW,13,1008.0
,2016-10-20,25.1,32.6,17.4,7.0,6.9,SE,43,14:28,29.6,65,8,ESE,9,1011.9,25.8,77,6,S,20,1007.6
,2016-10-21,24.3,34.5,5.2,2.8,8.6,E,44,12:14,30.0,68,4,ESE,9,1012.4,34.1,43,3,NE,22,1008.1
,2016-10-22,24.0,26.7,23.6,9.2,0.0,ENE,41,09:28,24.5,88,8,E,24,1014.8,25.9,79,8,SE,24,1011.2
,2016-10-23,23.1,33.3,0.4,2.6,11.4,SE,43,09:25,26.3,64,6,SE,31,1013.3,32.4,45,6,E,17,1008.9
,2016-10-24,25.0,34.9,0,7.2,11.5,ESE,39,10:00,29.3,60,1,ENE,20,1011.6,33.6,32,1,W,28,1007.7
,2016-10-25,24.8,33.3,0,7.6,9.2,NW,33,15:32,27.9,72,6,ENE,7,1012.2,31.8,59,3,NNW,22,1008.2
,2016-10-26,23.0,32.6,8.2,6.8,7.5,ESE,56,19:00,27.9,80,4,ESE,7,1013.4,30.0,64,4,NE,15,1008.9
,2016-10-27,23.5,32.3,18.2,6.0,7.1,ESE,35,17:32,29.2,75,2,NE,4,1012.8,31.7,64,5,NNW,22,1008.1
,2016-10-28,25.8,32.7,6.0,5.8,4.4,NW,35,14:13,30.1,66,7,WNW,9,1011.7,30.4,68,7,WNW,24,1007.9
,2016-10-29,25.3,33.8,0.8,3.4,10.5,NW,33,14:57,30.0,69,3,WSW,11,1011.4,32.8,60,2,WNW,28,1007.3
,2016-10-30,25.5,33.7,0.8,5.4,9.0,N,31,22:15,30.8,62,3,WNW,11,1012.4,32.8,53,1,NNW,15,1007.9
,2016-10-31,25.7,33.7,0,8.4,10.0,NNW,33,14:29,30.6,62,4,NW,9,1011.3,33.0,55,3,NW,19,1007.6
