"Daily Weather Observations for Darwin, Northern Territory for November 2016"
"Prepared at 13:09 GMT on Wednesday  9 August 2017   IDCJDW8014.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,26.7,34.3,0,6.6,5.5,SSW,52,13:57,30.0,69,5,NW,13,1010.5,26.7,84,7,E,11,1007.9
,2016-11-2,25.6,34.6,2.2,5.6,9.7,SSW,46,18:17,29.7,67,6,S,17,1010.1,32.8,56,5,NW,20,1005.5
,2016-11-3,24.4,35.5,0,7.8,9.9,NW,35,16:09,30.7,67,2,NE,9,1010.8,34.0,53,6,NW,22,1006.7
,2016-11-4,25.9,34.1,0,5.2,10.4,NNW,33,22:06,31.3,65,1,NE,15,1011.0,33.7,57,1,NNW,20,1007.4
,2016-11-5,27.1,34.2,0,6.2,9.3,ESE,76,17:48,31.5,65,3,ENE,9,1011.0,33.8,58,2,NNW,19,1007.6
,2016-11-6,22.7,31.4,25.6,7.0,3.4,SSE,41,13:04,30.4,79,7,NNW,7,1011.9,25.9,93,7,NNW,11,1008.5
,2016-11-7,25.3,33.8,2.4,0.4,11.1,WNW,31,13:23,31.2,70,4,W,13,1011.9,33.1,57,6,WNW,20,1007.7
,2016-11-8,28.8,33.8,0,9.8,11.4,WNW,37,16:11,31.0,68,5,W,19,1011.3,33.2,61,5,WNW,26,1007.6
,2016-11-9,28.7,33.8,0,,11.7,NW,35,15:29,30.9,70,5,WNW,19,1010.9,33.0,61,1,NW,22,1007.2
,2016-11-10,28.7,34.9,0,8.0,10.9,WNW,35,16:25,31.2,73,4,NNW,15,1011.4,28.5,74,5,ESE,24,1008.2
,2016-11-11,27.1,34.7,0,6.2,10.7,NNW,31,17:06,30.7,73,5,W,6,1011.0,33.3,56,7,WNW,20,1007.3
,2016-11-12,26.8,34.7,0,8.0,11.8,WNW,30,13:29,31.7,62,6,NW,11,1011.2,34.1,53,6,WNW,22,1007.5
,2016-11-13,28.6,34.8,0,8.8,11.7,WNW,37,14:00,31.0,68,3,WSW,17,1010.5,34.4,52,3,WNW,26,1006.6
,2016-11-14,26.7,34.0,0.4,9.8,6.8,ENE,52,17:24,26.7,84,7,N,15,1011.3,33.3,56,7,WNW,13,1006.4
,2016-11-15,25.4,34.9,0.6,5.2,9.2,ENE,43,17:09,30.6,64,2,NE,6,1011.9,31.8,63,7,NNW,11,1007.3
,2016-11-16,25.7,35.2,0,5.4,11.3,NW,26,13:56,31.5,59,4,SSE,4,1011.5,33.7,51,7,WNW,17,1007.3
,2016-11-17,26.2,34.3,0,11.4,9.9,NE,54,22:40,31.1,58,2,SW,4,1011.2,32.4,58,3,NNW,17,1007.4
,2016-11-18,22.5,34.0,18.2,9.2,10.6,E,52,02:26,29.9,63,7,E,9,1010.1,32.8,51,7,NNE,7,1006.1
,2016-11-19,23.9,33.4,11.4,3.6,9.4,WNW,26,14:06,30.6,69,3,N,6,1009.4,32.2,61,5,NNW,13,1006.8
,2016-11-20,21.2,32.7,41.0,11.6,5.9,SSE,43,04:36,24.3,91,8,S,9,1011.0,32.0,52,1,ENE,7,1007.1
,2016-11-21,24.3,31.9,0,5.2,2.5,ESE,20,09:16,25.2,83,7,ESE,11,1011.1,31.0,58,7,W,9,1006.3
,2016-11-22,24.7,32.0,0,4.0,7.1,N,37,13:35,30.1,67,6,ENE,4,1009.7,26.7,82,5,NE,19,1006.0
,2016-11-23,22.8,30.3,80.6,,1.9,ENE,37,03:54,24.8,91,8,E,7,1010.5,28.7,71,7,NE,11,1006.3
,2016-11-24,24.0,33.4,0.2,1.2,8.5,N,24,15:39,29.1,71,7,ESE,7,1009.6,33.0,57,5,WNW,15,1005.7
,2016-11-25,25.2,33.9,0,6.0,10.0,WNW,28,15:44,30.3,66,1,NNE,9,1008.9,31.7,51,4,WNW,19,1006.0
,2016-11-26,24.0,31.8,2.8,8.0,1.9,E,48,06:31,24.7,84,8,SSE,9,1009.8,30.7,58,7, ,Calm,1006.7
,2016-11-27,24.6,34.2,0,0.4,10.9,NW,26,12:50,30.2,72,4,ENE,4,1010.3,33.3,47,1,WNW,17,1006.5
,2016-11-28,27.7,32.4,0,7.2,1.4,NNE,33,11:49,30.2,76,7,W,4,1010.1,27.5,82,7,SW,7,1007.2
,2016-11-29,25.8,35.1,0.8,4.8,6.4,SSE,46,16:21,31.7,68,7,WNW,9,1010.7,33.4,56,6,WNW,35,1007.2
,2016-11-30,22.6,34.0,22.0,7.4,11.8,WNW,33,14:32,31.3,75,2,W,9,1009.3,32.7,65,2,WNW,26,1006.0
