"Daily Weather Observations for Darwin, Northern Territory for December 2016"
"Prepared at 13:09 GMT on Tuesday  8 August 2017   IDCJDW8014.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,25.5,33.5,0,7.0,8.2,NNE,30,00:07,27.6,78,6,E,9,1009.5,33.3,58,7,WNW,20,1006.2
,2016-12-2,25.3,34.1,0,6.6,8.5,SE,30,05:25,28.8,66,5,ENE,20,1009.6,33.9,50,6,N,13,1006.8
,2016-12-3,25.9,33.5,8.6,,4.7,N,28,13:37,29.4,76,7,ESE,11,1010.6,30.7,67,7,NNW,19,1008.0
,2016-12-4,25.8,35.2,0,,12.0,ESE,33,13:13,30.2,72,4,SE,13,1010.6,34.0,50,4,NNW,13,1007.2
,2016-12-5,25.9,33.6,0,,10.3,N,28,14:10,30.7,61,5,ENE,9,1010.2,30.0,79,6,NNW,15,1006.6
,2016-12-6,25.5,33.8,1.2,4.4,9.0,NNW,33,12:43,31.0,67,3,SE,2,1010.4,33.3,56,3,N,15,1006.4
,2016-12-7,25.4,33.6,7.4,6.4,9.6,WNW,30,14:59,31.0,74,2,S,6,1010.0,32.6,63,7,WNW,22,1005.6
,2016-12-8,25.9,34.2,3.8,5.2,11.2,S,57,20:02,30.1,76,6,N,4,1008.4,33.3,56,2,WNW,19,1004.3
,2016-12-9,25.7,34.5,0.4,7.6,8.0,N,28,17:50,31.3,67,7,NW,9,1008.5,33.3,57,6,NNW,15,1005.5
,2016-12-10,25.5,34.6,0,4.8,8.7,NW,26,14:41,30.6,68,7,SSE,6,1010.7,33.1,56,7,WNW,19,1006.2
,2016-12-11,27.9,34.0,0,5.6,5.5,E,37,18:06,31.7,67,7, ,Calm,1009.5,30.5,68,7,W,9,1006.6
,2016-12-12,24.9,34.5,0,4.8,9.9,E,37,00:34,29.6,67,2,SE,4,1009.4,32.8,56,4,N,20,1006.8
,2016-12-13,26.6,34.2,0.4,3.2,6.2,NE,70,11:39,30.9,69,3,NE,7,1009.7,33.6,54,4,NNW,11,1006.1
,2016-12-14,24.5,33.4,8.0,5.6,7.2,ESE,48,16:04,29.2,81,7,NE,6,1009.6,32.6,60,7,WNW,19,1006.4
,2016-12-15,24.5,31.8,6.2,6.2,6.5,SSW,57,09:38,30.3,77,6,NNW,6,1008.9,31.1,67,7,WNW,7,1006.5
,2016-12-16,25.3,33.6,2.4,3.4,7.5,WNW,35,15:25,30.9,74,7,S,7,1008.2,32.9,60,6,WNW,24,1004.3
,2016-12-17,23.2,31.6,50.8,16.2,1.2,WNW,43,01:34,27.2,89,8,S,9,1008.8,29.4,79,7,SSW,11,1006.0
,2016-12-18,25.4,31.6,0.2,1.8,1.2,NNE,39,12:20,27.7,83,8,E,9,1008.2,28.8,79,7,E,11,1004.8
,2016-12-19,24.9,30.5,29.2,3.6,2.2,NNE,30,15:24,25.8,93,7,E,11,1006.0,28.0,82,7,NNE,17,1003.1
,2016-12-20,25.0,28.9,10.4,3.4,0.9,NW,59,15:51,27.9,85,5,N,20,1001.6,27.3,90,7,N,30,999.5
,2016-12-21,23.8,31.1,85.0,,2.1,NW,57,06:29,24.3,95,8,WNW,28,1007.0,30.9,71,8,N,26,1003.9
,2016-12-22,23.8,27.5,24.4,0.6,0.0,SSW,33,08:22,24.5,96,8,SSE,13,1008.0,24.8,94,8,ENE,11,1005.8
,2016-12-23,23.3,33.5,37.2,5.2,8.8,NNW,37,16:52,27.5,86,5,E,7,1007.9,33.1,60,5,NE,20,1004.6
,2016-12-24,26.2,33.2,0,4.6,5.7,NNW,48,15:01,29.5,79,7,NNE,15,1008.1,31.0,71,7,NNW,24,1005.6
,2016-12-25,25.6,33.2,0.6,3.0,8.1,NNW,39,18:10,29.4,81,6,N,11,1008.5,32.5,66,5,N,22,1004.7
,2016-12-26,25.4,33.4,0,4.8,6.3,W,52,18:28,28.0,85,8,ENE,7,1006.6,32.3,55,7,WNW,13,1004.5
,2016-12-27,24.4,31.6,31.8,11.0,3.5,,,,28.8,86,4,ENE,2,1006.1,28.9,80,6,WSW,13,1004.5
,2016-12-28,23.9,28.7,58.4,19.2,0.0,NW,56,12:11,25.0,98,7,,,1007.2,27.5,84,7,WNW,19,1004.9
,2016-12-29,25.2,31.7,25.2,2.2,3.8,W,41,13:22,26.9,93,8,S,17,1006.8,30.6,66,7,WSW,26,1003.5
,2016-12-30,26.3,30.9,5.4,4.2,0.0,SSW,52,12:32,29.6,79,8,W,24,1003.9,24.1,90,8,S,17,1004.1
,2016-12-31,23.7,32.3,9.8,5.8,6.8,W,43,15:16,29.2,80,8,WSW,22,1005.0,31.4,71,7,W,24,1002.0
