"Daily Weather Observations for Melbourne, Victoria for November 2016"
"Prepared at 13:03 GMT on Wednesday  9 August 2017   IDCJDW3050.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,9.4,18.4,0.4,4.6,8.7,NNW,35,10:09,13.8,53,2,NW,11,1012.0,17.8,45,7,WSW,11,1009.8
,2016-11-2,9.7,18.5,0.4,4.2,6.7,WNW,30,08:41,13.7,60,7,WSW,11,1016.0,16.4,51,6,NW,7,1016.3
,2016-11-3,10.0,19.1,0,3.6,12.9,SSW,26,15:28,14.2,57,1,WSW,11,1019.8,17.6,49,3,SSW,15,1017.1
,2016-11-4,10.2,29.2,0,5.6,11.8,WSW,59,19:57,19.0,50,5,N,20,1011.0,28.3,23,2,NNW,24,1004.2
,2016-11-5,10.0,16.8,0,12.8,5.5,WSW,44,09:36,11.5,60,7,WSW,17,1011.4,15.6,44,7,WSW,17,1012.0
,2016-11-6,11.5,21.4,0,5.8,9.6,WSW,35,04:03,14.8,57,7,SW,20,1011.7,19.0,45,7,S,9,1010.0
,2016-11-7,14.6,25.9,0,7.0,5.1,N,59,08:06,19.6,47,7,N,30,1002.7,16.8,61,7,WNW,13,1003.5
,2016-11-8,11.0,18.2,0.2,5.8,12.7,SSW,30,12:18,13.4,53,1,SW,11,1011.7,16.6,42,5,SSW,17,1011.2
,2016-11-9,9.2,17.4,0,6.6,7.8,SSW,33,13:45,15.0,67,7,S,13,1014.1,16.6,62,4,SSW,19,1011.7
,2016-11-10,11.9,17.5,0,5.4,6.9,SW,28,12:41,14.2,67,7,SSE,7,1012.2,16.7,59,5,SSW,15,1012.4
,2016-11-11,8.4,23.8,0,3.8,11.5,S,30,13:53,14.6,61,1,SSE,7,1013.0,18.5,62,1,SSW,17,1008.3
,2016-11-12,13.2,25.5,2.0,4.8,4.5,NNW,50,13:21,18.8,79,7,NNE,7,997.1,23.7,36,6,WNW,20,995.7
,2016-11-13,11.7,19.0,2.0,7.2,1.7,S,50,16:05,13.4,69,7,N,17,993.5,18.4,60,7,NNW,4,992.8
,2016-11-14,11.5,15.9,8.6,3.2,3.2,S,48,09:18,12.6,77,8,SSW,19,1010.4,14.6,57,7,SSW,20,1013.4
,2016-11-15,11.0,19.2,0,4.0,4.8,WSW,24,08:12,14.7,65,7,SSW,7,1019.6,18.0,57,7,WSW,9,1019.1
,2016-11-16,11.9,21.6,0,3.4,9.3,S,26,16:07,14.1,81,7,S,4,1024.5,18.5,62,1,S,13,1022.7
,2016-11-17,12.0,31.4,0,4.4,11.3,N,54,10:41,21.5,61,1,NNE,13,1018.8,30.1,27,4,NNW,24,1014.8
,2016-11-18,15.3,18.9,0,10.0,0.7,SW,33,23:56,16.6,74,8,SSE,11,1016.8,16.6,72,7,SSW,15,1017.0
,2016-11-19,11.7,19.4,0,3.6,12.1,SSW,30,17:24,15.2,71,4,S,6,1020.7,18.8,58,1,SSW,15,1019.1
,2016-11-20,11.9,33.3,0,5.8,9.6,N,33,22:33,18.2,65,7,E,2,1017.8,25.4,56,6,SSW,6,1013.4
,2016-11-21,17.9,35.0,0,11.2,6.2,N,56,13:15,26.7,45,7,N,20,1009.8,33.0,31,7,N,24,1005.5
,2016-11-22,14.5,14.9,8.6,9.4,0.0,WSW,22,23:50,14.5,96,8,S,9,1015.0,13.8,89,8,SSW,9,1016.4
,2016-11-23,11.0,16.8,5.4,1.0,5.2,SSW,39,16:09,13.7,78,7,WSW,6,1015.3,11.4,79,7,SSE,15,1016.4
,2016-11-24,10.3,17.0,2.2,2.4,3.9,SSE,35,13:28,12.9,85,7,W,13,1018.9,15.7,62,7,SSE,15,1017.4
,2016-11-25,10.9,17.9,0.8,3.8,4.5,SSW,39,08:37,14.3,61,6,SW,11,1018.3,15.3,59,7,S,15,1019.5
,2016-11-26,12.2,17.4,0,4.0,3.6,SSW,33,17:01,14.4,64,8,SSW,9,1021.3,16.3,62,7,S,17,1020.7
,2016-11-27,11.6,16.3,0.4,5.2,4.3,SSW,26,09:43,12.2,94,8, ,Calm,1020.6,15.8,72,7,SSW,11,1018.4
,2016-11-28,12.2,19.6,0.2,3.0,8.8,SW,26,15:34,14.6,77,7,SSE,4,1016.1,18.6,53,6,SSW,13,1014.2
,2016-11-29,10.4,20.0,0.2,5.0,12.7,S,33,14:58,15.7,66,7,SSE,7,1013.4,18.4,65,3,SSW,17,1011.8
,2016-11-30,13.3,18.9,0,6.4,3.2,SSW,28,14:40,14.6,87,8,S,11,1009.9,17.4,73,6,SSW,11,1009.3
