"Daily Weather Observations for Melbourne, Victoria for December 2016"
"Prepared at 13:03 GMT on Tuesday  8 August 2017   IDCJDW3050.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,12.9,21.9,0,4.0,8.3,SSW,26,17:49,16.7,65,7,NNW,6,1008.9,20.6,57,7,SSW,13,1006.0
,2016-12-2,13.0,21.6,0,5.4,11.2,SSW,35,14:29,17.3,65,7,WSW,7,1011.3,19.8,60,4,S,15,1012.8
,2016-12-3,9.9,23.9,0,7.4,13.1,SE,28,18:02,16.6,53,3,SSE,6,1016.4,19.7,58,5,SW,13,1014.6
,2016-12-4,12.7,31.7,0,5.6,4.8,N,44,10:09,18.1,57,7,NE,6,1010.1,30.9,28,8,N,13,1006.0
,2016-12-5,16.9,21.5,2.4,9.8,5.3,SW,41,04:44,17.3,67,8,W,9,1012.0,20.4,52,7,SSW,13,1011.6
,2016-12-6,12.8,20.8,0,6.6,8.4,SSW,30,17:39,15.6,72,7,S,4,1014.3,19.4,47,5,S,11,1013.5
,2016-12-7,10.5,28.3,0,4.6,12.9,N,35,16:49,16.0,65,6,NE,6,1015.7,25.6,35,1,S,9,1010.9
,2016-12-8,15.4,23.2,2.2,12.2,6.1,NNW,56,04:43,16.9,81,8,N,19,997.2,22.6,34,6,W,17,998.1
,2016-12-9,10.0,17.3,6.6,8.2,5.8,SW,41,09:02,11.3,76,7,SW,19,1015.9,15.8,59,7,S,20,1018.9
,2016-12-10,11.2,18.8,0.2,4.6,10.2,S,26,12:28,14.4,58,7,WSW,6,1024.0,18.1,50,2,S,13,1023.0
,2016-12-11,12.9,19.3,1.0,6.4,8.9,S,33,12:21,15.9,67,7,SE,11,1024.4,18.5,59,1,SSW,15,1022.6
,2016-12-12,10.7,32.8,0,6.2,12.0,N,33,15:00,16.7,66,7,NNE,7,1019.5,31.3,21,7,NW,15,1014.6
,2016-12-13,16.5,36.3,0,11.6,1.5,NNW,48,11:17,27.3,27,7,N,20,1009.2,33.8,22,8,NNW,13,1004.2
,2016-12-14,15.7,19.3,0,11.8,3.5,S,41,18:12,16.8,54,7,WSW,11,1011.9,17.3,50,7,S,15,1014.4
,2016-12-15,11.7,18.6,0,7.0,12.5,SSW,41,13:31,15.2,47,6,SE,17,1019.3,17.5,54,5,SSW,20,1016.9
,2016-12-16,9.7,25.5,0,8.0,6.1,N,35,12:30,15.7,66,3,NW,7,1011.6,23.7,57,8,NNW,22,1006.9
,2016-12-17,15.1,20.9,0,4.8,8.4,WNW,46,13:12,16.7,55,6,W,15,1008.1,20.1,32,6,SW,15,1012.2
,2016-12-18,10.0,17.5,0,10.2,13.5,SW,37,16:36,14.3,59,2,SW,9,1022.9,17.1,48,1,SSW,17,1022.5
,2016-12-19,8.8,30.2,0,7.6,10.8,NNW,54,12:21,17.2,52,4,NE,13,1015.4,27.6,26,6,N,30,1008.9
,2016-12-20,14.4,21.5,3.0,13.0,9.0,SW,35,03:11,14.5,97,7,SSW,13,1008.3,20.3,44,1,S,11,1008.9
,2016-12-21,13.5,19.9,0.2,8.0,7.0,SW,43,13:29,16.0,60,5,WSW,9,1016.4,18.3,57,5,SSW,19,1018.2
,2016-12-22,14.6,20.0,0,6.2,11.2,SSW,37,16:23,16.5,65,7,SSE,11,1020.6,18.3,67,1,SSW,19,1018.4
,2016-12-23,12.5,26.3,0,8.6,10.7,SSW,26,16:28,16.7,77,0,WNW,7,1015.2,23.9,57,4,SSW,13,1011.0
,2016-12-24,16.2,34.9,0.8,8.2,11.2,NNE,46,11:10,19.9,89,6,NNW,2,1010.8,33.4,24,1,N,26,1009.6
,2016-12-25,16.4,36.3,0.2,11.8,11.2,NW,37,14:26,25.4,54,1,NNE,11,1013.3,35.2,28,1,NNW,19,1009.6
,2016-12-26,25.4,29.3,0,16.0,2.4,N,39,06:18,28.8,38,7,WNW,4,1008.6,18.9,86,8,SW,11,1011.1
,2016-12-27,18.0,29.8,1.6,2.6,0.0,ESE,26,20:35,20.4,80,8,NNE,6,1012.0,25.2,80,8,NNE,6,1009.8
,2016-12-28,20.3,38.2,1.0,2.4,7.0,N,63,13:50,29.2,40,7,N,17,1003.0,33.4,33,4,N,39,999.2
,2016-12-29,27.0,33.5,0,15.4,3.4,N,46,09:07,29.9,56,7,N,19,1002.5,27.1,73,8,N,20,1000.9
,2016-12-30,20.1,27.8,20.4,14.2,11.3,SSW,33,11:59,21.0,66,7,SSW,9,1001.3,26.7,46,1,SSW,9,999.4
,2016-12-31,17.3,23.8,0,8.6,11.9,S,28,13:33,18.7,60,6,S,7,1006.3,22.7,55,1,SSW,11,1005.8
