"Daily Weather Observations for Melbourne, Victoria for February 2017"
"Prepared at 13:02 GMT on Sunday  6 August 2017   IDCJDW3050.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,14.3,20.6,0,5.4,3.2,S,22,14:30,17.1,59,7,SE,11,1015.3,19.1,52,8,SSW,7,1012.9
,2017-02-2,14.2,24.1,0,4.0,12.9,S,37,17:40,17.4,62,5,W,7,1016.7,23.3,39,4,SSW,13,1015.3
,2017-02-3,15.4,27.6,0,7.0,12.4,SSW,24,18:55,18.1,65,2,NW,9,1016.4,25.2,43,1,SSW,13,1013.7
,2017-02-4,14.6,35.9,0,7.4,11.8,N,43,16:09,18.8,72,3,NE,6,1012.2,34.4,16,2,NNW,17,1007.1
,2017-02-5,18.5,30.7,0,10.8,1.5,N,44,16:06,24.2,61,7,NNE,13,1007.2,30.2,53,7,N,19,1004.2
,2017-02-6,15.1,18.0,32.4,7.6,0.0,SSW,30,02:42,15.7,84,8,SSE,11,1016.3,17.5,57,8,SSE,13,1017.2
,2017-02-7,15.4,27.6,0,2.2,11.5,SE,31,09:44,17.6,56,3,SSE,15,1021.7,26.3,45,1,SE,11,1018.5
,2017-02-8,16.5,36.0,0,6.6,12.7,N,48,14:25,20.5,70,1,NE,6,1019.1,34.3,33,1,N,20,1013.8
,2017-02-9,20.3,36.0,0,19.0,9.9,N,54,06:16,28.7,52,5,N,20,1009.8,24.3,75,7,SW,15,1008.9
,2017-02-10,18.7,27.1,0,6.0,8.4,SSW,24,15:28,19.6,84,8,SSW,2,1012.2,26.4,62,1,SSW,11,1009.4
,2017-02-11,18.5,24.6,0,5.2,10.3,S,33,16:11,20.5,77,5,SW,9,1009.4,23.6,56,2,S,9,1008.3
,2017-02-12,15.1,19.9,2.0,6.6,5.2,SW,41,13:37,15.3,69,8,W,11,1008.0,18.6,43,7,SSW,19,1009.0
,2017-02-13,14.0,21.0,0,4.8,3.8,S,41,13:42,15.5,75,7,W,13,1012.3,19.8,64,7,SSW,17,1013.3
,2017-02-14,14.5,19.5,0.6,5.0,6.1,S,31,05:40,16.2,73,7,SSE,7,1019.2,18.4,55,4,S,15,1019.4
,2017-02-15,10.0,31.5,0,6.0,12.0,N,48,12:09,14.9,70,6,NNE,9,1013.4,29.4,25,3,NNW,26,1007.9
,2017-02-16,14.9,23.6,0,9.2,8.3,SSW,37,16:09,17.5,81,8,S,9,1011.6,21.9,63,1,SSW,13,1008.4
,2017-02-17,13.7,25.5,0,7.4,9.9,S,35,18:33,17.6,68,7,W,7,1009.8,21.9,45,1,S,11,1008.7
,2017-02-18,13.3,18.9,0,8.4,7.6,SSW,33,13:41,14.8,60,1,WNW,9,1010.9,17.5,59,7,SSE,13,1011.2
,2017-02-19,11.7,17.3,0,5.6,5.8,NW,44,14:04,13.7,63,4,NNW,11,1010.1,16.4,48,8,W,11,1008.1
,2017-02-20,11.6,20.3,3.6,2.8,10.2,SSW,39,16:17,14.2,70,7,W,13,1012.7,19.2,47,7,S,13,1013.3
,2017-02-21,10.1,24.0,0.2,4.8,12.7,ESE,26,19:43,14.5,65,1,NE,6,1021.6,21.5,45,1,SSW,13,1019.4
,2017-02-22,12.8,33.3,0,7.8,12.3,N,52,11:57,17.2,55,5,NNE,11,1015.5,31.1,24,6,N,22,1010.4
,2017-02-23,15.9,25.0,0,12.6,12.3,SW,30,08:47,20.0,60,1,WSW,11,1017.1,22.8,52,4,S,13,1018.1
,2017-02-24,15.8,20.0,1.4,7.4,2.9,S,39,13:00,17.0,66,7,S,9,1024.4,18.7,53,7,S,15,1025.1
,2017-02-25,13.7,19.4,0,6.0,11.8,SSW,35,11:48,15.9,58,6,SE,15,1025.2,18.2,52,1,SSW,15,1022.3
,2017-02-26,13.2,29.8,0,7.2,12.0,SSE,30,16:45,15.9,80,1,NNE,6,1021.8,26.9,49,2,SSW,11,1019.1
,2017-02-27,15.6,33.1,0,8.0,12.3,NNE,33,09:36,20.6,61,1,NNE,9,1022.8,31.5,27,1,NE,9,1020.3
,2017-02-28,17.3,33.6,0,10.2,12.2,NNW,31,09:32,21.9,57,0,NNE,11,1021.8,32.8,24,2,SSW,13,1019.7
