"Daily Weather Observations for Melbourne, Victoria for March 2017"
"Prepared at 13:03 GMT on Saturday  5 August 2017   IDCJDW3050.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,16.6,30.5,0,11.2,12.0,SSW,26,14:36,20.5,58,0,NNE,6,1021.3,30.1,29,1,SSW,9,1019.1
,2017-03-2,17.7,23.3,0,9.6,10.7,SSW,31,14:55,19.4,82,6, ,Calm,1019.3,21.7,76,1,SSW,15,1019.4
,2017-03-3,18.1,28.6,0,4.0,7.4,SSW,43,14:08,18.8,87,8,S,7,1022.7,23.6,76,1,SW,15,1019.7
,2017-03-4,16.1,27.4,0,6.6,10.5,SSW,24,15:58,19.9,81,5,N,4,1018.1,27.2,49,1,SSW,11,1014.5
,2017-03-5,17.6,25.4,0.2,7.2,6.9,S,35,14:50,19.9,94,8, ,Calm,1015.3,24.5,63,5,SSW,15,1014.6
,2017-03-6,17.7,27.4,0,7.6,10.1,SE,46,15:37,19.6,69,7,SSE,13,1017.1,26.4,38,1,SE,19,1015.4
,2017-03-7,15.0,28.2,0,8.4,11.8,SSE,33,16:07,18.1,60,1,ENE,4,1019.5,26.1,37,1,SW,7,1016.9
,2017-03-8,14.2,31.5,0,7.0,11.8,NE,28,12:03,16.6,72,1,NNE,9,1018.8,30.5,28,1,ENE,7,1015.4
,2017-03-9,15.0,32.3,0,9.0,10.2,N,33,09:05,19.3,53,0,NNE,13,1017.1,31.3,24,1,S,11,1014.8
,2017-03-10,18.5,23.8,0,9.0,9.7,SSW,30,16:28,19.2,74,7,WSW,9,1017.2,21.6,71,7,SSW,17,1016.0
,2017-03-11,18.0,26.4,0,6.4,5.7,SSW,37,15:01,18.6,80,7,NNE,6,1013.0,25.5,61,6,SW,9,1008.7
,2017-03-12,17.9,27.1,0,4.2,7.2,SSW,37,02:18,19.6,77,4, ,Calm,1001.0,25.9,53,2,SSW,15,1000.5
,2017-03-13,15.7,24.3,0.2,8.6,9.1,SSW,39,15:24,18.9,66,8,NE,2,1013.3,22.4,73,1,SSW,17,1013.8
,2017-03-14,18.8,32.7,0,5.4,10.9,SE,30,15:52,20.8,78,0,NNE,9,1018.7,31.5,38,5,SSW,7,1016.0
,2017-03-15,20.8,33.2,0,10.2,11.3,NNW,52,09:36,24.4,50,7,N,19,1016.3,32.1,34,7,NNE,19,1011.5
,2017-03-16,21.7,23.0,1.8,13.6,2.7,N,44,05:11,21.8,77,7,N,19,1008.9,21.4,60,7,SW,9,1012.0
,2017-03-17,15.8,22.1,0,2.8,11.3,SSW,37,13:10,16.8,56,1,SE,11,1024.0,21.0,49,0,SSW,19,1023.7
,2017-03-18,12.4,30.8,0,6.6,11.4,ESE,22,16:17,14.5,79,0,NNE,6,1025.4,27.4,44,0,SSW,9,1022.6
,2017-03-19,14.5,33.5,0,7.6,11.4,NNE,26,11:33,19.3,61,0,NE,7,1020.0,31.8,31,0,SSW,9,1015.4
,2017-03-20,19.3,28.0,0,7.8,4.8,SSW,31,15:06,22.5,72,8,NNE,9,1015.9,26.6,72,5,SSW,15,1014.0
,2017-03-21,19.9,26.1,4.4,3.4,2.3,NE,28,16:01,20.9,98,7, ,Calm,1013.0,24.3,93,7,NNE,11,1010.1
,2017-03-22,17.8,21.8,9.2,3.2,0.7,SSE,44,14:21,18.0,100,8,S,13,1016.0,20.4,76,8,SSE,15,1016.2
,2017-03-23,16.2,25.1,0,2.0,9.0,SE,35,10:02,17.9,76,7,SE,15,1020.2,24.2,50,7,SE,17,1018.3
,2017-03-24,13.9,24.7,0,3.6,6.6,SE,24,23:02,15.3,85,6,NE,7,1019.8,22.9,60,7,SSW,9,1016.2
,2017-03-25,15.3,29.7,0,4.0,6.2,N,35,09:11,21.9,64,7,N,20,1012.5,29.2,47,6,N,13,1010.2
,2017-03-26,19.3,26.7,0,4.8,5.1,SSW,22,15:20,20.1,74,8,SE,7,1014.9,23.8,66,5,SSW,11,1012.4
,2017-03-27,19.3,31.9,0,6.0,6.1,NNW,69,11:13,26.7,49,3,NNE,13,1005.0,18.6,76,7,WSW,17,1009.7
,2017-03-28,11.9,24.3,4.2,5.8,10.9,NNW,28,13:18,14.0,77,1,NE,9,1015.1,22.6,43,1,SW,7,1012.0
,2017-03-29,13.9,27.2,0.2,5.2,9.4,SSW,54,18:14,18.8,55,6,N,19,1009.2,26.3,36,7,NNW,22,1004.6
,2017-03-30,10.2,17.9,3.4,6.4,8.0,SSW,43,13:34,12.3,72,4,SW,9,1016.7,17.3,48,6,S,20,1017.7
,2017-03-31,10.1,17.9,2.8,5.0,6.7,S,26,11:49,12.9,70,4,WSW,7,1022.4,17.0,47,4,SSW,11,1020.2
