"Daily Weather Observations for Melbourne, Victoria for April 2017"
"Prepared at 13:03 GMT on Friday  4 August 2017   IDCJDW3050.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,10.0,19.0,0,3.4,4.8,SW,35,11:13,13.8,79,7,W,9,1021.0,17.4,48,7,S,13,1022.3
,2017-04-2,11.7,18.2,0.4,4.6,4.4,,,,14.6,64,7,SE,9,1029.6,17.3,49,7,SSE,13,1028.7
,2017-04-3,8.2,21.5,0,4.0,10.9,SSE,20,00:44,12.5,64,1,NNE,9,1031.7,20.2,47,1,SSW,11,1028.4
,2017-04-4,10.0,24.4,0,3.6,9.8,SSW,20,14:27,14.7,70,1,NNE,7,1030.8,24.2,34,7,S,11,1026.8
,2017-04-5,11.0,25.4,0,5.4,10.2,NNW,28,09:51,16.0,62,3,NNE,11,1026.3,25.1,33,4,N,2,1021.8
,2017-04-6,12.0,26.6,0,6.4,9.7,N,28,11:36,16.5,57,1,NNE,11,1023.8,25.0,29,4,NNW,9,1021.1
,2017-04-7,12.7,26.2,0,8.0,10.5,N,44,13:07,19.2,46,4,NE,9,1024.6,25.7,33,6,N,20,1020.2
,2017-04-8,18.6,28.1,0,9.4,7.1,N,44,17:53,21.7,46,2,N,19,1018.6,27.8,34,5,N,22,1012.8
,2017-04-9,11.7,15.2,10.6,7.8,0.5,WSW,44,08:38,11.7,79,7,W,17,1007.2,12.4,72,7,WNW,13,1005.1
,2017-04-10,9.0,17.0,25.4,2.8,0.0,S,63,06:59,14.9,82,8,SSW,26,1015.1,15.5,60,7,SSW,15,1018.0
,2017-04-11,12.3,18.5,15.4,0.0,7.7,SSW,37,14:20,17.0,72,7,SSE,13,1024.3,17.6,73,4,S,15,1023.7
,2017-04-12,10.8,19.3,0,2.8,8.8,SW,22,14:08,15.5,79,7,SE,9,1026.5,18.6,64,3,SW,9,1023.9
,2017-04-13,10.9,22.2,0,1.8,10.0,SSW,20,19:58,14.3,95,1,N,7,1024.8,21.8,57,1,SSW,6,1021.5
,2017-04-14,13.0,17.9,0,4.0,4.0,SSE,28,16:13,15.2,78,2,W,7,1024.9,17.2,65,7,SSW,11,1022.8
,2017-04-15,11.8,17.3,0,1.8,2.2,SSE,17,12:36,13.4,71,7,SW,7,1022.5,16.5,54,7,WSW,7,1020.0
,2017-04-16,9.9,22.6,0,2.0,5.6,S,19,14:53,12.3,72,7,NNE,9,1020.7,20.7,42,7,S,11,1018.5
,2017-04-17,11.1,18.3,0,1.6,2.0,S,22,14:29,14.0,80,7,NE,7,1023.6,17.4,70,7,SSW,11,1021.9
,2017-04-18,9.5,20.4,0,2.0,9.5,SSW,20,16:33,14.0,92,1,NE,4,1026.9,19.7,70,1,SSW,9,1025.6
,2017-04-19,13.0,26.9,0,3.4,7.3,NNW,31,13:48,14.6,96,7,NNE,7,1028.2,26.2,40,7,N,17,1024.1
,2017-04-20,14.6,26.5,0,7.4,5.1,NNW,43,10:56,21.7,49,3,N,11,1026.1,25.2,37,7,NNE,19,1022.2
,2017-04-21,16.5,20.9,9.4,4.0,0.1,NNW,43,14:14,17.1,94,8,NNE,11,1020.8,18.5,76,8,N,17,1019.8
,2017-04-22,16.9,22.5,4.6,2.2,5.9,N,31,07:10,18.3,77,7,N,13,1023.5,21.9,63,2,N,15,1021.2
,2017-04-23,14.4,21.8,0,3.2,7.6,SSW,22,16:35,18.1,78,7,NNE,2,1024.8,21.0,62,5,SSW,9,1021.9
,2017-04-24,15.9,24.7,0,2.8,4.9,N,28,15:16,16.6,93,7,NNE,9,1020.7,24.5,52,7,NNE,13,1014.7
,2017-04-25,16.2,17.7,21.6,3.4,3.6,NW,30,21:24,16.4,92,7,WNW,9,1008.1,17.1,75,7,S,6,1006.9
,2017-04-26,10.1,14.5,20.0,4.2,5.3,SSW,59,12:45,13.2,65,7,S,20,1009.9,10.5,72,4,SW,13,1015.0
,2017-04-27,8.3,15.6,15.4,2.2,3.2,SSE,31,02:32,9.6,83,6,NNW,7,1023.1,13.7,63,7,SW,11,1022.9
,2017-04-28,9.4,19.8,0.4,2.0,1.9,W,26,14:33,15.4,68,7,WNW,9,1024.0,18.9,62,7,W,11,1022.0
,2017-04-29,14.9,18.1,0.2,0.8,2.9,S,28,14:31,16.0,83,7,WNW,7,1022.7,16.9,79,7,S,11,1022.0
,2017-04-30,13.6,17.8,0,1.0,0.9,NNW,31,17:13,14.3,65,7,N,7,1023.4,17.2,55,7,NNW,9,1019.7
