"Daily Weather Observations for Melbourne, Victoria for May 2017"
"Prepared at 13:04 GMT on Thursday  3 August 2017   IDCJDW3050.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,13.6,20.4,0,3.4,1.9,N,41,10:49,15.4,62,7,N,15,1016.2,19.3,51,7,NNW,20,1012.7
,2017-05-2,10.4,15.2,2.4,2.6,6.6,SW,44,14:31,12.4,69,4,WNW,7,1020.0,12.4,67,7,WSW,9,1021.3
,2017-05-3,7.4,15.3,0.8,2.6,5.7,SSW,20,11:43,9.9,76,6,NNE,9,1030.8,14.6,59,5,SSW,7,1029.5
,2017-05-4,5.8,16.9,0,1.8,9.7,SSW,19,15:37,9.1,76,1,NNE,6,1032.2,15.5,57,1,SSW,11,1029.5
,2017-05-5,6.2,20.5,0,1.8,8.2,NNW,35,11:39,9.8,82,5,NE,9,1028.8,19.7,47,6,N,17,1023.8
,2017-05-6,9.6,20.0,0.2,2.6,3.9,N,43,10:55,14.2,68,1,N,19,1019.6,15.1,76,7,WNW,9,1018.4
,2017-05-7,8.9,14.8,1.4,3.0,5.7,SSW,35,13:09,10.9,69,1,W,7,1028.8,14.8,50,4,SSW,11,1028.8
,2017-05-8,10.1,15.8,1.8,2.4,2.3,S,37,14:40,11.0,90,7,WSW,6,1031.7,14.3,74,6,S,13,1030.1
,2017-05-9,10.9,15.9,1.6,0.8,0.9,SSW,20,19:34,12.1,92,8,SW,4,1029.6,15.4,66,6,S,9,1027.0
,2017-05-10,8.1,17.7,0,0.2,9.7,NNE,15,08:06,9.1,88,1,N,7,1026.8,15.9,64,1,S,7,1023.5
,2017-05-11,6.1,16.5,0,2.4,4.3,NNE,15,08:30,8.0,89,7,NE,9,1026.6,15.7,62,7,SSW,6,1024.6
,2017-05-12,5.9,19.5,0,1.4,7.8,SW,20,15:51,8.7,84,1,NE,9,1025.8,18.4,50,6, ,Calm,1022.8
,2017-05-13,8.4,15.6,0.2,1.6,6.7,SW,20,15:23,12.2,80,5,SW,4,1025.6,14.6,68,4,SSW,9,1023.4
,2017-05-14,6.4,15.1,0,1.4,2.6,SE,19,11:14,8.3,91,2,ENE,2,1024.1,14.6,72,7,SSW,2,1021.7
,2017-05-15,6.3,16.9,0,2.0,4.2,SE,24,18:11,7.9,100,7,NNE,6,1021.6,15.4,74,2,S,9,1019.0
,2017-05-16,5.6,18.2,0,0.8,7.4,NNW,15,08:26,7.6,100,6,N,9,1020.6,18.2,60,7,NNE,7,1016.5
,2017-05-17,7.6,17.0,0,1.0,0.0,N,19,08:21,13.4,79,8,N,9,1020.5,16.5,62,7,NE,9,1018.6
,2017-05-18,10.7,20.2,0.8,1.2,6.2,SE,20,16:25,11.6,86,7,NNW,2,1024.4,19.8,62,7,SW,2,1021.9
,2017-05-19,10.2,17.8,0,0.8,0.2,NE,28,11:51,13.4,87,7,NW,2,1020.6,17.6,65,8,NNE,9,1017.6
,2017-05-20,10.2,19.3,0,1.6,8.8,N,35,12:37,14.6,89,6,N,2,1016.9,19.0,58,1,N,17,1015.8
,2017-05-21,10.8,18.7,0,1.2,4.4,N,31,12:33,12.7,85,7,NNE,11,1020.2,17.3,68,5,N,19,1019.1
,2017-05-22,10.4,20.3,0,1.4,9.2,N,43,13:13,12.8,84,1,NNE,11,1022.5,20.0,53,2,N,24,1017.6
,2017-05-23,12.8,19.3,0,5.2,4.8,NNW,33,14:39,15.9,65,7,N,17,1017.5,18.6,58,1,N,20,1013.5
,2017-05-24,11.7,17.1,0,3.2,7.2,WSW,37,11:32,14.1,67,1,NNW,13,1015.3,15.6,60,3,SW,9,1016.8
,2017-05-25,13.7,18.5,0,2.2,1.4,NNW,35,18:19,14.0,67,7,N,11,1020.9,17.9,53,7,NNW,17,1018.0
,2017-05-26,13.1,18.0,0,0.8,4.4,N,20,00:35,13.7,79,7,SW,6,1022.9,16.9,57,4,SSW,7,1019.3
,2017-05-27,11.9,17.8,0,1.4,4.1,N,54,21:46,13.9,78,7,N,20,1017.5,17.2,63,7,N,19,1012.0
,2017-05-28,10.2,15.3,6.8,4.2,4.7,W,44,00:53,11.8,72,5,NW,13,1008.1,11.2,65,4,WNW,11,1007.9
,2017-05-29,7.7,14.8,1.4,1.6,6.8,N,33,22:44,9.3,71,2,NW,11,1019.5,14.7,48,7,WNW,9,1019.2
,2017-05-30,9.3,13.1,2.2,2.6,4.6,S,50,15:16,10.9,84,7,W,11,1021.6,12.9,54,5,SSW,15,1023.6
,2017-05-31,6.7,13.0,5.4,2.0,6.1,SSW,31,12:57,8.0,81,2,WSW,7,1033.5,12.2,71,6,SW,15,1033.1
