"Daily Weather Observations for Melbourne, Victoria for June 2017"
"Prepared at 16:04 GMT on Wednesday  2 August 2017   IDCJDW3050.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,7.9,13.9,0.4,1.0,0.0,SSW,20,11:25,10.5,82,7,S,6,1037.5,13.6,57,7,SSW,9,1035.8
,2017-06-2,8.0,14.7,0,1.4,2.6,SSW,20,11:46,10.6,64,6,W,4,1037.2,13.3,69,7,SSW,9,1034.9
,2017-06-3,9.9,14.3,0,1.8,1.7,SSW,19,14:45,10.8,76,7,N,6,1034.1,13.1,73,6,SSW,11,1031.3
,2017-06-4,4.4,15.8,0,0.8,9.1,NE,13,01:04,5.7,100,1,NE,9,1029.8,15.5,53,1,NE,2,1026.0
,2017-06-5,5.6,17.5,0,1.4,2.7,NW,28,17:27,8.7,82,7,NNE,9,1025.5,16.8,57,7,W,6,1021.7
,2017-06-6,8.7,13.9,6.4,2.6,2.5,SSW,43,10:48,11.8,78,5,SSE,11,1025.8,12.6,68,7,SSE,13,1027.0
,2017-06-7,5.9,14.3,0,0.0,7.8,SE,28,13:34,8.3,91,2,SSE,2,1030.2,14.0,54,3,SSE,13,1027.9
,2017-06-8,3.6,15.0,0,1.0,7.3,SSW,30,15:06,6.6,86,7,NE,7,1028.9,14.0,56,7,WSW,9,1026.9
,2017-06-9,6.6,15.0,1.8,1.8,6.6,S,22,11:01,11.0,98,7,S,2,1032.9,13.9,66,2,SSW,9,1032.5
,2017-06-10,7.0,15.8,0,1.0,8.6,SSW,17,16:18,7.5,100,3,NNE,9,1035.0,14.0,68,1,SSW,7,1032.0
,2017-06-11,3.4,15.5,0.2,2.0,7.5,SSW,22,12:34,6.1,96,5,NE,11,1029.1,13.6,67,7,WSW,6,1025.5
,2017-06-12,6.0,15.9,0,0.6,1.9,SSW,19,13:16,10.0,85,7,N,6,1026.8,15.0,77,7,SSW,7,1025.6
,2017-06-13,8.8,15.1,0,1.4,2.9,WSW,20,00:04,10.7,88,7,W,4,1032.0,13.4,67,4,SW,9,1030.0
,2017-06-14,4.0,17.4,0,0.4,7.8,N,28,13:15,7.8,97,1,SSE,2,1030.1,16.7,56,5,NNW,11,1027.3
,2017-06-15,7.7,19.0,0,2.2,2.2,N,20,15:47,9.8,87,7,NNE,9,1027.7,17.4,53,6,N,11,1024.8
,2017-06-16,6.6,17.1,0,1.0,4.8,NNE,15,08:59,8.4,86,5,NNE,9,1026.4,15.9,65,3,S,6,1023.8
,2017-06-17,4.2,15.5,0,1.8,8.9,NE,15,07:32,5.4,95,1,NNE,9,1026.3,14.9,66,2,S,6,1024.6
,2017-06-18,5.4,16.3,0,0.8,4.0,SSW,19,13:06,8.9,91,7,NE,2,1029.9,15.0,70,4,SSW,6,1028.8
,2017-06-19,7.1,16.1,0,0.8,2.7,NNE,17,07:32,8.6,86,7,NNE,11,1032.5,15.5,58,7,WNW,4,1029.7
,2017-06-20,6.4,15.8,0,2.4,8.8,N,39,13:12,7.9,84,1,NNE,11,1028.1,15.6,56,7,N,17,1024.5
,2017-06-21,7.8,13.5,0.6,0.6,0.0,NNW,24,00:09,11.2,100,7,W,2,1028.8,12.7,80,7,S,9,1028.4
,2017-06-22,6.7,14.1,0.2,0.6,0.0,N,24,14:32,7.5,93,7,NNE,9,1028.2,13.5,56,7,N,11,1024.8
,2017-06-23,7.4,14.9,0,1.6,6.0,NNW,44,13:33,9.1,77,1,N,17,1018.8,12.5,63,7,N,19,1013.8
,2017-06-24,8.3,12.3,1.4,1.8,5.6,SW,30,01:36,9.6,75,2,WNW,11,1018.7,11.2,63,7,S,2,1017.4
,2017-06-25,8.6,14.3,0,2.8,3.8,NW,35,12:08,9.3,67,7,N,13,1017.4,13.4,56,7,NNW,17,1015.0
,2017-06-26,8.8,12.6,1.4,2.2,3.5,WNW,20,11:58,10.0,80,6,W,7,1023.3,12.1,74,7,SW,7,1024.1
,2017-06-27,6.0,12.1,0,0.8,0.0,N,24,15:04,7.0,87,7,NNE,9,1026.0,11.0,69,7,N,15,1024.0
,2017-06-28,6.8,14.1,0,1.0,0.4,NNE,20,01:59,9.3,75,7,NE,9,1023.9,13.9,65,7,N,9,1021.9
,2017-06-29,9.2,13.7,0,1.2,0.9,WSW,31,12:34,10.8,74,7,NNW,7,1022.4,12.7,59,7,W,13,1021.1
,2017-06-30,7.1,12.3,4.4,0.8,3.4,S,20,11:31,8.5,76,7,WNW,7,1030.6,12.0,56,2,SSW,9,1030.0
