"Daily Weather Observations for Melbourne, Victoria for July 2017"
"Prepared at 13:03 GMT on Monday  7 August 2017   IDCJDW3050.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,1.1,12.7,0,0.8,9.1,N,33,14:35,2.7,92,6,NNE,9,1030.7,12.0,49,1,N,20,1027.6
,2017-07-2,0.8,14.3,0,2.4,9.1,N,41,11:58,3.8,75,6,NNE,9,1025.9,13.9,36,1,N,19,1020.6
,2017-07-3,3.8,13.9,0,3.8,3.4,NNE,39,13:34,9.0,60,4,NNE,7,1013.2,11.2,92,7,N,13,1007.5
,2017-07-4,9.0,16.2,3.0,2.0,6.9,N,33,03:25,11.0,78,1,N,15,1008.0,15.6,54,6,NW,9,1007.0
,2017-07-5,10.1,15.8,0,2.0,5.6,SSW,24,13:24,12.4,75,7,NW,11,1011.6,13.4,65,6,SSW,9,1011.6
,2017-07-6,4.8,15.0,0,2.0,7.5,N,28,16:23,8.1,75,1,N,7,1017.4,14.1,46,6,NNW,7,1013.5
,2017-07-7,8.0,14.2,0,2.6,8.0,NNW,37,11:22,9.0,79,2,N,15,1010.0,13.4,56,1,NNW,19,1008.8
,2017-07-8,5.3,13.5,0,2.2,2.8,NW,30,13:16,9.0,84,5,N,13,1013.9,13.2,58,7,NW,13,1013.9
,2017-07-9,7.3,14.6,0.8,0.4,7.9,NNW,39,11:03,9.7,70,1,N,11,1017.5,13.3,49,5,WNW,13,1017.7
,2017-07-10,7.0,16.0,0,2.2,7.4,W,28,13:50,9.2,74,1,N,11,1025.0,15.2,48,6,NW,13,1024.2
,2017-07-11,6.9,14.3,0.4,2.2,5.2,NW,19,03:16,9.8,79,6,E,4,1032.8,13.8,57,7,WSW,6,1032.5
,2017-07-12,3.2,15.1,0,1.4,7.7,N,30,14:02,4.8,89,7,NNE,9,1034.5,14.7,49,6,N,19,1030.0
,2017-07-13,4.8,13.3,0,3.2,3.3,N,56,17:41,10.9,56,7,N,17,1023.1,13.0,54,7,NNE,17,1018.0
,2017-07-14,9.9,15.9,2.0,3.6,6.5,N,50,03:39,10.5,76,7,NNW,20,1012.5,15.2,41,7,WNW,9,1011.9
,2017-07-15,4.5,12.0,0,2.2,8.5,NW,22,00:31,7.8,71,1,NNW,7,1020.5,11.6,58,6,S,9,1020.0
,2017-07-16,3.0,12.5,0,2.8,3.6,N,52,14:44,5.7,75,7,N,17,1021.0,11.1,54,7,N,26,1017.6
,2017-07-17,5.7,15.3,0,3.4,5.4,N,52,05:06,11.8,55,7,N,20,1012.7,14.6,50,7,N,24,1008.6
,2017-07-18,9.7,14.5,0.2,3.2,3.7,NNW,41,12:06,10.6,75,4,N,15,1007.7,13.8,55,6,NNW,13,1005.5
,2017-07-19,8.9,13.2,5.0,2.2,1.0,SSW,37,13:14,10.8,99,7,WSW,9,1011.3,11.6,81,6,SSW,13,1015.4
,2017-07-20,7.9,10.7,0.6,1.8,3.8,SSW,39,13:16,9.4,82,6,WNW,9,1017.5,9.7,77,5,SW,9,1019.2
,2017-07-21,3.3,13.8,4.2,0.6,9.3,N,26,21:29,5.8,93,3,NNE,7,1024.9,13.4,53,1,NNE,6,1021.8
,2017-07-22,5.4,12.4,0,2.8,4.5,N,59,13:51,8.4,65,7,N,28,1020.1,11.6,54,7,N,24,1015.0
,2017-07-23,8.4,14.1,0,3.4,2.7,N,44,00:12,10.2,57,7,N,17,1012.9,11.3,90,7,SSW,13,1011.5
,2017-07-24,8.1,16.1,7.0,3.0,7.8,WSW,28,13:56,9.9,77,1,N,9,1019.8,15.2,53,7,WNW,9,1018.2
,2017-07-25,9.8,17.2,0,2.2,8.3,N,48,14:35,11.1,72,7,N,20,1016.4,16.4,53,5,N,26,1012.1
,2017-07-26,10.9,15.0,2.4,1.8,5.6,SW,37,12:40,12.5,70,3,W,13,1017.1,12.7,71,5,S,11,1020.2
,2017-07-27,4.4,14.2,2.0,2.0,2.9,N,52,14:59,6.2,90,7,NNE,13,1022.2,13.8,55,7,N,28,1015.6
,2017-07-28,6.2,14.3,2.8,2.2,6.3,NNE,37,23:49,10.9,73,4,WNW,9,1019.0,13.4,56,7,S,9,1019.3
,2017-07-29,9.7,17.9,0,5.2,8.2,N,81,12:08,12.7,51,3,N,20,1012.4,16.9,41,7,N,33,1005.8
,2017-07-30,11.3,18.1,0,5.8,7.8,NW,31,14:04,13.7,64,2,N,13,1009.6,17.5,34,4,W,13,1011.6
,2017-07-31,6.7,14.8,0,3.4,9.3,S,19,14:07,9.0,79,1,NNE,11,1019.2,13.7,56,2,SSW,9,1018.7
