"Daily Weather Observations for Perth Airport, Western Australia for August 2016"
"Prepared at 13:11 GMT on Saturday 12 August 2017   IDCJDW6110.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,1.1,15.7,1.0,3.4,9.6,NE,28,11:31,7.7,70,0,S,11,1032.3,15.1,38,1,NE,11,1029.1
,2016-08-2,4.8,17.3,0,2.0,9.7,NNE,44,10:18,10.0,53,1,NE,19,1026.4,17.0,35,1,NE,13,1021.4
,2016-08-3,7.1,17.2,0,3.0,0.1,NNE,39,10:14,12.2,48,7,NNE,15,1016.4,17.1,43,8,NNE,17,1015.3
,2016-08-4,12.1,15.5,3.8,1.2,0.3,E,28,14:20,12.7,94,8,ENE,11,1016.7,14.8,76,7,E,15,1015.3
,2016-08-5,7.8,16.5,3.8,0.8,1.2,E,28,12:30,12.7,78,7,E,13,1020.0,16.2,64,7,ESE,17,1017.4
,2016-08-6,9.6,18.2,0,1.6,7.0,N,35,13:43,14.2,72,1,NE,19,1013.4,15.5,81,3,NNE,19,1009.1
,2016-08-7,9.5,17.4,8.4,4.2,7.1,NW,70,23:18,13.9,61,6,NW,11,1013.4,16.8,40,4,WNW,33,1013.1
,2016-08-8,10.1,14.4,8.0,1.6,4.3,SW,63,12:40,11.6,78,7,WSW,20,1015.2,13.3,62,7,WSW,33,1015.7
,2016-08-9,6.0,16.7,7.0,1.8,4.8,W,46,12:39,11.3,82,3,WNW,11,1021.6,16.1,43,3,WSW,24,1020.2
,2016-08-10,8.8,17.7,3.4,1.8,5.7,NW,30,16:00,11.2,92,7,NNE,9,1024.7,17.0,55,6,WNW,17,1022.2
,2016-08-11,11.1,19.3,0.4,1.2,5.3,NW,44,13:22,14.0,74,7,N,20,1020.2,18.9,49,6,WNW,28,1017.2
,2016-08-12,4.9,17.7,4.6,3.0,9.2,SW,31,16:35,11.3,77,5,NE,6,1026.6,17.3,36,1,SSE,9,1024.7
,2016-08-13,6.3,19.1,0,2.0,6.9,WNW,24,16:05,12.8,61,2,ENE,11,1027.6,17.5,48,5,NW,6,1023.8
,2016-08-14,6.2,22.3,0,2.2,9.9,W,30,14:18,11.9,61,0,ENE,15,1020.0,20.5,39,0,WSW,19,1013.8
,2016-08-15,7.5,18.9,0,2.8,5.0,WNW,50,11:22,15.7,74,2,N,15,1013.0,17.0,59,7,W,13,1012.9
,2016-08-16,7.1,20.0,6.0,1.8,8.5,NNW,41,14:41,11.1,89,2,NNE,9,1018.7,18.8,47,3,NNW,30,1015.4
,2016-08-17,11.1,15.6,2.0,3.0,0.1,WSW,80,17:32,14.8,90,5,N,33,1003.1,13.4,84,7,W,17,1003.1
,2016-08-18,4.2,15.3,20.2,0.6,9.4,SSW,44,12:54,9.8,82,3,N,2,1021.8,14.8,48,2,SSW,20,1021.6
,2016-08-19,8.1,15.5,0.2,3.0,1.9,NNW,33,12:36,10.6,74,8,NNE,11,1024.8,15.4,56,7,WNW,17,1022.1
,2016-08-20,8.8,17.8,10.2,3.0,7.3,SSW,52,12:47,11.0,96,7,NNE,9,1021.3,16.9,51,3,SW,24,1019.1
,2016-08-21,6.6,18.0,0.6,2.0,3.8,W,52,16:46,9.6,89,8,NNE,11,1019.4,16.8,55,6,WNW,24,1015.0
,2016-08-22,4.5,16.5,2.8,2.2,9.6,SSW,46,13:47,8.6,90,1,S,9,1022.3,16.1,36,3,SSW,30,1020.8
,2016-08-23,1.8,16.7,0,3.2,10.2,SE,33,12:50,10.3,66,0,WNW,6,1025.3,15.6,36,5,ESE,17,1022.4
,2016-08-24,5.7,16.7,0,3.4,10.6,E,39,08:03,9.4,58,0,E,28,1026.6,16.4,35,0,ENE,15,1023.5
,2016-08-25,4.9,18.8,0,3.4,9.6,ENE,43,03:43,11.6,63,1,ENE,20,1025.3,18.3,44,1,ENE,20,1019.6
,2016-08-26,11.6,20.7,0,4.6,3.7,N,46,10:39,16.5,44,4,NNE,22,1013.3,20.1,43,7,NNE,20,1007.7
,2016-08-27,10.9,16.8,34.4,2.6,5.5,WSW,56,11:48,12.7,93,7,N,13,1003.3,14.6,68,3,WSW,31,1003.5
,2016-08-28,10.2,16.1,5.4,3.4,6.0,SSW,54,08:51,13.0,67,6,SSW,41,1011.3,14.7,64,8,SW,33,1010.6
,2016-08-29,10.5,17.7,0,2.2,8.3,SSW,33,16:03,13.4,66,7,SSE,17,1016.7,17.6,48,6,SW,19,1015.2
,2016-08-30,3.5,17.9,0,1.6,6.4,NW,35,14:10,10.3,75,2,NNE,11,1018.3,16.9,50,7,WNW,17,1015.2
,2016-08-31,10.1,17.7,9.4,2.0,5.0,SW,50,15:35,12.4,95,8,N,2,1012.9,16.5,50,3,SSW,35,1014.1
