"Daily Weather Observations for Perth Airport, Western Australia for September 2016"
"Prepared at 13:10 GMT on Friday 11 August 2017   IDCJDW6110.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,3.5,17.5,0.8,2.8,10.4,WSW,31,15:20,11.0,74,0,SSE,9,1026.5,16.9,48,1,WSW,19,1023.4
,2016-09-2,4.4,17.8,0,4.2,3.9,SW,33,14:04,12.4,72,7, ,Calm,1023.3,16.6,48,6,SW,17,1020.6
,2016-09-3,4.2,19.6,0,1.2,10.3,ENE,28,15:33,13.0,70,1, ,Calm,1025.5,19.1,42,1,N,9,1021.7
,2016-09-4,7.7,22.6,0,2.8,7.3,WSW,35,14:54,13.4,64,7,NE,7,1021.3,21.4,38,2,SW,26,1016.6
,2016-09-5,6.2,20.3,0,2.8,9.8,WNW,46,14:33,11.9,82,1,WSW,9,1018.3,19.0,58,1,W,22,1015.1
,2016-09-6,6.8,19.4,0,2.6,8.6,NW,44,17:41,14.1,77,1,NNE,9,1013.4,18.7,50,6,NW,28,1009.2
,2016-09-7,12.5,17.0,7.6,3.0,7.9,WSW,70,02:31,14.2,63,4,WSW,33,1012.4,16.0,45,6,WNW,33,1013.9
,2016-09-8,11.4,17.7,7.8,3.8,8.6,WSW,52,02:30,13.9,56,7,S,19,1024.3,17.0,43,2,SW,11,1023.4
,2016-09-9,6.7,18.9,0,4.0,4.0,WSW,28,15:04,12.7,70,8,NNE,13,1025.1,17.8,52,7,WSW,17,1021.5
,2016-09-10,11.9,19.8,1.4,1.4,4.0,WSW,31,14:41,15.6,82,2,N,9,1021.3,18.5,62,7,WSW,24,1018.8
,2016-09-11,11.5,15.5,0,4.2,8.7,SE,52,10:31,13.2,60,6,SSE,17,1024.3,14.9,56,7,ESE,30,1023.1
,2016-09-12,8.6,17.4,0,2.0,9.3,ESE,63,09:58,12.6,46,4,ESE,30,1028.7,16.5,36,5,ESE,28,1025.0
,2016-09-13,8.1,17.8,0,4.0,10.3,E,57,09:10,12.3,44,3,E,41,1028.4,17.2,29,1,E,31,1025.2
,2016-09-14,7.6,19.3,0,5.0,11.0,ENE,37,08:29,12.8,55,0,ENE,26,1027.4,18.5,34,2,NNW,11,1022.7
,2016-09-15,3.8,18.5,0,3.2,7.2,W,57,17:54,13.4,57,1,NNE,13,1017.4,16.6,55,7,W,24,1012.8
,2016-09-16,5.0,17.3,7.4,3.0,10.2,SSW,39,11:59,11.9,58,1,S,20,1021.3,15.5,37,4,S,20,1020.8
,2016-09-17,7.0,18.4,0,3.6,9.4,NE,43,06:21,12.5,53,2,ENE,17,1026.7,16.8,37,6,N,7,1023.6
,2016-09-18,3.1,18.9,0,3.0,2.7,WNW,81,20:48,12.9,59,5,NNE,11,1018.1,15.7,58,8,WNW,26,1013.4
,2016-09-19,4.1,16.3,11.0,3.8,9.3,SW,48,00:43,11.7,61,7,S,22,1017.3,15.0,55,6,SW,28,1017.3
,2016-09-20,5.9,19.3,0,2.6,10.4,WSW,26,15:18,14.6,55,5,S,6,1022.1,18.6,43,1,W,13,1019.2
,2016-09-21,5.0,23.4,0,2.2,10.9,NNW,33,14:18,15.3,62,0,NNE,7,1019.4,22.9,27,1,WNW,15,1015.2
,2016-09-22,6.1,19.0,0,4.0,3.6,SW,44,13:48,14.5,74,7,NNE,11,1011.6,15.4,75,7,SW,26,1011.4
,2016-09-23,8.4,15.9,5.6,1.4,7.8,WSW,56,13:21,12.7,66,7,S,19,1015.7,14.5,43,6,SW,30,1015.3
,2016-09-24,4.2,17.4,0.4,3.0,7.1,W,41,12:41,10.1,71,7,N,9,1018.4,16.6,43,5,W,20,1014.4
,2016-09-25,8.8,17.6,10.0,2.4,8.0,SW,41,16:49,12.7,74,6,SSE,17,1018.0,17.0,41,2,WSW,20,1017.4
,2016-09-26,3.9,17.6,0,3.0,4.0,W,35,10:22,12.5,66,5,N,15,1021.3,16.8,58,8,W,20,1018.7
,2016-09-27,11.2,19.4,2.6,2.8,5.9,WSW,72,13:44,17.0,56,4,WNW,24,1013.6,14.6,69,7,WSW,22,1011.0
,2016-09-28,4.8,16.2,7.2,3.0,11.1,S,46,11:52,11.7,52,1,S,26,1024.1,16.1,40,3,SSW,15,1022.1
,2016-09-29,5.2,19.4,0,5.0,11.3,E,37,03:17,12.8,45,0,NE,22,1021.8,18.7,33,0,NNW,6,1015.5
,2016-09-30,6.3,19.1,0,3.2,5.2,SW,54,15:50,14.3,67,6,NNE,15,1008.9,18.4,52,3,W,26,1006.9
