"Daily Weather Observations for Perth Airport, Western Australia for October 2016"
"Prepared at 13:07 GMT on Thursday 10 August 2017   IDCJDW6110.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,10.5,16.2,4.2,1.0,7.0,WSW,96,14:51,15.0,63,4,WSW,44,1004.4,11.9,70,3,WSW,56,1006.8
,2016-10-2,9.1,17.5,2.6,5.2,8.4,SW,65,10:30,14.8,49,6,SW,39,1016.6,16.1,51,6,SW,30,1017.9
,2016-10-3,7.1,19.0,0,4.0,1.8,WNW,39,14:15,15.0,75,8,WSW,7,1020.0,16.5,82,7,WNW,17,1019.2
,2016-10-4,11.4,21.1,4.0,3.6,7.8,NW,35,12:03,16.1,84,6,N,15,1018.9,19.5,59,5,WNW,20,1016.0
,2016-10-5,8.1,23.6,0,3.0,11.7,WNW,35,15:06,17.1,67,1,NNE,15,1014.0,23.4,36,1,WNW,24,1009.7
,2016-10-6,12.0,21.8,0,2.2,6.6,NW,48,12:38,18.7,76,8,NNW,17,1010.9,21.4,55,6,WNW,26,1010.5
,2016-10-7,14.7,24.7,0.2,3.0,8.7,N,37,11:26,18.8,76,6,NNE,24,1012.9,24.2,50,6,WNW,22,1009.6
,2016-10-8,15.2,18.7,7.4,5.4,1.9,WSW,59,17:30,16.3,91,7,NNW,15,1008.5,17.4,69,8,WNW,33,1008.8
,2016-10-9,12.7,19.0,7.4,3.0,6.7,SW,50,08:08,15.8,60,4,WSW,30,1021.6,16.9,44,2,SSW,33,1022.3
,2016-10-10,6.3,20.9,0,4.4,11.7,SW,37,15:36,14.9,48,1,E,17,1029.6,20.0,40,0,W,22,1026.1
,2016-10-11,9.1,26.1,0,5.0,11.8,E,43,07:26,16.5,47,0,E,28,1026.3,25.5,21,0,E,11,1021.5
,2016-10-12,13.2,32.6,0,6.4,11.8,ENE,54,03:34,22.8,26,0,NE,20,1017.0,32.2,14,0,NNE,17,1011.4
,2016-10-13,9.3,24.9,0,7.0,11.7,W,44,15:15,20.8,56,3,NNW,4,1011.9,22.8,56,2,WSW,19,1010.6
,2016-10-14,13.5,20.8,0.8,3.4,8.6,W,50,21:56,18.3,64,7,W,28,1012.3,19.3,48,7,WNW,30,1010.9
,2016-10-15,11.2,17.8,4.0,5.2,8.1,SW,65,09:20,13.4,67,7,SW,30,1016.7,17.7,39,3,SW,35,1018.7
,2016-10-16,4.9,20.4,0.6,5.4,11.0,SW,50,14:39,15.6,42,2,SSE,22,1026.7,18.9,43,1,SW,28,1024.0
,2016-10-17,6.6,20.1,0,4.4,6.6,SW,37,16:34,16.2,54,7,SSW,22,1025.7,18.8,57,7,SW,19,1022.5
,2016-10-18,10.6,21.8,0,4.0,11.9,E,46,05:01,15.7,47,1,ENE,24,1024.0,20.1,41,2,SW,24,1019.5
,2016-10-19,5.9,19.8,0,6.0,10.1,SSW,44,23:31,15.8,53,7,SSW,17,1017.5,18.6,49,6,WSW,26,1013.7
,2016-10-20,10.0,19.4,4.4,4.8,12.0,SSW,43,18:24,14.3,47,3,SSE,30,1019.7,18.6,31,4,S,20,1019.5
,2016-10-21,7.7,22.0,0,5.4,12.0,E,56,02:50,13.8,41,0,E,35,1028.2,21.2,23,0,E,11,1023.8
,2016-10-22,8.3,28.5,0,4.8,12.0,E,61,06:18,19.1,28,0,NE,22,1023.3,27.8,10,0,N,13,1016.9
,2016-10-23,8.8,29.3,0,8.8,12.5,WSW,39,13:29,23.2,22,0,N,7,1012.0,25.7,19,0,W,24,1009.7
,2016-10-24,8.6,22.1,0,6.6,10.6,WSW,48,16:52,19.1,55,5,SSE,17,1013.4,20.2,53,6,SSW,31,1011.7
,2016-10-25,7.1,20.3,0,4.8,10.3,SW,35,12:40,16.2,49,7,W,6,1016.8,18.5,60,7,WSW,26,1016.1
,2016-10-26,6.6,22.6,0,4.4,11.5,WSW,37,13:45,18.0,56,5,ENE,11,1020.7,20.6,45,1,W,22,1018.4
,2016-10-27,6.3,22.6,0,4.0,11.8,SW,43,15:24,18.7,49,3,SSW,17,1021.0,21.7,41,1,WSW,35,1017.9
,2016-10-28,5.9,22.2,0,6.4,12.2,W,44,14:30,17.8,54,0,SW,15,1015.3,20.8,38,1,WSW,28,1012.0
,2016-10-29,11.7,20.5,0.4,6.0,8.4,WSW,57,09:47,18.1,65,7,W,24,1013.1,19.5,44,7,WSW,33,1014.4
,2016-10-30,6.9,21.5,1.8,4.8,12.1,SW,43,17:20,15.8,38,1,SSE,15,1023.7,20.1,36,0,WSW,30,1020.0
,2016-10-31,10.7,22.9,0,5.4,12.2,WNW,52,13:21,17.0,47,0,E,13,1021.8,21.4,40,1,SW,35,1018.5
