"Daily Weather Observations for Perth Airport, Western Australia for November 2016"
"Prepared at 13:08 GMT on Wednesday  9 August 2017   IDCJDW6110.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,11.6,26.5,0,7.2,12.4,E,46,06:38,18.3,45,0,ESE,20,1020.4,25.2,34,0,WSW,24,1014.8
,2016-11-2,11.5,31.0,0,7.4,12.5,E,44,01:44,21.4,41,0,E,19,1014.6,29.8,24,1,WSW,22,1010.5
,2016-11-3,12.4,24.1,0,9.2,12.6,SW,41,14:57,18.0,57,0,SSW,22,1016.7,22.5,46,0,SW,31,1016.4
,2016-11-4,15.7,27.4,0,5.8,9.3,S,39,00:14,18.4,65,7,E,19,1022.1,26.6,45,0,WSW,26,1018.2
,2016-11-5,13.6,37.2,0,6.6,12.8,ENE,35,07:45,25.6,40,0,E,20,1017.9,36.6,17,0,N,7,1012.4
,2016-11-6,15.3,26.6,0,8.6,12.5,SW,54,13:04,23.2,58,1,SSW,15,1014.0,23.0,57,4,SW,35,1014.8
,2016-11-7,10.9,23.3,0,7.6,12.6,WSW,41,13:09,17.4,42,1,SE,13,1019.5,20.7,39,7,SW,30,1016.3
,2016-11-8,11.1,24.0,0,7.2,12.4,SW,48,19:12,18.5,45,0,ENE,9,1014.2,21.4,40,1,WSW,26,1010.1
,2016-11-9,10.9,21.6,0,8.4,8.1,W,44,12:31,16.7,58,7,SSW,15,1011.5,20.6,39,1,SW,26,1010.1
,2016-11-10,6.4,22.2,0,5.0,8.0,NW,50,14:13,19.0,51,2,N,13,1011.7,17.5,83,8,WNW,28,1009.2
,2016-11-11,7.9,21.2,0.6,6.0,10.0,WSW,46,14:30,17.9,47,5,SW,24,1016.1,20.2,38,4,WSW,30,1016.2
,2016-11-12,5.1,23.6,0,6.0,12.2,SW,48,16:03,19.4,42,1,S,15,1022.1,22.0,46,1,SW,30,1019.9
,2016-11-13,9.7,31.6,0,7.0,12.9,E,52,05:06,21.2,38,0,E,22,1023.0,30.8,10,1,ESE,19,1017.6
,2016-11-14,13.1,37.1,0,9.8,12.9,ENE,50,04:03,28.5,12,0,NE,31,1014.2,36.2,6,0,NNE,17,1008.6
,2016-11-15,17.0,36.8,0,10.0,12.5,WNW,43,11:44,32.1,15,0,NNE,20,1005.6,24.7,59,4,WNW,24,1004.6
,2016-11-16,18.3,21.8,0,7.8,4.3,NW,48,12:55,20.6,65,7,NNW,11,1004.6,19.3,66,7,SSW,13,1007.7
,2016-11-17,8.2,22.5,5.0,3.8,13.2,WNW,43,14:10,17.1,40,1,S,13,1022.8,21.2,38,0,SW,28,1020.8
,2016-11-18,7.8,30.0,0,7.8,12.8,SW,37,15:17,21.9,38,0,ENE,17,1020.1,27.3,29,0,W,24,1015.4
,2016-11-19,9.0,26.5,0,8.4,12.9,SW,46,19:46,22.2,45,1,SW,7,1013.5,24.8,36,4,SW,28,1011.8
,2016-11-20,12.7,23.6,0,9.2,10.6,SW,52,15:43,20.9,38,5,S,28,1016.3,22.3,40,1,SW,37,1015.2
,2016-11-21,8.8,22.6,0,7.4,12.6,S,44,19:58,17.9,44,7,ENE,13,1020.8,21.4,35,6,SW,26,1018.0
,2016-11-22,12.6,28.9,0,7.4,13.2,E,57,07:01,21.6,29,0,E,24,1019.6,27.5,25,0,SW,31,1015.6
,2016-11-23,13.2,33.1,0,9.4,13.2,E,56,23:26,25.7,28,1,ENE,22,1018.5,31.3,17,1,SW,31,1015.5
,2016-11-24,18.4,34.6,0,12.6,13.0,E,69,03:45,26.0,30,0,E,24,1018.7,33.6,14,1,SE,9,1015.1
,2016-11-25,16.7,35.2,0,11.6,13.0,E,69,01:09,25.9,30,0,NE,26,1017.4,35.2,14,1,W,13,1013.5
,2016-11-26,18.9,38.2,0,11.8,13.1,ENE,44,03:25,32.0,19,1,NE,22,1014.0,37.1,8,1,WNW,17,1010.2
,2016-11-27,12.9,32.0,0,11.4,13.2,SW,39,14:45,26.9,36,0,SSW,13,1013.2,31.3,23,0,SW,28,1012.9
,2016-11-28,13.4,29.9,0,9.2,13.1,W,37,17:12,22.9,45,1,E,6,1015.4,26.6,40,0,WSW,26,1013.3
,2016-11-29,13.2,28.3,0,10.2,13.2,W,46,13:25,21.4,51,1,SSW,17,1017.1,26.1,41,3,WSW,30,1013.2
,2016-11-30,15.0,27.4,0,8.0,13.1,SW,43,13:59,22.5,44,1,S,11,1014.4,24.7,37,3,SW,31,1012.7
