"Daily Weather Observations for Perth Airport, Western Australia for December 2016"
"Prepared at 13:07 GMT on Tuesday  8 August 2017   IDCJDW6110.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,11.0,25.2,0,9.0,10.2,SW,41,13:41,20.0,53,7,SE,13,1016.4,23.2,38,7,SW,28,1013.5
,2016-12-2,13.3,29.1,0,7.4,12.8,E,43,05:48,21.5,42,1,E,9,1012.6,26.5,34,2,WSW,22,1008.8
,2016-12-3,13.7,23.5,0,7.8,9.6,WSW,52,18:16,20.9,48,8,SSW,20,1009.1,21.8,58,7,W,22,1008.7
,2016-12-4,13.7,24.5,0.6,6.2,12.2,W,44,13:50,18.4,39,2,SE,20,1015.3,22.2,34,1,WSW,30,1012.6
,2016-12-5,11.6,24.8,0,10.0,12.7,SW,50,14:11,19.3,46,1,SE,15,1015.2,23.2,35,0,SW,35,1013.7
,2016-12-6,10.7,25.5,0,11.8,12.7,W,43,12:59,21.6,47,7,SSW,9,1016.8,23.6,40,1,SW,28,1013.8
,2016-12-7,17.3,24.6,0,8.6,11.3,SW,52,09:26,21.2,58,5,SSW,31,1016.4,23.2,39,0,SW,31,1015.3
,2016-12-8,13.4,30.9,0,11.4,11.3,ESE,61,01:49,20.5,34,0,ESE,26,1020.1,29.7,13,0,ESE,20,1015.2
,2016-12-9,13.5,36.0,0,8.0,13.3,E,41,03:25,27.1,24,0,ENE,22,1014.6,34.2,12,0,SW,30,1011.4
,2016-12-10,15.3,39.1,0,12.0,13.3,E,46,05:55,33.3,13,0,NE,24,1010.7,30.9,17,1,WNW,22,1009.7
,2016-12-11,16.2,30.7,0,10.6,8.0,SW,52,16:48,23.7,60,1,WSW,20,1011.5,27.6,30,7,SW,22,1007.3
,2016-12-12,17.8,24.7,7.0,7.6,6.0,SSW,50,14:09,20.0,89,7,NW,7,1010.1,21.5,56,7,SE,28,1011.1
,2016-12-13,14.9,26.4,0,5.2,11.8,W,39,14:56,19.1,52,5,SSE,19,1020.5,25.1,41,0,W,30,1017.7
,2016-12-14,15.1,31.2,0,8.6,13.3,E,46,03:23,22.4,47,0,ESE,20,1021.4,30.3,25,1,E,19,1016.4
,2016-12-15,17.2,33.8,0,9.0,10.2,SW,44,16:12,27.7,31,5,NE,24,1012.1,31.9,15,7,WSW,28,1009.5
,2016-12-16,17.3,30.9,0,10.6,13.3,ESE,57,23:24,22.0,45,1,ESE,19,1013.9,30.6,22,0,SSE,20,1010.7
,2016-12-17,14.1,30.7,0,11.0,13.1,E,61,03:18,21.7,40,0,E,33,1014.2,28.0,34,1,SSW,30,1010.1
,2016-12-18,14.7,25.9,0,10.4,13.1,WSW,48,14:17,21.8,45,1,SSW,26,1012.8,24.5,47,0,WSW,31,1012.3
,2016-12-19,13.7,28.0,0,8.8,13.2,SW,39,14:36,21.4,44,0,ESE,15,1016.6,26.4,39,0,SW,30,1013.5
,2016-12-20,15.8,34.4,0,10.0,13.3,E,54,02:31,23.7,38,0,E,28,1015.2,33.5,17,0,ESE,19,1010.2
,2016-12-21,20.1,42.8,0,11.4,13.0,E,67,02:09,30.6,22,1,ENE,37,1008.0,41.9,12,1,NNE,30,1001.9
,2016-12-22,20.2,27.7,0,13.2,9.4,SW,43,17:00,21.6,64,7,SW,24,1009.9,26.5,44,0,SW,30,1008.0
,2016-12-23,15.7,34.1,0,9.4,13.2,SW,48,15:46,26.9,37,0,ENE,19,1009.1,32.6,22,0,SW,33,1005.2
,2016-12-24,16.6,31.4,0,13.0,13.1,SW,48,18:52,25.2,41,1,SSW,13,1007.0,28.7,42,0,SW,31,1004.2
,2016-12-25,17.8,34.0,0,11.8,13.2,E,56,23:05,24.1,41,1,SSE,24,1011.2,32.8,24,0,ESE,19,1007.4
,2016-12-26,16.2,33.8,0,12.2,13.1,ENE,59,01:26,25.8,39,0,E,17,1006.6,26.2,41,1,WSW,31,1003.6
,2016-12-27,16.3,23.2,0.4,8.4,11.1,SW,61,08:15,20.1,41,6,SSW,41,1005.9,21.7,37,1,SSW,41,1006.7
,2016-12-28,8.9,23.5,0.6,8.2,13.1,SSW,48,08:38,19.4,39,7,S,30,1012.1,22.7,36,1,WSW,31,1010.6
,2016-12-29,9.5,24.8,0,9.6,13.2,W,39,14:21,19.2,41,1,S,9,1013.7,23.5,41,0,SW,22,1010.1
,2016-12-30,10.6,24.2,0,7.0,13.1,SW,56,16:36,20.0,51,1,WSW,9,1009.0,23.5,43,2,WSW,33,1007.9
,2016-12-31,12.1,28.9,0,8.0,13.2,SW,48,17:28,20.3,46,1,SSE,15,1016.1,27.4,35,1,WSW,31,1012.9
