"Daily Weather Observations for Perth Airport, Western Australia for January 2017"
"Prepared at 16:08 GMT on Monday  7 August 2017   IDCJDW6110.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,16.1,32.8,0,12.6,13.3,E,57,04:50,22.8,41,0,E,26,1017.4,32.1,14,0,WSW,20,1012.6
,2017-01-2,16.2,37.4,0,11.6,13.2,E,57,00:51,28.1,29,0,NE,20,1013.8,37.0,12,0,ESE,20,1010.0
,2017-01-3,18.7,40.2,0,12.2,13.3,E,43,02:56,31.5,23,0,NE,24,1010.8,39.6,8,0,E,7,1007.3
,2017-01-4,19.8,43.3,0,12.6,13.3,ENE,39,04:34,34.5,17,1,ENE,19,1007.8,38.1,10,1,WSW,15,1005.3
,2017-01-5,20.6,25.6,0,11.8,8.3,SW,57,19:46,22.0,71,7,SW,20,1007.6,23.9,54,5,WSW,30,1007.5
,2017-01-6,16.5,24.1,0,10.0,9.3,SW,52,10:23,19.6,44,7,SW,26,1011.7,23.0,43,3,SW,35,1009.5
,2017-01-7,9.5,26.5,0,7.2,12.9,WSW,46,14:56,20.2,48,1,ESE,7,1012.4,24.3,43,0,WSW,33,1009.5
,2017-01-8,15.5,31.6,0,7.8,13.1,SW,41,16:45,24.2,42,0,SE,7,1011.7,29.9,35,0,SW,30,1008.9
,2017-01-9,17.9,36.4,0,10.0,13.1,E,43,09:03,25.1,38,0,E,24,1012.1,34.8,24,0,WSW,26,1007.5
,2017-01-10,19.7,36.4,0,12.6,13.1,SW,37,15:34,28.5,29,0,E,15,1010.5,35.0,24,0,W,26,1007.9
,2017-01-11,21.8,37.6,0,12.4,13.1,SW,43,20:55,30.4,35,0,NE,11,1006.0,31.0,35,1,W,24,1003.2
,2017-01-12,16.8,24.7,0,10.6,10.8,SW,56,15:46,22.6,36,4,SSW,35,1008.1,23.3,39,3,SW,39,1008.5
,2017-01-13,8.0,27.2,0,8.2,13.1,SW,39,16:03,19.3,40,0,ENE,15,1015.7,25.8,37,0,WSW,24,1012.1
,2017-01-14,13.2,37.7,0,9.0,13.1,E,41,07:33,25.9,33,0,ENE,17,1013.2,36.9,11,0,SW,15,1009.4
,2017-01-15,13.6,35.5,0,13.0,13.1,SW,39,18:04,28.6,30,0,SW,11,1008.4,32.8,31,1,SW,24,1005.7
,2017-01-16,16.2,28.1,0,10.0,11.5,SW,54,13:25,21.5,53,4,SSW,15,1010.3,25.7,45,1,SW,35,1008.8
,2017-01-17,15.9,31.4,0,7.4,13.2,E,56,23:43,21.8,42,0,E,30,1014.6,29.7,25,0,SSE,17,1010.9
,2017-01-18,16.7,34.4,0,13.2,9.2,E,61,02:12,24.4,40,1,ENE,28,1011.2,32.6,20,7,SW,15,1006.2
,2017-01-19,16.8,25.8,0,10.0,11.8,WSW,50,14:01,20.9,52,6,SSW,28,1011.9,23.6,41,1,SW,33,1010.7
,2017-01-20,13.4,28.5,0,10.0,13.1,WSW,39,12:53,21.8,41,0,E,15,1012.3,26.9,35,0,WSW,24,1009.5
,2017-01-21,12.4,34.5,0,8.2,13.0,SW,44,16:32,24.1,44,0,SSW,13,1008.9,32.3,24,0,SW,31,1005.0
,2017-01-22,15.8,26.3,0,9.2,13.0,SW,52,13:19,21.9,56,1,S,28,1010.1,24.8,37,1,SW,28,1010.5
,2017-01-23,9.6,26.9,0,9.2,12.7,SSW,54,14:46,20.9,47,1,SSW,19,1016.7,25.3,37,0,SW,35,1015.2
,2017-01-24,12.1,33.6,0,9.4,13.2,E,46,06:42,22.7,38,0,ENE,24,1018.1,32.6,24,0,WSW,26,1014.3
,2017-01-25,16.7,39.9,0,10.8,13.2,E,48,03:32,28.3,26,0,ENE,20,1016.9,39.6,10,0,NE,17,1012.8
,2017-01-26,21.7,41.9,0,13.8,13.0,NE,43,09:46,34.3,11,0,NE,26,1013.0,41.2,7,0,WSW,20,1009.0
,2017-01-27,20.7,36.1,0,14.2,12.9,E,50,23:40,29.6,31,3,SW,11,1009.9,34.1,33,1,WSW,26,1007.4
,2017-01-28,19.8,39.8,0,13.0,12.7,ESE,54,01:33,26.9,38,2,E,31,1008.8,36.9,26,1,SW,26,1004.2
,2017-01-29,22.2,25.6,0.2,11.2,0.3,ESE,57,23:46,22.3,85,8,W,11,1011.2,24.3,79,8,NW,11,1010.3
,2017-01-30,16.5,19.7,5.8,1.4,0.0,E,48,02:03,16.8,91,8,ENE,19,1017.3,18.4,88,8,SE,17,1014.3
,2017-01-31,15.8,22.1,33.8,3.6,0.0,E,43,00:08,17.4,89,7,E,13,1014.7,19.4,88,7,SE,24,1011.7
