"Daily Weather Observations for Perth Airport, Western Australia for February 2017"
"Prepared at 13:07 GMT on Sunday  6 August 2017   IDCJDW6110.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,17.3,30.2,2.0,1.0,11.2,ENE,41,14:58,22.0,65,1,ESE,17,1018.1,28.1,49,2,ENE,22,1015.8
,2017-02-2,18.3,31.7,0,6.4,8.0,E,41,11:29,21.9,72,7,E,19,1017.5,30.5,48,1,E,19,1012.2
,2017-02-3,18.8,33.6,0,5.4,12.2,SSW,41,13:37,28.4,52,5,SW,13,1009.0,31.7,38,1,SSW,31,1006.5
,2017-02-4,16.1,29.4,0,9.8,12.5,WSW,41,14:20,23.0,57,0,SW,17,1009.2,27.3,47,0,WSW,30,1007.3
,2017-02-5,17.3,30.2,0,10.4,12.6,ESE,63,23:13,22.3,52,1,ESE,30,1012.2,29.5,33,1,SSE,22,1008.8
,2017-02-6,16.7,33.8,0,9.6,12.3,E,54,00:09,23.2,46,0,E,30,1010.7,33.2,26,1,SSE,13,1005.8
,2017-02-7,20.5,29.6,0,9.6,7.8,SW,57,17:23,27.1,58,6,NE,13,1004.3,23.9,55,6,SW,37,1004.0
,2017-02-8,14.6,26.7,0,7.6,12.5,SSE,59,10:22,19.2,41,6,SSE,31,1012.7,25.5,23,2,SSE,35,1009.9
,2017-02-9,14.1,17.1,2.0,10.0,0.0,ESE,56,10:56,15.0,83,7,ESE,24,1012.4,16.9,82,7,SE,24,1008.8
,2017-02-10,14.9,21.3,74.8,14.4,0.0,ESE,81,23:56,16.7,86,8,SE,20,1007.5,19.8,86,8,SSE,19,1007.4
,2017-02-11,16.7,24.8,10.0,2.0,4.6,E,74,21:09,21.0,74,7,ESE,35,1009.4,23.4,66,7,ESE,33,1010.9
,2017-02-12,19.7,27.9,0,3.8,7.5,E,61,10:07,21.4,71,7,E,37,1015.3,27.5,54,6,ESE,31,1014.1
,2017-02-13,21.1,34.2,0.2,10.6,7.2,E,48,00:33,25.4,69,7,ENE,24,1013.6,32.7,50,7,SE,9,1010.5
,2017-02-14,23.7,30.5,0.4,4.6,11.0,W,33,13:08,28.2,66,6,SSW,19,1012.2,29.4,57,1,W,20,1012.1
,2017-02-15,19.2,32.3,0,8.0,9.0,ESE,39,22:08,24.5,71,7,ENE,20,1015.2,30.5,51,7,ENE,13,1011.9
,2017-02-16,18.1,31.3,0,8.2,11.3,ESE,56,23:16,22.7,56,1,ESE,11,1015.0,29.4,47,1,W,22,1012.1
,2017-02-17,15.9,32.2,0,8.4,12.3,E,48,01:06,21.4,50,0,E,26,1018.7,31.9,28,0,E,20,1015.8
,2017-02-18,17.1,34.8,0,9.0,12.4,E,57,22:32,23.5,49,0,E,24,1019.5,34.0,26,0,E,28,1015.8
,2017-02-19,22.9,38.4,0,11.0,12.3,E,48,00:18,29.6,34,0,ENE,19,1014.4,34.9,36,1,W,24,1011.3
,2017-02-20,20.1,27.2,0,8.8,11.3,SW,44,17:53,22.2,62,3,SSW,19,1013.3,24.2,47,4,SW,26,1010.5
,2017-02-21,16.3,23.1,0.4,12.0,10.2,WSW,59,15:07,19.4,55,7,SW,43,1014.2,22.4,35,4,SW,41,1015.3
,2017-02-22,7.8,24.7,0,7.0,11.9,SW,41,14:50,19.3,48,3,S,15,1021.9,24.1,42,1,SW,30,1019.4
,2017-02-23,10.2,32.1,0,7.8,11.9,SW,33,16:01,21.9,52,1,ENE,22,1021.8,31.3,25,0,WSW,19,1018.5
,2017-02-24,16.1,36.4,0,9.6,12.1,E,52,06:30,26.3,37,0,ENE,28,1020.6,36.3,14,0,ENE,17,1016.7
,2017-02-25,21.5,39.0,0,9.8,12.1,E,37,06:50,30.7,25,0,NE,24,1015.7,38.3,12,0,WSW,7,1011.3
,2017-02-26,16.5,30.2,0,10.8,12.1,SW,33,18:25,24.0,61,1,SSW,11,1011.7,27.2,52,1,W,20,1011.4
,2017-02-27,13.2,30.5,0,5.8,11.8,W,37,14:40,23.1,55,1,S,6,1015.2,28.1,46,1,W,24,1013.2
,2017-02-28,16.3,33.8,0,7.4,11.9,E,31,09:13,25.2,51,1,E,15,1014.9,32.5,40,3,W,20,1012.0
