"Daily Weather Observations for Perth Airport, Western Australia for March 2017"
"Prepared at 13:08 GMT on Saturday  5 August 2017   IDCJDW6110.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,20.3,38.1,0,8.4,11.5,NNE,50,23:07,26.7,53,1,ENE,26,1013.8,37.0,32,1,WSW,17,1010.7
,2017-03-2,21.9,29.1,6.8,10.0,0.7,NNW,39,02:57,24.1,91,8,SSE,20,1015.8,25.2,82,8,SW,17,1015.5
,2017-03-3,19.0,36.5,0,2.2,11.1,SW,37,16:03,26.3,65,2,SSW,9,1016.0,34.8,32,1,SW,26,1012.9
,2017-03-4,23.4,35.7,0,9.0,11.6,SE,35,21:17,27.0,51,3,ESE,11,1015.7,35.5,30,3,SE,15,1012.7
,2017-03-5,21.1,36.1,0,9.2,11.4,E,39,09:18,25.3,54,1,E,24,1015.8,35.1,28,4,S,11,1011.9
,2017-03-6,18.0,35.6,0,8.0,11.8,WSW,31,13:34,26.4,53,1,NNE,9,1013.4,33.7,37,0,W,19,1010.4
,2017-03-7,16.1,35.3,0,9.0,10.8,SW,33,14:52,24.5,66,1,NW,6,1013.1,34.1,40,7,SW,24,1009.0
,2017-03-8,21.4,35.0,0,7.4,11.7,ESE,41,22:38,25.6,54,3,ESE,15,1010.9,34.1,31,7,SSW,11,1008.1
,2017-03-9,17.0,32.3,0,7.6,11.0,SE,48,20:35,22.0,65,5,SE,17,1013.0,31.7,39,1,SSE,20,1009.2
,2017-03-10,19.6,30.1,0,7.0,11.3,SE,50,20:03,22.6,58,1,SE,30,1013.6,29.6,34,0,SE,28,1011.2
,2017-03-11,15.4,30.4,0,7.4,10.9,ENE,57,08:46,19.6,55,2,E,37,1016.9,30.4,26,3,ESE,24,1013.4
,2017-03-12,17.9,25.1,0,11.2,0.5,E,54,01:19,20.9,47,7,ENE,24,1011.6,23.1,67,8,W,26,1008.6
,2017-03-13,20.3,23.8,3.4,2.2,3.9,WNW,46,13:10,23.5,72,7,WNW,26,1007.4,22.6,58,7,WNW,28,1008.6
,2017-03-14,15.2,24.0,0.8,5.0,7.3,NW,63,13:22,21.1,66,6,WNW,28,1011.1,22.8,51,7,WNW,33,1010.1
,2017-03-15,13.5,24.9,1.4,5.8,10.6,SW,43,01:21,19.9,50,4,SSE,24,1019.2,23.8,28,1,SW,20,1017.6
,2017-03-16,11.0,28.3,0,8.0,11.1,E,54,03:59,19.5,48,0,ENE,24,1018.3,28.3,25,0,NNE,11,1013.3
,2017-03-17,9.2,24.8,0,4.8,10.1,W,39,12:42,19.5,50,0,SSW,13,1011.3,22.9,55,3,W,24,1010.8
,2017-03-18,16.2,20.5,0.4,5.4,0.1,SSW,43,10:10,17.3,91,8,SSW,28,1017.1,19.3,56,8,SSW,20,1018.3
,2017-03-19,7.9,24.4,0,4.0,11.2,E,41,16:43,18.3,47,1,SSE,17,1024.5,23.8,25,0,S,24,1020.3
,2017-03-20,12.1,26.5,0,6.2,10.4,E,46,04:27,17.4,47,0,ENE,33,1020.2,25.3,29,2,SE,24,1014.3
,2017-03-21,17.3,21.3,0,8.0,1.2,E,78,19:16,18.9,49,7,E,41,1009.8,17.6,79,7,E,44,1005.1
,2017-03-22,15.8,24.7,4.8,2.6,7.4,NE,54,02:47,20.4,72,5,NW,30,1007.9,22.6,62,5,NW,30,1008.0
,2017-03-23,16.5,24.6,0.4,4.6,9.6,SW,43,14:48,20.4,73,5,SSW,17,1013.6,23.9,50,5,WSW,28,1012.3
,2017-03-24,14.5,27.3,0,3.4,10.6,WSW,31,14:51,20.0,69,1,SSW,11,1016.5,25.2,53,4,WSW,24,1012.3
,2017-03-25,15.5,28.2,0,5.6,10.9,E,39,02:09,21.2,60,1,E,22,1012.4,25.6,51,1,WSW,17,1008.5
,2017-03-26,16.0,22.9,1.8,5.6,9.4,WSW,56,06:12,19.7,50,3,WSW,35,1013.3,20.5,44,4,SW,37,1015.8
,2017-03-27,6.3,24.0,0,6.2,10.3,SSW,37,17:00,16.8,53,1,NNE,7,1023.8,23.7,31,5,SW,19,1019.6
,2017-03-28,6.9,23.5,0,5.4,7.8,SW,39,17:10,17.3,62,2,N,6,1019.6,21.9,58,6,SW,24,1017.4
,2017-03-29,12.7,24.9,0,4.0,11.0,ESE,50,13:01,16.8,44,0,ESE,31,1025.1,24.2,20,0,ESE,28,1021.7
,2017-03-30,12.9,28.1,0,7.4,11.1,E,54,02:51,18.0,41,0,ENE,30,1023.4,27.7,24,0,SSE,9,1020.0
,2017-03-31,10.7,29.9,0,6.2,10.9,ESE,54,23:30,20.7,35,1,ENE,13,1023.0,29.3,19,0,E,17,1020.5
