"Daily Weather Observations for Perth Airport, Western Australia for April 2017"
"Prepared at 13:07 GMT on Friday  4 August 2017   IDCJDW6110.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,14.7,30.1,0,8.2,10.8,E,56,00:42,19.6,49,0,E,31,1024.0,30.1,19,0,E,17,1020.3
,2017-04-2,17.1,31.7,0,8.0,10.9,ENE,39,01:45,23.5,31,0,ENE,22,1021.7,31.0,17,0,S,11,1018.6
,2017-04-3,11.1,32.6,0,6.8,10.8,ESE,43,23:37,23.6,32,0,ENE,13,1022.7,32.2,14,0,WSW,22,1020.5
,2017-04-4,15.9,31.0,0,7.0,10.7,E,43,08:19,19.5,61,0,E,28,1024.9,30.6,27,0,SSW,13,1020.1
,2017-04-5,12.6,30.6,0,5.2,10.6,ENE,33,05:09,22.0,49,0,E,11,1018.2,29.6,30,0,W,15,1013.3
,2017-04-6,10.3,25.2,0,5.2,8.1,SW,50,17:00,18.0,75,7,NNE,7,1013.1,24.0,53,3,SW,30,1011.3
,2017-04-7,14.3,23.0,0,5.4,8.9,SSE,37,04:39,17.3,48,5,SE,20,1023.7,21.2,30,3,ESE,11,1021.6
,2017-04-8,7.9,24.4,0,5.0,10.5,SW,33,16:02,16.7,47,0,SW,7,1027.6,23.4,27,0,SSW,19,1024.3
,2017-04-9,9.9,27.3,0,4.8,10.4,ENE,46,07:56,17.7,53,0,ENE,24,1027.6,27.2,22,0,ENE,13,1023.1
,2017-04-10,14.3,29.7,0,5.6,10.4,ESE,31,00:17,19.1,43,4,ENE,20,1022.7,29.3,17,1,NNE,9,1018.4
,2017-04-11,13.2,28.5,0,6.6,10.5,E,39,06:16,21.0,35,0,NE,19,1016.7,26.6,30,0,WSW,20,1015.6
,2017-04-12,7.2,24.8,0,5.2,9.7,WSW,43,16:05,17.6,62,6,ENE,17,1021.6,23.6,44,1,WSW,28,1019.7
,2017-04-13,12.9,28.0,0,4.2,10.4,E,39,09:56,20.1,59,1,E,24,1024.3,27.2,31,1,SE,15,1019.9
,2017-04-14,13.5,29.4,0,5.8,6.2,E,30,03:09,18.7,62,4,ESE,6,1019.4,28.6,31,5,SW,15,1015.2
,2017-04-15,11.9,30.1,0,4.0,7.3,SE,50,23:42,18.6,69,6,SSW,9,1015.8,29.4,34,7,ESE,19,1011.5
,2017-04-16,17.4,26.4,0,5.4,7.0,ESE,46,01:47,18.9,63,4,SE,19,1014.8,26.0,40,5,SSE,20,1011.3
,2017-04-17,14.5,22.2,0,5.0,2.5,S,33,07:48,16.9,74,5,S,22,1015.3,21.4,56,8,S,19,1013.2
,2017-04-18,11.4,24.4,0,4.0,8.0,W,35,14:45,19.9,67,6,SSE,9,1012.8,23.3,59,1,WSW,24,1010.0
,2017-04-19,11.8,25.8,0,2.4,10.1,SW,31,14:45,17.4,77,0,NNE,7,1018.5,24.1,47,2,WSW,24,1017.3
,2017-04-20,9.1,29.2,0,5.6,10.3,WSW,33,15:02,19.9,58,0,E,11,1021.7,28.3,30,2,WSW,20,1017.9
,2017-04-21,11.2,29.6,0,4.0,10.0,ENE,35,07:20,21.6,54,7,NNE,9,1020.2,28.0,40,6,W,20,1016.9
,2017-04-22,15.1,28.7,0,4.4,10.0,ESE,48,21:35,21.7,57,3,ENE,24,1019.8,28.4,38,6,WSW,19,1017.0
,2017-04-23,16.7,28.6,0,5.4,10.3,ESE,52,00:29,20.9,62,3,E,24,1020.7,27.9,36,5,SE,24,1017.0
,2017-04-24,14.5,27.0,0,6.0,10.3,E,43,01:51,18.8,63,1,ENE,19,1022.4,25.1,42,1,WSW,22,1019.0
,2017-04-25,12.1,24.6,0,5.0,10.2,S,31,20:00,16.6,63,1,S,15,1026.8,24.1,36,1,SE,11,1023.4
,2017-04-26,6.5,25.9,0,1.4,8.8,SSW,33,17:14,17.6,49,1,E,20,1027.7,25.1,30,6,WSW,20,1024.0
,2017-04-27,12.4,26.3,0,4.4,10.0,SSW,33,18:09,18.5,46,1,ENE,20,1027.1,25.3,26,1,W,17,1023.2
,2017-04-28,9.3,26.8,0,4.0,10.0,SE,44,13:14,19.1,40,1,NE,11,1026.3,26.4,21,0,S,13,1022.8
,2017-04-29,6.8,27.6,0,5.0,10.0,ENE,35,08:22,18.1,38,0,ENE,22,1024.2,26.8,22,0,SW,13,1020.5
,2017-04-30,6.2,25.2,0,4.2,9.3,S,37,13:29,15.7,57,4, ,Calm,1023.0,23.2,52,4,SSW,24,1020.4
