"Daily Weather Observations for Perth Airport, Western Australia for May 2017"
"Prepared at 13:11 GMT on Thursday  3 August 2017   IDCJDW6110.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,13.8,24.7,0,4.2,9.5,ENE,50,08:04,16.2,57,4,ENE,35,1026.0,24.3,33,1,SSW,9,1023.3
,2017-05-2,11.6,26.8,0,5.4,8.0,E,48,00:07,16.3,49,3,ENE,24,1025.8,26.2,29,5,ENE,13,1021.4
,2017-05-3,15.4,30.5,0,4.0,9.0,NNE,41,10:42,21.2,38,6,NNE,28,1020.6,26.6,30,7,W,19,1017.4
,2017-05-4,13.1,24.6,0,3.6,5.8,NW,33,11:11,18.3,77,7,NNE,13,1018.5,22.9,58,7,W,19,1017.1
,2017-05-5,15.2,24.3,7.8,2.2,8.6,W,33,14:54,19.9,85,4, ,Calm,1022.1,23.3,52,2,W,17,1021.7
,2017-05-6,12.4,26.8,0,3.4,9.5,ENE,33,10:24,16.5,76,6,E,22,1027.5,25.7,34,5,E,13,1024.4
,2017-05-7,12.5,30.9,0,4.0,9.7,NE,35,10:11,19.8,51,0,ENE,24,1023.9,29.9,23,0,SW,13,1020.0
,2017-05-8,12.9,28.2,0,4.0,7.8,W,28,04:07,19.2,49,7,NNE,13,1020.7,24.4,62,7,WNW,19,1016.9
,2017-05-9,16.9,21.2,1.8,2.0,2.0,SSW,35,17:47,18.2,83,7,S,13,1019.8,20.2,50,7,SW,22,1019.5
,2017-05-10,6.2,21.7,0,6.8,8.8,E,39,10:45,16.3,55,3,NW,7,1023.3,20.8,34,5,S,17,1020.6
,2017-05-11,9.1,22.6,0,3.2,7.6,SSE,35,12:30,16.2,62,2,SE,7,1023.2,20.5,35,4,SSE,15,1019.7
,2017-05-12,10.1,22.6,0,3.2,9.1,ENE,37,10:00,13.2,74,4,E,17,1022.1,21.9,33,3,WNW,9,1018.5
,2017-05-13,9.5,23.3,0,2.8,7.2,NE,30,09:25,15.5,55,0,ENE,13,1020.4,21.5,39,7,WSW,19,1018.6
,2017-05-14,11.5,25.9,0,4.2,6.2,NW,50,14:46,19.4,38,7,NNE,22,1013.2,22.6,52,7,NW,33,1009.1
,2017-05-15,15.5,20.9,3.8,3.2,4.2,WNW,76,10:29,19.4,58,4,W,26,1008.3,18.6,62,4,WSW,24,1008.3
,2017-05-16,14.4,21.8,5.8,3.6,6.1,W,35,00:39,15.7,83,7,S,13,1015.4,20.1,51,4,SSW,17,1015.4
,2017-05-17,9.4,20.2,0,2.2,9.5,ENE,46,14:02,14.8,78,1,E,22,1021.8,19.5,52,1,ENE,24,1019.8
,2017-05-18,12.3,25.6,0,2.8,9.1,NNE,39,10:28,17.2,54,3,NNE,24,1019.3,24.4,28,1,NW,30,1016.6
,2017-05-19,13.9,22.2,1.8,3.6,4.1,SW,52,20:05,16.5,96,8,NNE,15,1014.4,20.9,62,5,W,24,1011.3
,2017-05-20,9.8,17.0,7.6,4.0,1.4,NNE,28,10:48,12.9,84,8,ENE,9,1015.0,15.1,79,7,ENE,9,1011.7
,2017-05-21,11.8,17.7,15.8,1.4,4.3,WSW,54,12:11,14.8,90,7,WSW,24,1006.6,17.0,54,5,SW,30,1009.3
,2017-05-22,7.9,19.2,4.2,2.2,6.0,WNW,30,13:33,12.5,87,7,NE,7,1019.9,17.4,57,6,WSW,13,1019.7
,2017-05-23,12.1,17.8,4.0,2.2,0.2,NE,20,22:41,14.2,97,8,NNE,13,1023.3,17.2,86,7,N,9,1021.2
,2017-05-24,11.6,21.2,0.2,1.2,8.0,WNW,30,12:39,15.2,89,1,NNE,9,1022.7,20.4,51,3,WSW,15,1020.3
,2017-05-25,8.3,22.5,0,2.0,9.4,WNW,28,15:17,14.4,76,1,NE,11,1022.3,21.6,41,1,WSW,15,1018.8
,2017-05-26,9.7,19.9,4.2,2.8,6.7,SSW,31,11:13,15.9,89,0,SE,4,1021.2,18.1,55,3,S,17,1020.3
,2017-05-27,7.1,18.5,0,2.2,9.0,ESE,26,11:03,13.8,61,1,SSW,11,1026.3,18.0,43,2,E,9,1024.3
,2017-05-28,4.7,19.5,0,2.2,9.2,ENE,30,09:36,12.0,76,0,ENE,19,1027.6,19.0,45,2,ENE,9,1024.2
,2017-05-29,7.6,21.4,0,2.4,8.6,E,43,22:30,11.8,64,1,ENE,17,1026.3,21.2,37,0,E,13,1022.6
,2017-05-30,11.4,25.4,0,3.6,8.2,ENE,37,02:24,16.5,48,2,NE,17,1023.0,23.7,34,7,W,13,1020.2
,2017-05-31,7.7,25.7,0,3.0,8.0,NE,28,07:50,16.1,56,7,NE,7,1022.0,24.9,33,1,W,15,1019.7
