"Daily Weather Observations for Perth Airport, Western Australia for June 2017"
"Prepared at 16:12 GMT on Wednesday  2 August 2017   IDCJDW6110.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,7.4,23.3,0,2.4,7.7,SW,24,12:27,12.1,80,7,N,9,1022.1,22.5,55,2,SW,15,1021.4
,2017-06-2,8.3,24.2,0,2.2,8.1,W,30,14:15,14.7,78,1,NNE,11,1025.0,22.5,57,3,WNW,20,1023.1
,2017-06-3,9.1,23.1,0,1.4,7.7,SSW,28,15:53,14.7,86,5,N,13,1027.8,22.9,57,7,S,9,1025.3
,2017-06-4,12.8,22.6,0,1.8,9.1,ENE,31,04:20,16.3,77,1,S,9,1029.6,22.5,52,1,SSW,13,1025.8
,2017-06-5,10.1,25.3,0,1.8,9.2,ENE,31,08:26,15.0,71,0,ENE,20,1027.4,24.9,30,1,NNE,9,1023.6
,2017-06-6,9.2,25.2,0,2.4,7.7,N,41,11:10,17.9,38,1,NE,15,1024.3,24.5,13,6,N,13,1020.7
,2017-06-7,5.0,22.8,0,4.4,9.1,SE,31,23:56,12.4,68,0,N,4,1026.8,22.5,39,0,SE,11,1025.4
,2017-06-8,9.9,22.5,0,2.2,9.2,ENE,48,06:03,13.0,75,1,ENE,26,1030.7,22.1,25,0,E,20,1027.2
,2017-06-9,7.7,24.1,0,4.8,9.3,NE,37,09:04,15.8,27,1,NE,22,1029.8,23.8,14,1,NNE,19,1026.3
,2017-06-10,7.7,20.8,0,3.8,1.9,NNE,33,10:39,14.7,33,7,ENE,17,1026.9,20.4,25,7,ENE,15,1023.8
,2017-06-11,11.4,23.5,0,3.2,4.5,ENE,41,22:29,13.6,33,7,ENE,20,1023.9,23.4,14,7,NE,22,1021.2
,2017-06-12,10.1,24.0,0,3.8,7.6,NNE,39,10:41,16.7,26,7,ENE,24,1021.6,23.7,22,1,NE,19,1018.5
,2017-06-13,10.8,24.8,0,3.4,5.6,NE,28,02:44,15.0,35,3,NE,15,1016.8,22.4,24,7,W,15,1014.5
,2017-06-14,12.1,20.4,14.6,3.4,4.3,E,37,11:17,14.2,83,6,E,9,1019.9,19.4,63,7,ENE,9,1018.6
,2017-06-15,9.9,19.3,0,3.2,6.5,SSW,24,01:28,14.7,87,2,ENE,2,1024.6,18.1,65,5,ESE,13,1023.6
,2017-06-16,6.6,20.8,0,1.0,8.3,S,22,15:02,12.1,85,1,ENE,9,1027.4,20.2,43,2,SSW,9,1024.6
,2017-06-17,5.0,21.7,0,2.4,9.0,E,39,23:15,13.1,78,1,ENE,13,1029.2,21.5,47,1,E,13,1026.1
,2017-06-18,10.0,23.3,0,1.8,9.2,NE,35,09:54,14.1,61,0,ENE,17,1027.0,22.4,39,0,WSW,9,1022.8
,2017-06-19,7.8,22.9,0,3.0,9.1,WSW,20,14:18,12.9,62,1,NNE,9,1023.1,22.2,38,2,WSW,11,1020.2
,2017-06-20,10.6,23.0,0,2.8,9.1,ENE,31,09:33,14.0,76,1,ENE,17,1019.4,21.5,47,1,WNW,17,1015.9
,2017-06-21,9.9,20.7,0,1.8,7.5,NW,46,12:39,13.8,84,5,NNE,11,1017.2,19.2,49,6,NW,31,1013.8
,2017-06-22,12.6,16.6,40.0,3.6,0.0,N,65,05:58,16.2,90,7,WNW,30,1005.6,15.7,75,7,WSW,24,1008.7
,2017-06-23,13.4,19.2,0.2,1.8,6.5,ESE,54,12:12,15.5,80,6,SE,19,1019.1,19.0,60,6,SE,28,1019.5
,2017-06-24,11.0,18.4,0,3.8,9.3,ESE,44,04:32,13.7,60,1,E,11,1025.8,17.5,45,3,SE,24,1023.5
,2017-06-25,4.9,16.8,0,1.6,7.9,E,39,11:28,12.0,69,1,E,11,1028.5,16.2,44,3,ESE,17,1026.0
,2017-06-26,2.8,18.2,0,2.4,8.4,SSW,39,13:50,9.6,71,1,NNE,9,1028.6,17.5,38,1,S,20,1025.9
,2017-06-27,3.8,18.9,0,2.6,7.5,ESE,28,19:51,11.4,70,1,N,6,1029.3,18.3,44,5,S,17,1027.3
,2017-06-28,7.2,18.6,0,2.0,9.1,ENE,41,08:27,10.4,77,0,E,33,1033.6,18.4,45,1,E,13,1030.5
,2017-06-29,6.8,19.2,0,3.2,9.1,NNE,43,10:29,12.0,51,0,ENE,17,1031.2,18.8,31,0,NNE,19,1026.1
,2017-06-30,3.6,19.7,0,4.0,2.8,NNW,57,12:48,13.2,39,4,N,26,1018.4,16.8,86,7,WNW,33,1014.3
