"Daily Weather Observations for Perth Airport, Western Australia for July 2017"
"Prepared at 13:08 GMT on Monday  7 August 2017   IDCJDW6110.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,9.5,16.2,4.2,2.2,0.6,SSW,59,12:36,12.0,94,6,N,11,1013.1,8.9,93,8,S,9,1013.1
,2017-07-2,3.9,15.0,18.8,1.6,4.2,S,35,12:05,7.3,90,6,NNE,9,1022.2,14.2,46,6,SSW,17,1020.9
,2017-07-3,7.0,16.6,0,2.0,4.6,NNW,31,14:14,8.9,82,5,NNE,11,1022.7,15.2,58,5,NW,17,1020.1
,2017-07-4,5.5,14.4,2.0,1.4,1.2,N,19,12:25,8.3,94,6,NNE,11,1024.5,13.9,73,7,E,9,1022.1
,2017-07-5,8.0,13.9,3.4,1.8,2.8,SW,59,14:03,11.9,92,7,NW,24,1016.8,10.7,83,1,SSW,26,1018.9
,2017-07-6,4.7,16.0,10.0,4.2,5.5,WNW,30,15:56,7.4,88,5,NNE,9,1024.3,14.4,60,7,N,11,1022.2
,2017-07-7,7.4,17.6,9.2,1.0,6.9,SW,33,13:57,11.6,97,6,NE,11,1018.2,16.2,59,3,SSW,24,1018.3
,2017-07-8,3.2,17.2,0.2,1.4,9.0,S,28,12:55,10.2,83,1,NE,7,1027.0,16.5,41,2,S,20,1024.9
,2017-07-9,7.1,17.8,0,2.4,7.4,NE,22,22:11,10.4,68,5,ENE,13,1027.7,17.4,42,6,SW,7,1023.4
,2017-07-10,5.9,17.9,0,2.4,4.0,NNE,39,12:40,12.5,52,7,NE,11,1020.3,17.6,40,7,NNE,20,1016.3
,2017-07-11,12.5,19.7,0,2.6,4.2,WNW,52,15:06,15.6,52,1,NNE,30,1011.2,18.5,78,6,WNW,30,1009.9
,2017-07-12,14.8,20.4,3.2,2.4,8.0,NW,61,15:02,18.0,69,1,WNW,20,1017.3,19.2,59,5,WNW,39,1017.9
,2017-07-13,13.2,18.6,7.2,3.6,3.0,SW,33,14:13,15.1,96,7,N,9,1024.5,18.1,60,7,SSW,20,1024.2
,2017-07-14,12.3,19.2,0.4,2.8,2.3,NE,24,10:28,14.6,76,6,NNE,11,1025.5,18.1,62,7,NNW,11,1022.4
,2017-07-15,11.4,19.9,0,2.6,1.3,WNW,50,14:13,14.0,96,7,N,11,1018.6,16.9,82,8,W,26,1016.1
,2017-07-16,13.7,19.2,4.6,2.0,3.6,SW,37,09:43,15.8,66,7,SW,11,1019.3,18.1,45,7,SW,13,1018.3
,2017-07-17,8.7,19.2,0,3.4,9.1,NE,33,23:57,12.4,64,1,ENE,11,1022.9,18.5,41,2,NNE,11,1020.0
,2017-07-18,11.2,24.6,0,3.2,9.2,N,46,12:22,14.8,52,7,NE,24,1018.9,24.1,35,1,NNE,28,1014.0
,2017-07-19,13.2,18.7,8.6,3.8,3.0,N,61,14:55,14.0,96,8,N,11,1016.2,14.1,89,6,NNW,31,1013.0
,2017-07-20,11.5,18.2,17.8,3.6,7.7,WSW,56,15:32,15.3,69,7,W,26,1011.5,16.4,71,6,W,28,1010.8
,2017-07-21,10.6,20.1,5.4,0.6,7.0,NW,59,13:04,13.2,88,5,NNE,15,1014.8,18.6,53,7,WNW,31,1013.5
,2017-07-22,10.7,19.3,6.0,,4.5,WSW,31,14:40,12.4,97,6,NE,13,1018.9,17.8,55,7,W,17,1017.4
,2017-07-23,11.7,18.1,2.2,4.0,4.8,N,50,10:38,13.4,93,6,N,17,1017.3,18.0,66,6,W,17,1015.7
,2017-07-24,10.0,18.6,16.8,4.2,3.9,W,39,17:04,12.4,95,7,ENE,9,1020.0,17.1,50,6,W,20,1018.1
,2017-07-25,10.4,19.6,2.8,0.0,3.4,NW,39,14:11,13.0,96,8,NNE,17,1021.6,18.7,53,7,NW,26,1019.0
,2017-07-26,11.7,19.2,0.2,2.2,3.1,SW,48,14:47,15.6,78,8,NNE,20,1017.5,17.4,73,7,SW,28,1017.8
,2017-07-27,11.6,21.5,24.0,1.8,6.5,NNW,59,14:10,14.5,90,7,NNE,17,1016.9,19.4,68,7,NNW,24,1011.9
,2017-07-28,14.5,17.7,11.2,3.4,,WNW,78,13:38,17.0,60,7,WNW,26,1009.2,13.9,83,7,W,39,1009.4
,2017-07-29,9.7,15.1,12.2,6.8,5.0,WSW,72,00:12,12.1,77,7,SW,15,1017.8,12.3,86,6,SW,22,1017.9
,2017-07-30,5.3,17.1,9.4,1.6,6.5,WSW,33,00:16,11.1,79,1,NNE,7,1024.7,15.4,52,5,NNW,4,1022.8
,2017-07-31,9.5,15.7,0.2,2.2,0.6,WSW,67,16:46,12.3,75,8,N,31,1014.9,12.8,81,7,WSW,13,1013.1
