"Daily Weather Observations for Adelaide Airport, South Australia for August 2016"
"Prepared at 13:08 GMT on Saturday 12 August 2017   IDCJDW5001.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,12.2,14.2,9.2,3.8,0.7,SSW,59,14:00,13.2,87,7,WSW,20,1013.2,12.4,74,7,SSW,24,1014.7
,2016-08-2,4.0,14.1,1.0,0.8,5.2,SSW,39,16:28,9.7,72,5,SSE,6,1027.2,12.9,75,3,SW,26,1026.5
,2016-08-3,6.2,15.0,0.6,0.4,4.0,S,39,11:23,11.1,83,7,S,11,1030.7,14.7,45,7,SSE,15,1029.0
,2016-08-4,4.7,12.8,0,1.2,1.0,ENE,26,10:41,9.8,82,7,SE,6,1031.1,12.5,50,8,ESE,11,1029.3
,2016-08-5,3.7,14.9,0,1.0,3.2,N,31,10:49,9.4,69,7,NE,9,1030.2,14.9,51,8,NNW,9,1027.6
,2016-08-6,2.3,16.1,0,0.8,9.8,NNW,30,14:38,10.4,68,4,NNE,15,1026.3,15.0,49,5,NW,19,1023.4
,2016-08-7,6.0,19.1,0,3.2,6.8,N,41,12:42,13.2,49,7,NNE,24,1023.2,18.6,38,1,NNW,24,1020.3
,2016-08-8,12.0,20.6,0,4.2,8.7,N,41,11:10,16.7,36,3,NNE,19,1019.3,20.0,36,4,NNW,28,1015.5
,2016-08-9,13.0,18.5,0.4,6.8,2.8,W,76,14:16,13.9,73,7,NE,28,1008.1,13.4,73,7,WNW,35,1007.1
,2016-08-10,10.4,15.5,2.4,3.0,4.8,NNW,59,10:38,12.0,79,2,NNW,39,1013.1,11.2,92,7,WNW,33,1013.1
,2016-08-11,9.3,15.0,9.2,4.2,8.1,WSW,57,00:13,12.0,81,4,NW,17,1022.9,13.7,68,6,WNW,15,1022.7
,2016-08-12,8.4,16.8,0,0.2,8.1,NNW,56,12:21,11.7,70,4,N,24,1020.7,16.3,54,6,NNW,31,1018.2
,2016-08-13,6.1,15.5,0,2.2,5.3,NW,28,13:01,10.4,96,7,NNE,11,1025.4,15.0,63,7,NW,15,1024.7
,2016-08-14,8.0,16.4,0,1.8,5.1,NW,31,13:55,10.8,78,7,NNE,20,1030.3,15.7,45,1,NW,13,1028.1
,2016-08-15,3.7,20.6,0,2.2,9.9,N,33,14:27,11.3,70,0,NE,9,1028.6,20.2,31,0,N,24,1024.7
,2016-08-16,10.7,21.6,0,3.8,6.6,N,56,13:08,17.0,37,2,NNE,24,1021.9,20.0,32,7,N,24,1018.3
,2016-08-17,6.9,20.2,0.8,4.0,10.3,NNE,28,12:29,13.4,76,1,ENE,6,1022.6,18.2,62,1,N,13,1018.5
,2016-08-18,13.4,25.4,0,4.4,6.3,N,76,11:31,20.1,32,1,N,41,1010.0,23.3,23,7,N,44,1006.0
,2016-08-19,9.6,13.6,11.8,8.0,7.1,WSW,61,19:10,11.4,68,6,WNW,26,1011.0,9.9,77,5,WNW,39,1012.1
,2016-08-20,8.8,15.3,4.2,3.2,5.2,WSW,65,00:45,13.2,67,2,W,28,1018.8,13.3,77,7,W,13,1017.9
,2016-08-21,7.2,16.3,0.6,0.8,9.5,NNW,35,12:30,10.7,76,7,NNE,20,1017.5,15.9,51,4,NW,19,1013.9
,2016-08-22,4.9,15.3,0,1.4,10.2,SW,28,16:12,11.8,59,1,N,11,1014.4,14.2,64,2,SW,17,1013.4
,2016-08-23,4.4,14.0,0,3.4,10.3,WSW,24,14:20,11.7,77,6,NW,7,1017.6,13.4,74,6,SW,19,1015.5
,2016-08-24,5.2,15.0,0,2.2,7.4,ESE,30,22:15,10.7,77,7, ,Calm,1016.2,14.4,72,2,W,19,1014.4
,2016-08-25,3.9,14.1,0,2.4,8.7,WSW,31,13:29,10.2,67,1,W,7,1020.4,13.7,58,2,WSW,24,1020.1
,2016-08-26,6.5,14.2,0.6,2.4,3.5,W,22,12:42,9.2,85,7,NE,13,1025.9,13.5,42,6,SSW,11,1023.3
,2016-08-27,4.5,17.6,0,2.4,6.9,NNW,48,12:34,12.2,51,3,NNE,19,1022.6,16.6,43,7,NNW,31,1018.6
,2016-08-28,9.4,21.7,0,4.0,9.7,NNE,50,11:30,17.3,34,5,NE,24,1017.5,21.5,27,2,N,31,1013.4
,2016-08-29,12.6,21.9,2.4,7.2,1.4,NNE,54,13:51,16.7,42,8,NNE,30,1015.7,20.1,32,7,NE,30,1010.8
,2016-08-30,12.8,19.5,5.8,4.4,4.7,NNW,50,16:56,14.0,96,8,NNE,19,1012.5,18.9,67,6,NNW,26,1010.2
,2016-08-31,12.8,16.5,0,1.4,1.9,WNW,33,03:47,13.9,85,7,NW,20,1018.3,13.4,89,6,SW,20,1017.7
