"Daily Weather Observations for Adelaide Airport, South Australia for September 2016"
"Prepared at 13:07 GMT on Friday 11 August 2017   IDCJDW5001.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,7.8,17.8,1.4,0.2,10.4,SSW,31,17:01,15.0,69,2, ,Calm,1017.7,16.4,63,6,SSW,15,1013.3
,2016-09-2,8.3,16.1,0,3.8,9.5,SW,39,23:06,14.7,70,6,WSW,7,1011.5,15.2,64,2,WSW,24,1009.1
,2016-09-3,11.2,15.2,0.4,4.0,5.8,SW,56,14:41,13.2,86,4,NW,31,1014.1,14.3,58,4,WSW,41,1016.6
,2016-09-4,11.6,15.9,1.0,3.6,5.9,SW,26,00:20,13.4,74,7,WSW,13,1027.1,14.6,70,6,WNW,17,1026.9
,2016-09-5,6.7,18.7,0,2.8,9.9,NNW,33,11:11,13.6,67,7,NNE,13,1030.0,17.0,61,2,W,15,1026.8
,2016-09-6,7.7,21.0,0,3.6,10.4,NNE,30,09:13,16.7,52,7,NE,17,1027.8,20.3,38,2,W,15,1024.8
,2016-09-7,11.3,24.9,0,2.6,10.8,NNE,57,23:30,19.7,40,1,NNE,24,1023.1,24.4,36,1,NNE,39,1017.4
,2016-09-8,15.9,21.0,2.4,8.4,1.2,NNE,52,00:27,17.8,65,8,NE,15,1014.4,20.0,72,7,NNE,28,1009.6
,2016-09-9,11.6,16.1,18.4,2.4,6.8,WSW,41,13:23,13.9,72,4,SW,30,1015.0,15.8,72,6,WSW,30,1015.6
,2016-09-10,11.8,14.8,0,4.6,2.4,WSW,35,04:05,13.0,57,7,SSW,17,1022.4,13.6,64,7,W,11,1020.6
,2016-09-11,7.0,16.5,0.2,2.8,11.0,W,22,12:05,13.1,70,5,NNE,11,1021.0,15.9,56,2,WSW,13,1019.1
,2016-09-12,11.0,13.0,0,2.2,0.0,SE,35,13:53,12.8,83,7, ,Calm,1020.0,11.6,83,7,SE,19,1018.4
,2016-09-13,9.2,13.6,4.8,1.2,2.7,WSW,39,14:39,11.2,79,7, ,Calm,1016.3,9.5,90,7,W,26,1011.3
,2016-09-14,9.2,13.2,7.6,2.2,0.0,W,91,10:35,9.9,80,8,WSW,57,1009.6,11.4,87,8,W,56,1008.2
,2016-09-15,9.5,15.1,9.8,2.0,5.1,WSW,46,00:21,12.8,77,7,SW,19,1016.0,13.8,59,6,WSW,19,1015.1
,2016-09-16,7.3,18.5,0,0.6,10.8,NNW,41,13:37,13.0,74,3,NNE,19,1018.4,17.6,44,6,NNW,30,1015.7
,2016-09-17,12.6,19.2,0,5.0,6.6,NNE,52,01:36,16.7,46,7,NNE,17,1014.5,15.3,79,7,SW,19,1012.6
,2016-09-18,8.8,14.4,3.0,3.2,8.4,SW,44,13:01,11.3,75,4,SSW,22,1017.5,13.5,68,6,SW,28,1016.0
,2016-09-19,8.2,16.5,0.4,3.8,5.0,NNE,37,12:30,12.3,63,7,NNE,28,1014.0,15.9,42,7,N,22,1009.6
,2016-09-20,10.7,18.6,0.6,3.4,4.1,SW,46,21:08,12.6,79,8,N,13,1010.5,17.9,63,7,NNW,19,1007.0
,2016-09-21,10.8,14.6,2.2,4.0,2.2,SSW,50,02:50,12.5,62,7,SSW,28,1016.8,12.6,60,7,SW,31,1018.2
,2016-09-22,8.2,15.2,0,3.0,3.4,WSW,28,13:35,12.1,61,7,SSE,7,1022.3,13.7,51,6,WSW,17,1019.6
,2016-09-23,5.5,20.0,0,3.4,11.1,NNE,44,11:44,15.1,47,4,NNE,31,1013.6,18.1,47,1,NW,20,1008.2
,2016-09-24,12.5,16.3,1.6,5.2,2.9,NNE,44,03:25,12.9,91,8,NNE,19,1006.5,14.9,72,6,SW,26,1006.6
,2016-09-25,10.3,15.5,1.6,4.2,6.9,SW,35,00:30,12.0,69,6,S,9,1016.4,14.5,50,5,NW,15,1013.9
,2016-09-26,7.8,16.4,0,2.4,9.3,W,48,14:57,13.4,51,7,N,17,1012.4,15.7,41,2,W,35,1012.0
,2016-09-27,11.4,19.0,0,3.6,11.2,W,41,01:25,14.4,60,6,WNW,20,1016.6,15.5,54,2,NNW,17,1014.4
,2016-09-28,8.0,20.0,0,5.6,3.6,WNW,76,17:31,19.0,34,1,NE,33,1002.8,17.9,62,8,NE,37,988.9
,2016-09-29,7.6,15.3,38.0,8.2,2.4,WSW,83,19:03,12.3,73,8,WSW,52,982.3,12.1,93,7,WSW,20,986.2
,2016-09-30,10.8,15.7,8.8,4.8,3.2,WSW,61,00:01,13.3,81,7,SW,35,1002.5,14.4,69,7,SW,28,1004.8
