"Daily Weather Observations for Adelaide Airport, South Australia for October 2016"
"Prepared at 13:05 GMT on Thursday 10 August 2017   IDCJDW5001.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,11.2,21.5,1.8,2.0,10.1,NNE,63,22:33,13.2,57,6,NNW,19,1008.1,18.7,38,5,NNW,24,1004.2
,2016-10-2,10.8,19.7,0,6.2,7.7,W,67,17:59,18.7,39,4,N,19,995.8,16.0,64,6,SW,15,996.8
,2016-10-3,7.8,15.3,11.0,5.6,6.0,W,74,01:39,11.6,83,7,WNW,46,1001.0,13.4,67,7,W,35,1004.5
,2016-10-4,9.5,16.0,9.4,4.4,5.8,WSW,69,11:01,13.2,86,6,W,35,1008.1,14.1,68,6,WSW,41,1013.6
,2016-10-5,8.0,19.5,0,2.8,10.9,NNW,43,10:18,12.1,76,4,N,17,1019.3,18.7,46,1,WNW,22,1019.2
,2016-10-6,12.0,28.6,0,3.4,11.3,N,56,15:31,19.5,43,1,NNE,22,1017.1,27.6,29,6,N,31,1014.0
,2016-10-7,13.9,22.1,0,11.0,6.2,N,43,23:31,19.9,42,7,NNE,22,1015.3,18.5,71,7,WSW,24,1015.6
,2016-10-8,8.8,25.1,0,3.6,11.3,NNE,41,17:18,14.8,57,5,ENE,11,1021.5,19.2,53,7,WSW,17,1017.1
,2016-10-9,14.8,25.7,0,7.8,0.0,NNW,74,09:09,24.6,33,7,NNE,43,1001.8,16.6,91,7,W,22,1008.7
,2016-10-10,12.0,15.3,1.0,4.0,8.3,WSW,59,16:36,13.4,61,7,W,30,1015.4,14.9,51,4,WSW,41,1017.2
,2016-10-11,11.5,15.8,0.6,6.0,7.6,SW,50,01:13,13.2,55,3,SW,30,1023.4,15.1,57,6,WSW,20,1023.5
,2016-10-12,10.7,16.2,0.6,3.6,9.0,SW,41,03:50,13.3,69,7,SW,17,1023.3,15.0,66,6,SW,20,1023.3
,2016-10-13,7.0,18.4,0,3.4,11.7,WSW,31,14:13,12.3,71,1,S,4,1026.5,15.5,57,1,WSW,24,1023.9
,2016-10-14,7.9,23.8,0,4.4,12.3,N,43,11:06,18.3,32,0,NNE,24,1022.1,22.9,39,0,WNW,22,1018.3
,2016-10-15,16.7,28.5,0,9.2,9.3,NNW,67,14:50,21.0,20,2,N,31,1012.2,27.2,19,4,N,39,1006.3
,2016-10-16,12.8,14.6,0.8,12.0,1.7,NNW,52,12:49,12.8,85,8,NNW,28,1005.0,13.4,81,7,WSW,19,1005.0
,2016-10-17,10.0,16.0,11.6,4.0,3.1,WNW,54,12:38,14.2,56,7,W,30,1014.4,14.3,66,7,WNW,30,1014.3
,2016-10-18,11.9,15.4,8.0,2.8,5.6,W,69,12:02,13.3,64,7,W,26,1015.1,13.5,64,7,WSW,33,1017.4
,2016-10-19,6.4,19.8,2.4,4.0,9.0,N,37,12:36,10.8,70,7,NNE,15,1022.5,15.3,55,6,WSW,26,1019.3
,2016-10-20,9.2,31.1,0,1.4,10.8,NNW,78,20:24,19.8,36,1,NNE,30,1012.9,29.4,21,1,N,43,1005.8
,2016-10-21,11.5,15.6,11.2,10.2,8.3,SW,52,12:22,12.9,74,7,SW,24,1015.9,14.8,47,7,SW,31,1017.8
,2016-10-22,7.0,15.6,0,4.8,11.3,SSW,46,11:17,11.7,51,6,S,24,1027.3,13.4,51,7,SW,24,1027.3
,2016-10-23,6.9,16.8,0,4.0,9.0,WSW,43,15:51,11.8,55,7,ENE,11,1029.8,14.6,53,4,SW,30,1026.8
,2016-10-24,5.6,21.6,0,5.0,13.0,N,37,10:28,15.8,40,1,NNE,22,1021.8,21.1,28,7,NW,22,1017.3
,2016-10-25,15.3,28.0,0,7.6,7.4,N,50,08:55,20.1,24,5,NNE,30,1011.0,27.0,16,7,N,26,1008.6
,2016-10-26,13.6,18.0,0.4,7.2,9.3,SW,41,12:53,14.0,88,7,SW,22,1015.3,17.2,54,3,SW,31,1017.2
,2016-10-27,9.5,20.6,0,5.4,12.7,SW,41,14:34,15.0,54,2,SE,15,1022.4,18.2,55,1,WSW,30,1019.3
,2016-10-28,8.3,20.6,0,6.2,13.0,SW,30,11:50,14.7,62,0,SW,7,1020.1,18.0,55,1,SW,20,1018.0
,2016-10-29,8.4,29.2,0,5.6,11.6,N,57,12:51,20.5,34,0,NE,24,1013.7,28.3,18,2,NW,28,1006.4
,2016-10-30,15.3,18.1,0,11.0,6.8,W,72,11:36,17.0,65,5,NW,30,1008.2,15.3,48,6,WSW,44,1012.0
,2016-10-31,10.6,16.5,0.8,5.4,4.0,WSW,54,23:27,13.6,50,7,W,28,1018.3,15.2,53,6,WSW,17,1017.2
