"Daily Weather Observations for Adelaide Airport, South Australia for November 2016"
"Prepared at 13:05 GMT on Wednesday  9 August 2017   IDCJDW5001.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,12.7,17.4,0.2,4.8,8.1,W,43,04:28,13.6,68,7,SW,15,1016.0,14.2,74,7,W,30,1016.3
,2016-11-2,12.7,17.3,0,6.4,8.8,WSW,31,23:33,14.7,54,7,WSW,15,1019.8,16.6,47,1,SW,11,1019.6
,2016-11-3,9.5,22.9,0,4.2,13.3,SW,28,12:25,15.1,63,1,N,13,1020.6,20.7,37,0,SW,11,1017.8
,2016-11-4,9.9,26.0,0,4.8,12.8,SW,52,15:37,17.4,57,0,NNE,19,1014.0,22.8,42,1,WSW,24,1012.8
,2016-11-5,12.6,17.4,0,10.4,12.5,SW,48,01:11,15.1,53,5,SSW,22,1019.9,16.1,54,1,WSW,22,1020.2
,2016-11-6,13.2,23.9,0,5.2,12.6,NW,31,14:33,15.4,70,4,W,13,1017.8,22.2,28,1,NNW,13,1013.0
,2016-11-7,15.2,21.9,0,7.2,6.8,WSW,67,04:52,19.6,66,7,W,11,1005.0,18.6,70,7,SSW,30,1004.8
,2016-11-8,9.9,17.8,0,6.0,10.2,SW,44,15:02,13.9,47,7,SSE,17,1014.1,16.5,50,2,SW,30,1013.0
,2016-11-9,9.2,19.4,0,5.2,12.0,SW,41,16:09,14.8,59,1,WNW,7,1014.8,17.6,57,5,SSW,30,1011.0
,2016-11-10,8.6,25.2,0,5.0,9.7,SW,31,15:13,16.3,59,2,W,9,1013.0,20.0,57,6,SW,24,1010.1
,2016-11-11,13.0,32.3,0,7.2,12.2,W,72,15:53,25.1,28,3,ENE,17,1004.3,31.1,29,6,NE,30,997.3
,2016-11-12,15.5,19.5,13.2,8.6,4.8,W,74,18:42,15.5,80,7,WNW,35,1003.1,17.8,72,7,WNW,41,1003.8
,2016-11-13,12.1,17.3,12.2,8.0,8.8,SW,63,06:41,14.3,66,7,SW,43,1009.0,16.4,57,5,SSW,35,1011.8
,2016-11-14,11.8,17.3,2.2,6.2,6.5,SSW,50,23:15,12.8,84,7,SSW,26,1019.6,15.9,56,6,SW,26,1020.3
,2016-11-15,10.3,17.7,0.4,4.4,8.3,SSW,31,11:37,14.4,65,8,SSW,11,1023.9,16.8,58,4,WSW,22,1022.5
,2016-11-16,8.9,27.7,0,3.8,13.7,NNW,28,10:53,16.6,61,0,N,7,1022.8,22.1,52,0,SW,17,1019.0
,2016-11-17,16.5,33.7,0,8.4,9.3,NNW,54,09:07,27.3,24,1,N,30,1014.4,33.3,12,6,NNW,35,1012.3
,2016-11-18,16.4,24.8,0,9.4,2.8,SSE,37,21:20,18.6,57,7,SW,7,1017.6,20.6,67,7,SW,24,1016.5
,2016-11-19,14.0,25.5,0,6.8,12.8,SW,37,14:59,19.2,44,2,SSE,7,1019.2,22.5,50,2,SW,22,1016.1
,2016-11-20,15.6,35.2,0,7.4,13.3,WSW,26,14:07,23.4,47,7,W,7,1013.3,33.0,22,2,WSW,11,1009.7
,2016-11-21,20.9,27.5,0,7.2,8.1,SW,48,11:05,26.9,34,6,NNW,19,1005.6,23.5,57,6,SW,28,1008.7
,2016-11-22,14.1,17.8,1.6,7.4,1.8,SSE,35,00:49,15.4,73,7,SE,19,1017.4,15.3,67,7,SE,19,1017.6
,2016-11-23,9.8,19.2,0.4,2.8,13.4,SW,52,13:29,14.9,46,2,SSW,20,1022.3,18.2,44,1,SW,41,1020.9
,2016-11-24,8.4,19.1,0,7.8,13.3,SW,48,16:08,15.8,49,1,ESE,13,1022.7,18.1,49,5,SW,30,1020.7
,2016-11-25,11.3,21.4,0,6.6,10.3,SW,52,14:25,16.2,57,7,SW,19,1022.5,19.2,53,1,SW,35,1021.7
,2016-11-26,10.5,24.7,0,6.4,13.9,SSE,37,15:52,16.0,53,1,NNE,11,1024.5,23.4,33,5,SSE,26,1020.8
,2016-11-27,8.7,22.4,0,4.8,14.0,WSW,28,13:55,16.7,55,0,ESE,6,1020.7,21.0,43,0,SW,22,1017.4
,2016-11-28,11.1,23.7,0,7.6,13.6,SW,35,12:49,21.4,41,7,SSW,4,1014.4,22.4,46,1,SW,24,1013.1
,2016-11-29,11.6,22.7,0,5.6,13.8,SW,35,14:56,19.7,41,0,WSW,7,1012.5,20.6,63,2,SW,26,1011.7
,2016-11-30,11.9,20.9,0,9.8,9.6,SW,54,14:14,16.6,62,7,SE,13,1012.5,20.4,51,1,SW,39,1010.4
