"Daily Weather Observations for Adelaide Airport, South Australia for December 2016"
"Prepared at 13:05 GMT on Tuesday  8 August 2017   IDCJDW5001.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,10.8,22.1,0,6.4,6.8,SW,30,16:37,16.9,61,7,SSE,4,1009.9,18.8,60,7,ESE,6,1008.0
,2016-12-2,11.0,23.0,0,4.0,12.9,SW,46,15:07,17.9,63,5,SSE,11,1014.2,20.4,52,6,SW,31,1013.4
,2016-12-3,9.8,26.2,0,6.4,12.8,SW,35,14:20,18.3,43,5,WNW,4,1014.2,23.3,46,6,SW,26,1011.2
,2016-12-4,17.6,29.6,0,7.0,0.2,NNW,65,07:52,23.6,65,7,NNW,46,1008.9,26.2,65,7,NNE,26,1004.1
,2016-12-5,13.5,20.3,4.6,2.8,3.7,SSW,43,23:06,17.7,53,6,SE,20,1014.1,19.2,54,7,SW,31,1013.5
,2016-12-6,12.7,20.9,0,5.4,11.7,SW,33,11:46,19.1,47,2,S,9,1016.1,18.8,55,2,WSW,20,1016.2
,2016-12-7,12.0,29.8,0,7.2,7.8,NW,83,21:08,20.7,45,6,NNE,20,1013.6,25.9,43,7,NW,22,1007.9
,2016-12-8,15.1,19.4,7.8,8.0,9.4,WSW,65,03:06,16.5,68,7,W,39,1008.0,18.7,57,2,WSW,41,1010.9
,2016-12-9,12.2,19.5,2.4,8.2,9.3,SW,48,15:23,15.3,42,7,S,19,1022.4,18.5,48,2,SW,31,1021.8
,2016-12-10,8.5,22.7,0,10.0,13.6,SE,35,18:01,17.4,51,0,NE,7,1023.9,20.4,51,1,SW,24,1022.3
,2016-12-11,10.9,26.9,0,6.8,12.6,SW,28,10:54,18.3,55,0,S,7,1022.5,25.3,43,0,SW,17,1019.2
,2016-12-12,14.5,35.2,0,6.6,13.1,NW,43,11:41,26.7,23,0,NNE,19,1016.3,33.8,15,1,WNW,20,1013.5
,2016-12-13,21.9,34.0,0,12.6,4.7,NNW,59,10:23,29.5,19,7,NNE,19,1007.7,30.9,26,7,SW,20,1006.3
,2016-12-14,16.0,23.8,0.2,8.6,3.2,SSE,50,16:50,17.0,72,8,SE,17,1014.8,22.1,44,7,S,22,1013.9
,2016-12-15,12.3,22.4,0,5.6,10.1,SE,44,04:38,15.6,42,7,SE,24,1018.8,19.7,32,6,SSE,28,1015.2
,2016-12-16,9.7,24.5,0,8.8,11.5,SW,33,17:41,18.4,52,0,N,4,1011.4,23.1,33,1,W,13,1008.7
,2016-12-17,15.7,20.2,0.4,7.2,11.4,SW,52,16:44,17.2,69,6,SSW,31,1015.4,19.4,40,1,SW,35,1018.3
,2016-12-18,9.0,26.6,0,8.2,12.6,NNE,33,10:03,16.2,47,0,NE,6,1022.8,20.0,39,1,SW,20,1018.4
,2016-12-19,16.2,36.3,0,11.2,10.9,NNW,52,11:27,26.6,14,2,N,26,1011.0,34.5,12,3,NNW,19,1006.4
,2016-12-20,15.4,20.9,0.8,10.6,12.2,SSW,41,00:17,17.8,53,5,SW,24,1014.0,19.4,51,1,WSW,24,1014.1
,2016-12-21,12.9,26.2,0,7.0,12.8,SW,48,13:43,17.9,50,2,SSE,15,1019.7,20.8,54,1,SW,33,1017.5
,2016-12-22,14.0,30.2,0,8.6,12.6,SE,33,18:15,20.9,51,0,N,7,1017.7,23.6,56,0,SW,24,1014.0
,2016-12-23,19.6,36.0,0,9.2,4.7,SSW,44,14:36,29.6,19,5,NNE,20,1010.5,30.3,35,7,WSW,28,1008.0
,2016-12-24,18.0,31.5,0,8.8,12.5,SW,31,16:07,26.0,45,0,N,9,1013.1,25.9,58,1,SW,22,1011.0
,2016-12-25,14.4,38.9,0,10.4,10.8,SW,54,20:44,27.4,33,0,SSW,4,1009.2,34.3,24,3,WSW,17,1005.8
,2016-12-26,21.5,26.4,0.8,12.8,0.1,SE,54,00:49,21.7,88,7,NNW,6,1009.6,24.2,70,7,W,19,1007.6
,2016-12-27,21.4,30.6,4.4,4.4,0.0,NNE,57,22:51,23.1,80,7,NNE,31,1004.8,24.1,84,7,E,17,999.8
,2016-12-28,22.1,26.2,53.2,15.8,8.4,NE,85,01:10,23.3,93,8,NW,26,998.0,24.8,64,6,SSW,19,1000.2
,2016-12-29,18.5,29.5,1.2,6.8,12.6,SSW,41,17:21,23.1,34,2,N,13,1003.7,27.9,35,1,WNW,24,1002.8
,2016-12-30,18.0,22.2,0,9.4,4.3,W,39,07:22,19.2,73,7,WNW,20,1005.0,21.2,67,7,SSW,13,1005.7
,2016-12-31,18.1,22.1,0,4.6,7.4,W,31,11:59,19.2,67,8,WSW,19,1008.8,21.7,62,2,WSW,17,1007.5
