"Daily Weather Observations for Adelaide Airport, South Australia for January 2017"
"Prepared at 16:06 GMT on Monday  7 August 2017   IDCJDW5001.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,16.7,22.1,0.2,6.0,8.0,SW,52,16:51,18.7,74,7,SSW,24,1011.6,21.1,61,2,SW,33,1012.8
,2017-01-2,15.9,24.9,0,7.8,12.2,SE,44,18:34,18.9,57,7,SSE,26,1019.4,24.7,39,1,SSE,28,1018.2
,2017-01-3,13.8,27.6,0,8.0,12.8,SE,39,23:16,18.8,53,1,ESE,7,1019.7,26.9,31,1,SSE,19,1016.0
,2017-01-4,18.2,33.6,0,9.8,13.4,SE,43,20:50,24.4,46,5,WNW,6,1014.7,33.3,27,2,SE,24,1012.2
,2017-01-5,22.4,36.4,0,11.8,13.1,SE,46,00:30,29.3,37,6,SSE,15,1011.7,35.1,33,5,E,13,1008.9
,2017-01-6,22.5,39.6,0,10.6,14.0,ENE,39,14:14,31.4,33,2,NE,22,1010.5,38.6,19,1,NE,20,1007.2
,2017-01-7,30.7,39.2,0,19.0,7.2,NNE,50,08:56,35.2,27,7,NE,28,1005.7,37.5,20,7,NW,26,1002.4
,2017-01-8,20.5,24.7,0,10.2,4.2,SW,33,11:21,21.7,65,7,SW,15,1009.5,23.1,58,7,SW,20,1010.2
,2017-01-9,19.9,25.8,0,6.4,6.2,SW,33,19:03,21.3,65,8,ESE,7,1012.2,24.9,60,4,WSW,17,1011.1
,2017-01-10,18.9,25.0,0,6.6,12.9,SW,43,15:57,23.0,61,4,NW,7,1012.4,23.9,59,2,SW,31,1011.4
,2017-01-11,15.7,24.8,0,9.6,14.0,SW,48,16:15,20.0,57,5,S,15,1015.0,23.1,59,1,SW,31,1013.4
,2017-01-12,14.9,34.2,0,7.6,11.3,NW,39,20:54,21.1,54,4,SSW,9,1011.0,28.8,45,2,SW,13,1005.3
,2017-01-13,21.1,22.5,10.0,7.8,6.8,W,54,03:29,21.9,95,8,N,13,1001.8,21.3,64,6,WSW,31,1005.3
,2017-01-14,17.7,22.3,7.2,7.2,9.2,SW,54,04:56,18.4,56,7,SW,26,1014.8,21.8,49,1,SW,28,1017.0
,2017-01-15,13.7,25.2,0,7.4,11.7,SSE,35,23:05,17.8,59,6,S,9,1020.5,21.9,59,0,SW,24,1017.3
,2017-01-16,14.0,34.8,0,5.2,13.4,WNW,28,12:05,22.6,56,0, ,Calm,1013.7,33.2,22,1,NW,13,1010.3
,2017-01-17,17.8,39.4,0,8.0,13.8,SSE,59,20:27,28.6,31,1,NE,19,1007.8,38.3,10,1,NW,24,1005.5
,2017-01-18,18.0,27.3,0,14.6,7.0,SE,44,23:27,18.8,61,6,SE,24,1015.8,27.0,35,2,SE,24,1013.3
,2017-01-19,17.7,38.2,0,8.0,7.7,NNW,111,19:27,23.8,41,6,NE,13,1008.7,36.8,22,2,NE,17,1002.0
,2017-01-20,18.4,23.7,12.2,10.4,10.1,S,50,23:41,18.5,72,7,SSW,26,1004.9,22.6,48,3,SSW,20,1008.2
,2017-01-21,13.9,25.4,0,7.2,13.8,SW,35,15:57,18.6,59,1,SW,6,1015.7,22.6,53,0,SW,22,1013.8
,2017-01-22,15.4,32.1,0,7.4,12.0,N,37,10:21,25.2,36,1,NNE,11,1012.9,27.8,53,6,WSW,19,1009.2
,2017-01-23,23.9,31.4,0,12.0,1.9,WSW,50,21:48,27.1,59,6,WNW,7,1004.3,24.2,84,7,NW,4,1006.0
,2017-01-24,16.6,24.6,9.6,2.8,13.5,SSE,52,14:05,19.8,64,3,S,17,1017.1,23.2,50,3,SSW,28,1017.8
,2017-01-25,12.8,26.4,0,6.6,13.7,SE,43,18:47,18.9,52,1,E,7,1021.1,23.8,41,1,WSW,28,1019.2
,2017-01-26,14.3,27.7,0,7.8,13.7,S,39,15:41,19.3,57,1,NE,9,1020.6,26.2,41,1,SSE,17,1018.0
,2017-01-27,14.5,28.9,0,8.0,13.7,SSE,24,23:18,20.8,63,0,SSE,4,1016.5,26.2,50,1,WSW,17,1013.9
,2017-01-28,15.6,28.4,0,6.2,13.6,SW,30,13:35,23.6,50,0,N,7,1014.5,27.4,44,0,SW,22,1014.6
,2017-01-29,16.1,36.2,0,8.8,13.3,WSW,20,10:21,24.4,52,0,S,6,1016.0,30.8,37,3,WSW,11,1012.6
,2017-01-30,24.1,27.3,0,9.0,1.3,WSW,54,05:24,26.6,57,7,WSW,6,1009.7,26.5,71,7,WSW,13,1009.4
,2017-01-31,16.7,23.9,0.2,4.6,5.9,SW,43,14:10,18.5,60,7,S,19,1016.6,21.4,55,6,SW,33,1016.1
