"Daily Weather Observations for Adelaide Airport, South Australia for February 2017"
"Prepared at 13:05 GMT on Sunday  6 August 2017   IDCJDW5001.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,16.5,23.4,0,6.8,2.0,SSW,39,17:24,19.5,55,8,WNW,6,1016.2,22.0,49,7,WSW,15,1014.5
,2017-02-2,14.3,24.0,0,4.6,9.8,SW,37,16:07,18.8,66,7,S,13,1019.3,22.8,48,5,SW,26,1017.2
,2017-02-3,12.9,25.1,0,5.8,13.5,SW,31,14:15,19.3,59,1,NNE,9,1017.0,23.1,55,1,SW,24,1014.0
,2017-02-4,17.3,29.1,0,7.6,3.5,NW,35,11:45,24.4,44,7,NE,11,1009.4,25.1,54,7,NW,17,1009.5
,2017-02-5,20.5,25.2,4.2,3.2,0.0,N,43,11:13,23.8,80,8,NNW,17,1008.7,25.2,80,8,N,17,1007.6
,2017-02-6,17.5,19.9,22.2,3.2,0.8,SE,48,07:53,17.6,83,8,SE,31,1013.4,19.2,66,7,SE,30,1014.7
,2017-02-7,14.5,30.9,0,3.8,13.3,SE,35,23:08,19.5,59,1,SE,11,1018.2,25.5,48,2,WSW,9,1014.4
,2017-02-8,19.4,41.7,0,6.8,13.2,NNE,46,09:45,30.9,42,0,NE,17,1011.3,36.7,36,1,N,22,1007.6
,2017-02-9,25.2,39.2,0,10.4,13.3,W,33,12:27,28.7,65,1,WNW,9,1007.3,33.3,40,1,WSW,13,1006.7
,2017-02-10,22.7,33.4,0,9.0,13.1,SW,35,13:02,25.8,78,2,SW,17,1009.2,31.3,55,1,SW,19,1007.1
,2017-02-11,22.7,32.9,0.2,8.8,10.9,S,41,19:17,25.5,77,3,SSW,7,1008.9,29.6,47,2,SSE,22,1008.5
,2017-02-12,17.4,22.3,0,10.6,8.9,SW,56,15:08,18.3,53,7,S,22,1015.3,20.3,42,1,SW,35,1015.7
,2017-02-13,16.3,22.8,0,9.0,4.4,SW,46,15:56,17.8,59,8,SSE,20,1018.8,21.2,55,7,SW,26,1018.2
,2017-02-14,15.6,24.4,0,6.2,12.7,SW,33,15:49,18.0,70,2,NNE,6,1020.0,22.0,62,6,SW,15,1017.3
,2017-02-15,18.0,32.0,0,7.4,10.9,NNW,52,10:44,24.2,33,6,N,17,1011.4,27.2,54,3,SW,24,1009.8
,2017-02-16,17.2,24.3,0,7.4,11.9,SW,39,14:14,21.6,69,6,NE,4,1011.9,22.9,61,1,SW,28,1010.9
,2017-02-17,15.0,22.7,0,7.2,2.4,WSW,48,19:57,18.9,59,7,W,19,1013.6,21.4,59,6,WSW,17,1013.2
,2017-02-18,16.6,20.7,0,6.8,9.0,WSW,52,14:29,17.4,50,7,SW,30,1015.7,17.6,50,7,SSW,35,1016.4
,2017-02-19,12.7,20.7,5.2,8.0,5.8,SW,46,11:39,15.2,80,7,ESE,11,1017.2,19.7,62,6,SW,24,1016.5
,2017-02-20,12.6,21.7,0.6,3.8,10.5,SSW,41,18:33,17.0,60,7,ESE,13,1018.7,20.4,44,2,WSW,24,1017.6
,2017-02-21,10.8,28.0,0,6.6,12.4,NNE,31,12:02,18.3,49,0,ENE,7,1018.9,27.3,32,1,W,22,1014.8
,2017-02-22,18.3,29.5,0,10.8,11.1,NNW,59,08:51,28.0,17,1,NNE,33,1008.3,24.7,43,5,WNW,35,1011.4
,2017-02-23,18.2,23.0,0,10.8,10.9,WSW,37,23:19,19.8,59,7,SSW,20,1020.1,21.9,53,2,SW,19,1021.1
,2017-02-24,13.0,24.7,0,5.8,11.9,S,48,15:13,17.6,57,1,S,11,1026.8,23.5,39,1,S,24,1024.8
,2017-02-25,14.9,24.7,0,8.2,12.4,S,43,13:22,18.1,50,1,ESE,20,1025.4,23.0,37,1,SSE,24,1022.5
,2017-02-26,11.1,23.9,0,8.0,12.7,SW,31,14:06,17.5,51,0, ,Calm,1020.8,22.4,44,0,WSW,22,1018.1
,2017-02-27,12.5,33.2,0,6.4,12.5,ESE,41,22:34,21.6,67,0,WSW,6,1018.1,27.3,49,1,SW,28,1015.7
,2017-02-28,21.6,37.3,0,11.4,11.6,ENE,43,03:53,30.6,23,2,NE,22,1017.0,30.9,39,3,WSW,20,1015.4
