"Daily Weather Observations for Adelaide Airport, South Australia for March 2017"
"Prepared at 13:06 GMT on Saturday  5 August 2017   IDCJDW5001.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,20.3,34.9,0,10.2,12.1,SW,30,16:00,30.3,22,1,NE,19,1017.1,33.7,23,2,WSW,17,1015.9
,2017-03-2,19.2,35.0,0,10.0,11.9,S,39,16:44,25.8,55,1,NE,7,1017.8,31.3,44,1,SSE,20,1016.6
,2017-03-3,17.9,34.5,0,11.0,11.9,SW,37,13:29,23.1,55,1,SSE,9,1019.5,33.9,22,1,SE,20,1016.6
,2017-03-4,17.5,27.9,0,9.4,12.0,SW,37,16:04,24.3,51,0,NNW,6,1016.0,27.0,57,1,SW,26,1014.8
,2017-03-5,15.7,26.6,0,7.4,10.7,S,48,15:48,19.8,61,2,SSE,22,1017.1,25.3,42,1,S,26,1015.2
,2017-03-6,17.1,27.8,0,8.8,10.2,SE,39,02:36,18.6,71,6,SSE,20,1017.3,25.4,48,1,S,24,1014.4
,2017-03-7,17.9,30.8,0,7.6,11.9,SE,35,16:46,22.6,59,1,W,13,1015.1,25.4,65,1,SW,26,1013.0
,2017-03-8,18.1,28.9,0,8.2,11.9,SW,33,15:37,23.0,54,0,NE,11,1013.6,25.5,62,1,SW,22,1012.7
,2017-03-9,16.3,28.1,0,7.8,11.8,SSW,41,16:59,23.4,56,2, ,Calm,1015.8,26.2,58,1,SW,20,1015.0
,2017-03-10,14.3,28.7,0,6.0,9.9,SSW,30,15:17,19.5,45,7, ,Calm,1016.8,25.6,50,7,SW,20,1015.1
,2017-03-11,17.0,30.2,0,6.2,0.6,W,50,06:54,24.5,31,7,NE,9,1010.8,29.3,26,7,NE,9,1006.0
,2017-03-12,17.1,22.1,0.2,3.8,6.5,W,54,11:31,19.1,79,7,NW,31,1004.2,20.1,68,6,WSW,37,1005.1
,2017-03-13,16.5,23.6,2.8,4.4,4.2,SSE,33,12:21,18.7,68,7,SSW,15,1014.9,22.5,55,7,SSE,19,1014.9
,2017-03-14,14.1,27.4,0,3.4,11.6,SSW,30,16:24,20.6,77,0,NE,7,1016.0,25.9,53,1,SW,20,1013.9
,2017-03-15,20.2,33.4,0,7.6,10.2,NNW,50,11:09,26.3,38,1,NE,13,1011.0,31.9,28,5,NW,24,1007.4
,2017-03-16,18.5,22.9,0.2,9.6,9.6,SW,50,13:41,19.3,57,7,SSW,22,1014.8,21.6,44,1,SW,35,1016.4
,2017-03-17,13.2,26.7,0,10.0,11.6,SE,35,16:28,17.0,50,1,E,15,1023.3,22.7,40,1,WSW,20,1021.0
,2017-03-18,11.4,29.9,0,4.6,11.5,SW,33,15:53,19.3,47,0,NE,9,1021.9,27.1,34,0,WSW,19,1019.1
,2017-03-19,13.3,32.2,0,6.4,11.5,SE,37,21:35,23.4,44,0,NE,6,1016.5,30.7,35,0,W,22,1012.9
,2017-03-20,22.7,29.5,0,10.6,5.9,E,44,22:20,27.1,37,1,NNE,9,1011.1,27.1,63,7,S,24,1009.5
,2017-03-21,20.6,29.3,1.2,5.4,6.3,ESE,39,08:34,23.7,70,3,SE,24,1009.7,28.7,50,6,ESE,9,1009.2
,2017-03-22,19.3,22.5,0,4.8,2.1,SE,44,03:19,20.5,71,7,SE,26,1016.6,21.6,64,7,SE,26,1016.6
,2017-03-23,17.4,29.1,0,4.4,10.0,SE,31,02:27,19.1,70,7,SE,11,1018.8,24.5,63,2,W,22,1014.8
,2017-03-24,19.0,31.4,0,5.2,8.7,E,33,01:57,24.0,57,6,NNE,19,1014.2,28.0,55,6,SW,19,1011.8
,2017-03-25,20.4,24.9,0,7.4,1.2,SW,26,14:12,22.2,80,4,NNE,6,1013.2,23.7,70,4,SW,15,1012.8
,2017-03-26,20.4,33.9,0,3.8,2.4,NNE,43,21:50,23.0,79,7,SSW,9,1012.0,29.5,45,6,WSW,15,1008.9
,2017-03-27,20.7,23.2,0,8.0,7.8,NNW,63,02:00,21.2,66,7,WSW,33,1012.9,22.3,46,1,WSW,37,1014.4
,2017-03-28,17.4,24.3,0,6.4,9.3,WNW,33,15:09,17.8,65,7,NNE,15,1016.4,23.3,44,1,WNW,13,1013.8
,2017-03-29,14.3,23.4,0,4.8,4.2,WSW,65,13:28,19.9,64,7,N,13,1011.4,16.5,91,7,SSW,37,1011.4
,2017-03-30,11.6,20.4,2.2,5.0,10.0,SW,50,14:26,15.1,62,2,SSE,15,1022.3,19.0,40,3,SW,30,1022.9
,2017-03-31,8.3,19.6,0,5.4,4.4,SW,37,20:15,13.5,68,7,NNW,11,1025.0,18.7,49,2,WSW,13,1022.8
