"Daily Weather Observations for Adelaide Airport, South Australia for April 2017"
"Prepared at 13:05 GMT on Friday  4 August 2017   IDCJDW5001.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,13.4,21.5,0,4.8,7.1,SW,48,15:54,14.8,93,7,S,20,1025.2,20.1,42,1,SW,30,1024.7
,2017-04-2,12.9,21.3,0,7.0,7.3,SSE,48,16:31,16.6,48,5,E,15,1031.3,20.5,33,3,SSE,24,1028.4
,2017-04-3,10.3,21.9,0,5.0,10.9,ESE,37,17:14,16.2,45,1,E,13,1030.8,21.0,31,1,SSE,20,1026.8
,2017-04-4,8.8,23.4,0,4.8,10.2,SW,33,14:48,18.5,48,1,ENE,9,1026.8,23.0,44,3,SW,24,1022.4
,2017-04-5,14.2,28.2,0,4.8,9.9,ENE,37,12:23,22.9,26,7,NE,24,1022.4,23.8,42,6,SW,20,1018.7
,2017-04-6,10.7,28.6,0,5.6,10.8,N,30,11:15,22.4,30,0,NE,15,1021.1,27.7,20,1,WSW,13,1018.0
,2017-04-7,16.2,29.7,0,7.8,10.9,NNW,41,11:09,23.0,27,7,N,19,1019.9,28.3,18,7,NW,20,1016.2
,2017-04-8,14.3,28.6,0,7.8,9.4,WSW,44,16:28,24.0,29,7,NNE,22,1015.6,21.8,70,1,SW,20,1013.2
,2017-04-9,14.1,17.9,4.2,5.8,7.8,SW,74,01:44,15.8,44,3,SW,43,1018.6,16.0,45,5,SW,39,1020.0
,2017-04-10,12.2,19.2,0.8,6.0,1.3,SW,39,11:43,17.3,44,7,S,22,1024.6,16.6,56,7,SSW,26,1023.9
,2017-04-11,8.2,21.1,0,3.2,7.6,SE,31,16:47,15.3,73,3,SSE,7,1027.2,19.7,50,5,SSE,19,1023.9
,2017-04-12,9.1,21.4,0,4.0,10.0,SW,28,16:19,17.3,63,1,NNE,2,1025.5,20.8,55,1,SW,15,1022.1
,2017-04-13,8.9,24.0,0,2.4,10.5,SE,31,20:30,18.8,60,1,E,6,1024.7,22.6,41,1,SW,17,1022.8
,2017-04-14,9.1,21.9,0,4.4,10.8,SSW,30,16:13,18.9,50,1, ,Calm,1025.2,21.9,51,1,SW,20,1022.4
,2017-04-15,8.8,22.7,0,4.2,7.9,WSW,22,11:59,16.4,62,6,WSW,6,1020.9,21.6,50,7,SW,13,1017.3
,2017-04-16,14.6,23.3,0,4.2,6.2,NNW,33,12:51,18.0,52,7,SE,19,1020.6,21.7,45,7,WSW,17,1018.8
,2017-04-17,11.9,25.3,0,2.2,8.2,NNE,26,11:09,20.5,44,6,NE,7,1020.9,23.2,45,4,SSW,15,1018.4
,2017-04-18,17.4,30.0,0,5.8,6.8,ENE,43,23:55,23.1,31,8,NE,22,1022.7,29.1,17,6,NE,24,1020.3
,2017-04-19,21.0,31.1,0,10.6,5.0,NNW,54,19:28,25.5,32,7,NE,28,1019.9,28.5,30,7,NNW,28,1017.2
,2017-04-20,19.2,22.0,0.8,6.2,0.4,N,30,09:30,19.6,91,7,NNE,17,1021.2,21.4,85,7,WSW,9,1018.2
,2017-04-21,18.3,21.8,4.6,1.2,6.5,SSW,30,16:10,19.7,77,7,WSW,13,1022.0,20.6,66,3,SW,19,1020.3
,2017-04-22,10.6,22.5,0,3.8,8.0,SW,26,14:22,17.3,77,4,SE,4,1023.8,21.5,55,6,SSW,19,1020.9
,2017-04-23,14.0,23.6,0,2.2,3.1,WSW,20,12:56,19.8,74,7,SSE,4,1023.0,21.3,68,7,SW,13,1020.1
,2017-04-24,15.1,20.4,3.0,3.8,0.0,WSW,35,23:40,17.9,93,7,ENE,9,1017.2,20.0,86,7,NNW,19,1013.7
,2017-04-25,16.7,20.9,0.6,2.8,7.0,SW,65,23:17,18.7,71,3,SW,19,1014.1,18.3,69,7,W,19,1011.8
,2017-04-26,11.4,17.1,4.2,4.8,6.9,SSW,72,02:52,14.1,45,6,S,24,1020.9,15.9,42,7,SSE,22,1022.6
,2017-04-27,9.6,18.4,0.2,3.4,3.3,WSW,41,11:41,12.9,76,7,ENE,11,1028.9,16.7,55,7,SW,22,1026.8
,2017-04-28,12.6,18.1,5.0,3.6,0.8,SSE,24,12:19,14.2,96,7,NNE,13,1028.6,17.8,59,7,SSW,13,1026.5
,2017-04-29,13.7,18.7,1.4,1.0,0.7,WNW,20,13:27,15.1,87,7,NE,9,1026.9,17.7,61,7,W,11,1024.9
,2017-04-30,15.1,19.0,0,2.2,2.5,N,37,12:50,16.9,59,7,N,11,1022.8,18.7,47,7,NW,13,1019.1
