"Daily Weather Observations for Adelaide Airport, South Australia for May 2017"
"Prepared at 13:07 GMT on Thursday  3 August 2017   IDCJDW5001.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,11.8,18.7,0,1.8,0.3,SW,41,14:40,17.6,73,7,NNE,9,1016.9,16.2,80,8,SSW,19,1017.3
,2017-05-2,10.8,17.7,1.8,2.0,4.5,SSW,37,13:22,14.6,58,7,S,17,1025.0,16.2,49,7,SSE,11,1025.4
,2017-05-3,6.5,17.9,0,3.0,9.1,SE,30,16:56,12.5,78,1,N,9,1031.6,17.3,53,6,WSW,17,1029.1
,2017-05-4,4.9,16.7,0,2.6,9.3,W,28,13:15,13.1,55,1,ENE,11,1031.2,16.2,44,1,WSW,15,1028.2
,2017-05-5,7.0,19.6,0,1.4,8.3,NNE,30,09:18,13.4,51,2,NNE,19,1026.5,19.1,30,5,NNW,13,1022.6
,2017-05-6,9.1,20.1,0,3.8,6.2,SSW,46,13:00,15.0,58,7,NNE,13,1023.5,18.3,50,6,SSW,26,1024.9
,2017-05-7,9.5,16.1,0,3.8,0.6,SE,28,17:54,12.6,59,7,NNE,9,1033.2,15.5,42,7,ESE,13,1031.5
,2017-05-8,5.3,17.3,0,1.8,9.8,ESE,30,14:41,12.9,57,1,ESE,11,1033.7,16.4,43,2,E,17,1030.2
,2017-05-9,4.6,17.3,0,3.0,9.5,WSW,30,13:26,12.7,70,1,E,9,1029.6,16.4,58,0,SW,15,1026.0
,2017-05-10,4.1,20.5,0,1.6,9.2,NNE,26,11:20,13.6,63,0,N,9,1026.9,20.1,34,3,NW,11,1023.4
,2017-05-11,7.1,19.1,0,2.0,5.5,WSW,20,14:32,14.4,58,7,NNE,13,1026.3,18.0,58,7,WSW,13,1024.1
,2017-05-12,4.7,21.8,0,3.2,9.2,ESE,28,15:50,13.8,60,3, ,Calm,1025.3,20.7,38,3,NE,7,1021.5
,2017-05-13,6.4,20.6,0,2.2,9.1,E,26,17:12,15.4,60,1, ,Calm,1022.8,19.0,52,1,WSW,19,1020.7
,2017-05-14,6.0,19.3,0,1.8,9.8,WSW,26,13:25,15.2,59,0, ,Calm,1023.2,18.9,45,1,SW,20,1020.8
,2017-05-15,5.4,20.6,0,2.8,7.7,NNE,28,22:29,13.9,66,1, ,Calm,1020.6,18.8,47,5,WSW,9,1016.8
,2017-05-16,13.5,21.0,0,4.0,0.0,NNE,57,17:13,20.2,25,7,NE,19,1013.1,18.9,55,7,SW,9,1010.5
,2017-05-17,16.2,19.1,0.2,4.0,0.4,NNE,46,00:26,17.4,64,7,NNE,22,1011.0,18.0,71,7,NNW,19,1011.2
,2017-05-18,9.6,22.4,0,2.2,7.5,NNE,39,22:49,15.9,58,5,NNE,13,1017.2,21.3,37,6,NE,13,1014.9
,2017-05-19,12.0,19.0,0,2.2,3.7,N,28,12:32,14.3,83,7,NE,11,1016.0,18.9,60,7,NW,13,1012.9
,2017-05-20,11.5,20.5,0,1.6,6.4,NE,31,09:16,14.1,76,7,NNE,20,1015.6,19.8,55,7,NNW,20,1013.8
,2017-05-21,10.4,22.0,0,3.2,9.2,N,31,10:45,17.1,60,1,NE,15,1018.1,21.3,43,1,NW,15,1015.7
,2017-05-22,11.9,20.2,0,3.0,0.2,N,41,17:23,18.8,43,7,NNE,19,1016.1,20.0,43,7,N,20,1011.5
,2017-05-23,11.3,18.9,1.4,1.8,4.6,WNW,44,15:28,13.0,99,8,NNE,15,1018.1,17.5,63,7,NNW,24,1015.3
,2017-05-24,12.9,19.0,2.2,2.2,7.2,W,48,03:16,17.2,74,6,WNW,15,1020.8,17.5,67,7,W,13,1020.9
,2017-05-25,9.1,19.7,0,2.4,7.4,NW,26,12:27,13.7,83,6,NE,13,1022.6,19.0,61,3,WNW,15,1020.4
,2017-05-26,10.7,21.8,0,1.2,8.2,N,31,14:10,14.6,84,4,NE,13,1022.4,21.5,35,3,NNW,20,1017.5
,2017-05-27,12.4,20.3,0,4.6,6.5,N,57,10:29,14.8,63,6,NNE,28,1014.2,18.8,63,6,NW,28,1010.3
,2017-05-28,11.5,15.6,8.0,2.8,4.4,WSW,65,03:07,12.1,84,6,WSW,33,1015.1,15.5,60,7,WSW,31,1015.5
,2017-05-29,9.6,16.3,4.2,1.6,0.2,W,50,17:41,11.5,95,8,NE,15,1022.5,13.9,93,7,W,24,1021.2
,2017-05-30,10.8,15.7,10.0,1.8,5.7,S,41,12:39,13.9,57,7,S,15,1028.4,14.3,46,4,S,24,1028.9
,2017-05-31,5.3,15.6,0,1.8,9.1,SE,35,15:18,9.7,69,1,NE,7,1036.2,14.1,41,3,ESE,20,1034.8
