"Daily Weather Observations for Adelaide Airport, South Australia for June 2017"
"Prepared at 16:08 GMT on Wednesday  2 August 2017   IDCJDW5001.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are made about 1 km east of the coast."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Adelaide Airport {station 023034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,2.9,14.5,0,1.8,9.4,NE,24,10:30,10.0,64,1,NE,13,1037.4,14.1,51,1,WNW,11,1035.1
,2017-06-2,2.4,16.3,0,2.6,9.3,NNE,28,10:28,9.9,66,0,NE,9,1036.5,14.9,46,0,WSW,13,1033.5
,2017-06-3,2.9,17.4,0,2.0,9.7,N,22,10:39,9.6,72,0,NE,9,1033.4,14.8,56,0,WSW,11,1030.0
,2017-06-4,1.8,15.4,0,1.6,8.2,WNW,20,12:51,8.0,73,2,NE,4,1030.4,14.6,67,7,W,11,1027.4
,2017-06-5,5.1,17.4,0,0.6,7.6,NNE,20,09:56,9.9,70,7,NNE,13,1029.2,17.1,62,2,W,13,1026.8
,2017-06-6,8.6,17.0,1.0,1.6,7.2,SSE,30,11:36,13.0,78,2,S,9,1031.9,16.2,51,3,S,13,1030.3
,2017-06-7,2.7,14.7,0,2.8,8.9,W,22,14:05,9.0,77,0,NE,7,1032.1,14.0,54,1,W,11,1029.1
,2017-06-8,3.8,16.7,0,2.0,5.4,SSW,30,16:52,8.3,82,3,NE,13,1031.9,14.2,77,7,W,11,1030.5
,2017-06-9,5.9,15.0,0.6,0.0,1.8,SE,31,13:10,11.3,75,7, ,Calm,1036.4,14.4,60,7,SE,15,1034.3
,2017-06-10,7.8,15.4,0,2.0,7.1,WSW,26,12:50,12.5,69,7,E,9,1035.0,14.8,56,1,WSW,19,1032.0
,2017-06-11,3.3,15.5,0,2.4,7.7,WNW,20,12:26,8.1,84,6, ,Calm,1031.0,14.9,60,4,W,11,1028.5
,2017-06-12,7.0,17.2,0,2.2,7.6,NE,22,09:05,12.3,72,7,NE,15,1030.9,16.4,75,2,SW,11,1029.1
,2017-06-13,6.4,16.3,0,0.4,8.7,W,20,11:52,11.8,80,2,NNE,9,1031.5,15.7,66,3,WSW,11,1028.5
,2017-06-14,5.4,18.8,0,0.6,8.1,NNW,35,12:51,12.3,71,1,NNE,15,1028.3,18.6,42,5,NNW,17,1026.1
,2017-06-15,8.5,18.4,0,2.2,1.6,N,26,11:03,12.2,68,7,NE,9,1026.8,18.0,43,8,N,9,1024.3
,2017-06-16,9.7,15.3,0,3.2,0.0,NE,26,12:17,12.3,76,8,NNE,15,1025.7,15.2,65,7,NNW,9,1023.2
,2017-06-17,4.7,17.1,1.0,0.0,3.8,W,17,13:35,10.3,94,7,ENE,6,1026.9,16.4,69,1,W,11,1026.3
,2017-06-18,7.1,16.0,0.2,0.4,4.5,W,17,15:07,10.9,99,8,NE,9,1032.2,14.8,77,2,W,13,1030.5
,2017-06-19,4.5,19.3,0,1.0,9.1,N,31,11:33,10.2,83,1, ,Calm,1032.3,16.1,69,1,W,17,1028.8
,2017-06-20,3.5,19.0,0,1.8,9.1,NNE,28,09:49,11.3,76,1,NE,11,1027.7,18.7,40,5,NW,13,1026.0
,2017-06-21,4.0,18.1,0,2.0,9.2,WSW,19,14:17,10.2,77,1, ,Calm,1029.1,15.6,64,2,SW,13,1026.6
,2017-06-22,4.9,18.9,0,1.2,9.2,NNE,30,10:36,12.1,62,1,NE,15,1026.3,17.8,30,1,WNW,15,1021.8
,2017-06-23,6.3,18.2,0,2.0,5.5,NNW,28,12:45,12.2,54,4,NE,13,1019.4,16.4,51,7,NW,6,1017.0
,2017-06-24,4.1,15.8,0,1.6,7.9,WSW,19,11:42,10.3,77,1,NNE,9,1020.1,15.1,74,2,SW,13,1018.1
,2017-06-25,7.1,14.0,0,1.0,1.3,W,39,21:24,10.5,89,7,NE,13,1020.0,13.6,77,6,WSW,11,1020.0
,2017-06-26,7.7,15.4,1.8,0.0,6.2,N,22,09:02,10.2,94,7,NNE,17,1025.6,14.3,71,2,WNW,17,1024.3
,2017-06-27,9.0,16.4,0,2.0,6.7,NNE,26,09:45,12.9,71,6,NE,13,1024.0,15.0,68,2,SW,13,1022.0
,2017-06-28,5.8,15.4,0.4,1.8,2.4,WSW,33,14:09,10.8,77,6,NE,11,1023.4,11.7,83,7,SSW,7,1022.1
,2017-06-29,4.6,14.7,4.0,2.0,3.4,WSW,39,13:47,11.6,78,6,ESE,7,1028.7,14.2,73,7,SW,17,1028.2
,2017-06-30,3.9,15.0,1.6,1.2,8.2,NE,28,22:32,8.8,93,4,NNE,7,1032.0,13.8,68,2,WNW,13,1028.7
