"Daily Weather Observations for Newcastle, New South Wales for August 2016"
"Prepared at 13:01 GMT on Saturday 12 August 2017   IDCJDW2097.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,,19.7,0,,,NW,24,08:15,,,6,WNW,17,,18.3,61,,NE,7,
,2016-08-2,12.7,17.6,,,,SSE,78,00:00,13.2,77,8,WNW,7,,16.5,72,,S,41,
,2016-08-3,12.9,16.9,7.0,,,SSE,81,21:25,16.0,69,8,SSE,54,,16.6,60,,SSE,50,
,2016-08-4,12.2,16.6,1.8,,,SSE,81,02:13,15.6,61,7,SSE,48,,13.9,72,,S,46,
,2016-08-5,11.2,16.3,4.6,,,SE,61,02:38,11.7,91,7,W,15,,15.0,79,,SSW,22,
,2016-08-6,11.4,13.7,4.2,,,S,37,15:41,12.3,92,7,W,17,,13.1,92,,SSW,13,
,2016-08-7,10.9,17.6,10.6,,,W,33,19:12,12.8,92,5,NW,17,,16.5,64,,ESE,9,
,2016-08-8,8.2,17.6,0.8,,,S,24,13:10,12.5,84,1,NW,9,,16.9,58,,SSE,13,
,2016-08-9,7.7,20.1,0,,,NW,31,08:50,11.7,81,1,NW,22,,17.7,61,,ENE,20,
,2016-08-10,11.7,24.3,0,,,NW,61,20:07,15.8,71,1,N,11,,23.8,40,,NW,28,
,2016-08-11,13.6,20.8,0,,,NW,43,14:14,16.9,45,2,WNW,24,,20.5,34,,W,22,
,2016-08-12,8.2,19.3,0,,,WNW,33,10:49,13.0,57,2,WNW,17,,19.1,40,,NW,11,
,2016-08-13,8.9,18.7,0,,,NW,39,08:44,12.8,58,1,WNW,26,,17.8,42,,S,13,
,2016-08-14,9.1,18.6,0,,,S,30,14:07,15.4,56,1,WNW,13,,17.0,62,,S,22,
,2016-08-15,9.5,19.8,0,,,ENE,31,16:22,14.6,76,0,NW,13,,18.6,59,,E,20,
,2016-08-16,9.4,21.4,0,,,ENE,28,15:58,13.5,81,0,NW,17,,18.7,71,,ENE,20,
,2016-08-17,10.5,23.7,0,,,NW,37,12:07,16.2,66,0,WNW,19,,23.3,31,,WNW,17,
,2016-08-18,10.9,23.8,0,,,NW,26,02:49,15.6,63,0,NW,17,,19.7,57,,ESE,13,
,2016-08-19,10.4,22.8,0,,,NW,31,07:10,15.0,67,1,NNW,17,,19.6,68,,E,20,
,2016-08-20,12.9,19.1,0,,,WNW,65,12:32,14.7,65,3,WNW,20,,18.2,33,,W,31,
,2016-08-21,7.9,18.2,0,,,WNW,33,03:16,12.8,59,2,WNW,22,,16.3,47,,E,17,
,2016-08-22,7.5,14.0,0,,,WNW,26,15:37,9.6,75,8,WNW,20,,13.2,71,,NNW,15,
,2016-08-23,9.7,15.9,2.6,,,SSW,35,11:47,13.7,79,2,NW,17,,15.6,58,,S,20,
,2016-08-24,12.4,15.9,1.0,,,WSW,48,23:12,12.6,95,8,NW,11,,15.5,82,,NNW,6,
,2016-08-25,10.3,17.1,3.8,,,SW,52,01:20,11.9,65,7,WSW,22,,15.5,56,,SSW,17,
,2016-08-26,6.9,16.3,2.8,,,SSW,41,23:46,11.5,60,4,WSW,19,,13.9,63,,SSW,22,
,2016-08-27,10.4,17.3,4.4,,,,,,11.5,75,7,W,13,,16.8,58,,SE,9,
,2016-08-28,7.9,21.1,0.2,,,WNW,43,07:55,12.5,54,0,NW,30,,19.4,41,,S,13,
,2016-08-29,7.8,20.2,0,,,ENE,26,18:44,12.9,69,6,NW,15,,17.6,58,,ESE,20,
,2016-08-30,11.6,21.0,0,,,NE,24,18:48,15.2,76,7,NW,17,,18.5,76,,E,11,
,2016-08-31,14.6,19.8,0,,,NW,44,16:19,15.9,86,8,N,9,,18.9,77,,N,9,
