"Daily Weather Observations for Newcastle, New South Wales for September 2016"
"Prepared at 13:01 GMT on Friday 11 August 2017   IDCJDW2097.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,13.6,23.7,0,,,NW,33,04:17,18.0,72,0,NW,19,,19.3,65,,E,20,
,2016-09-2,15.3,17.8,7.6,,,NE,33,01:08,15.6,99,8,N,7,,16.5,98,,S,9,
,2016-09-3,15.4,19.3,4.6,,,NW,89,13:12,16.6,65,5,NW,48,,18.9,46,,WNW,48,
,2016-09-4,11.1,20.4,0,,,WNW,37,04:59,15.7,57,2,NW,22,,17.7,56,,S,20,
,2016-09-5,9.2,21.0,0,,,NE,28,18:04,14.3,66,0,NW,13,,18.0,65,,E,22,
,2016-09-6,10.3,21.5,0,,,ENE,30,16:46,14.5,78,0,NW,13,,19.8,69,,E,19,
,2016-09-7,12.6,20.3,0,,,ENE,43,17:14,17.6,77,0,NE,2,,19.6,74,,E,31,
,2016-09-8,16.3,22.4,0,,,ENE,46,13:09,19.4,75,1,N,6,,19.8,79,,ENE,28,
,2016-09-9,15.2,23.6,0,,,ENE,39,11:46,20.2,61,0,SE,4,,21.4,68,,ENE,22,
,2016-09-10,12.9,20.3,1.8,,,WNW,70,11:46,14.0,83,6,NW,35,,19.9,48,,NW,39,
,2016-09-11,12.7,20.7,0,,,WNW,39,02:46,17.1,55,,WNW,24,,18.0,59,,SE,19,
,2016-09-12,10.2,18.8,0,,,SSW,26,10:22,17.2,71,0,WNW,4,,18.4,75,,ESE,19,
,2016-09-13,15.3,20.0,0,,,NE,20,00:10,17.7,84,8,NW,6,,18.7,80,,ESE,13,
,2016-09-14,16.1,22.3,8.0,,,ENE,39,10:18,16.9,97,8,N,19,,22.0,75,,NW,17,
,2016-09-15,14.9,20.9,0.4,,,,,,17.4,54,6,WNW,35,,20.8,32,,NW,59,
,2016-09-16,11.9,21.8,1.4,,,NW,43,06:10,16.1,68,5,WNW,28,,20.7,49,,WNW,20,
,2016-09-17,11.5,20.7,0,,,ESE,26,13:39,18.0,62,0,WNW,11,,18.3,63,,E,20,
,2016-09-18,15.2,17.7,0,,,NW,67,22:44,15.7,76,8,NW,9,,15.8,81,,SE,17,
,2016-09-19,13.0,22.1,14.0,,,NW,72,00:46,17.6,64,3,WNW,30,,22.0,49,,W,19,
,2016-09-20,10.2,17.7,0,,,NW,31,00:10,14.7,55,6,WNW,15,,16.3,53,,SE,13,
,2016-09-21,13.0,18.6,0.2,,,W,50,18:40,14.1,85,7,NNW,15,,17.0,75,,E,11,
,2016-09-22,14.0,20.4,3.8,,,NW,61,13:01,17.5,63,1,WNW,31,,19.6,47,,WNW,35,
,2016-09-23,15.6,19.2,0,,,SSW,56,14:58,18.2,55,6,SW,26,,18.4,68,,SSW,37,
,2016-09-24,13.4,20.2,0,,,WNW,26,04:36,18.0,71,2,SSW,13,,19.9,69,,SE,20,
,2016-09-25,13.7,21.4,4.0,,,SW,57,15:15,15.2,86,7,WNW,22,,19.1,68,,SSE,22,
,2016-09-26,13.3,19.1,4.8,,,SE,28,16:32,17.2,59,3,WSW,9,,18.1,66,,SE,20,
,2016-09-27,10.9,24.1,0,,,NW,78,12:03,17.1,50,4,NW,31,,23.5,28,,WSW,39,
,2016-09-28,10.3,19.6,0,,,NE,31,20:07,17.1,45,0,W,6,,18.3,54,,SE,22,
,2016-09-29,14.3,21.7,0,,,NW,56,23:46,15.6,72,8,NNE,9,,19.2,70,,NNE,6,
,2016-09-30,11.7,18.2,3.4,,,NW,93,15:36,16.6,43,6,NW,35,,15.5,54,,NW,46,
