"Daily Weather Observations for Newcastle, New South Wales for October 2016"
"Prepared at 13:01 GMT on Thursday 10 August 2017   IDCJDW2097.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,13.7,21.4,0,,,,,,17.7,54,3,NW,43,,21.4,37,,WNW,39,
,2016-10-2,12.9,25.7,0,,,NNW,41,12:09,17.2,58,,NW,22,,25.0,32,,NNW,20,
,2016-10-3,16.2,23.6,0,,,NW,80,12:16,19.0,54,8,N,6,,20.5,64,,NW,33,
,2016-10-4,13.2,21.7,0,,,WNW,74,14:25,15.7,51,0,NW,30,,21.3,36,,NW,52,
,2016-10-5,13.3,23.4,0,,,W,65,01:52,15.6,36,0,WNW,28,,22.6,19,,W,37,
,2016-10-6,14.2,27.7,0,,,NW,52,16:15,17.4,43,1,NW,37,,26.2,29,,NW,28,
,2016-10-7,16.8,28.4,0,,,NW,50,13:58,20.1,53,3,NW,22,,27.9,24,,NW,35,
,2016-10-8,18.8,25.3,0,,,WNW,57,08:52,22.4,42,7,NW,31,,19.9,77,,S,33,
,2016-10-9,15.7,20.8,0.8,,,NE,52,18:00,19.4,47,4,ESE,17,,19.2,59,,ENE,35,
,2016-10-10,15.6,31.0,0,,,NW,57,11:57,20.6,62,,N,24,,29.5,37,,NW,35,
,2016-10-11,11.2,20.9,7.2,,,W,56,08:44,14.7,49,0,W,37,,18.4,36,,SSE,24,
,2016-10-12,9.8,20.9,0,,,NE,31,18:21,14.2,49,0,NW,17,,19.6,42,,SE,15,
,2016-10-13,12.1,15.6,14.2,,,S,69,08:53,13.3,91,8,S,39,,14.6,71,,S,41,
,2016-10-14,10.9,18.9,18.8,,,SSW,31,11:13,13.2,76,1,W,11,,18.2,52,,SE,19,
,2016-10-15,10.3,23.3,0,,,ENE,41,16:27,14.9,76,0,NW,22,,20.5,52,,E,26,
,2016-10-16,12.9,24.7,0,,,NE,41,17:16,17.7,64,0,N,13,,21.1,68,,ENE,24,
,2016-10-17,17.6,22.6,0,,,NW,59,17:09,21.4,46,8,NNW,9,,13.3,84,,WNW,20,
,2016-10-18,11.2,23.5,5.0,,,NW,57,14:58,15.9,65,0,NW,28,,22.6,32,,NW,39,
,2016-10-19,13.6,20.6,0,,,ESE,37,19:37,18.3,53,5,SSW,17,,19.4,52,,SSE,24,
,2016-10-20,17.1,19.8,0,,,ENE,52,15:00,18.6,54,7,E,26,,19.6,62,,ENE,37,
,2016-10-21,16.9,23.4,0,,,WNW,41,21:16,19.1,75,0,N,11,,21.4,76,,ENE,22,
,2016-10-22,17.5,18.9,15.2,,,NW,44,14:54,17.8,97,8,W,17,,17.6,83,,WNW,26,
,2016-10-23,10.5,16.4,21.0,,,SSW,61,11:55,12.9,64,6,SW,22,,16.1,53,,S,44,
,2016-10-24,11.7,18.4,0.4,,,S,30,16:19,15.0,57,0,SSW,15,,17.3,52,,SSE,20,
,2016-10-25,10.7,24.2,0,,,ENE,41,14:41,16.3,69,1,NW,17,,20.6,66,,ENE,24,
,2016-10-26,14.5,27.8,0,,,NNW,39,16:09,21.2,45,3,WNW,20,,27.5,27,,NW,19,
,2016-10-27,17.4,21.1,0,,,SE,41,18:56,20.9,80,6,SSW,24,,20.2,75,,SSE,31,
,2016-10-28,15.4,19.0,8.8,,,S,41,03:12,16.4,92,8,SSE,24,,18.2,77,,SSE,19,
,2016-10-29,16.1,21.9,13.6,,,ENE,52,15:46,17.9,100,7,NNE,4,,21.0,81,,ENE,35,
,2016-10-30,17.5,25.7,0,,,W,43,16:55,20.7,80,6,NNW,11,,23.6,76,,ENE,17,
,2016-10-31,18.5,19.4,5.0,,,S,50,11:10,18.7,59,6,SSW,30,,19.0,43,,S,26,
