"Daily Weather Observations for Newcastle, New South Wales for November 2016"
"Prepared at 13:01 GMT on Wednesday  9 August 2017   IDCJDW2097.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,14.9,19.9,0,,,SSW,39,05:51,15.9,52,8,SSW,24,,19.0,49,,SE,19,
,2016-11-2,12.8,21.0,0,,,ESE,30,16:30,19.6,41,0,SSW,20,,20.4,42,,SE,22,
,2016-11-3,13.5,22.0,0,,,ENE,35,16:54,19.9,65,0,NNE,4,,21.4,68,,SE,20,
,2016-11-4,16.9,29.4,0,,,,,,21.1,67,0,WNW,7,,28.6,25,,NW,28,
,2016-11-5,17.8,29.3,0,,,W,72,13:26,24.6,32,2,NW,35,,26.0,13,,SW,33,
,2016-11-6,15.4,25.3,0,,,W,48,08:53,19.6,34,0,W,28,,20.4,48,,SE,28,
,2016-11-7,13.3,28.2,0,,,NNW,41,11:24,19.3,51,0,NW,22,,23.2,57,,ENE,28,
,2016-11-8,18.1,30.2,0,,,SSW,74,17:54,24.0,45,5,NNW,17,,25.6,58,,ENE,19,
,2016-11-9,19.0,21.5,1.6,,,SSW,39,05:02,20.2,79,6,S,24,,19.9,79,,ESE,15,
,2016-11-10,16.7,23.4,6.6,,,WNW,31,08:09,19.9,83,5,WNW,22,,21.3,75,,ESE,24,
,2016-11-11,18.9,23.6,0,,,ENE,37,19:29,22.9,65,6,SE,6,,21.7,73,,ESE,26,
,2016-11-12,18.1,32.1,2.2,,,WNW,63,14:11,18.6,96,8,ENE,28,,31.3,46,,WNW,33,
,2016-11-13,18.5,31.0,2.8,,,NW,81,13:42,25.5,57,1,WNW,22,,30.1,12,,NW,56,
,2016-11-14,16.0,24.4,0,,,W,57,01:00,19.8,49,4,WNW,28,,23.0,39,,SSW,22,
,2016-11-15,14.5,20.5,5.4,,,SSE,48,23:22,17.9,66,6,SSW,13,,19.4,62,,SE,15,
,2016-11-16,14.0,22.1,0,,,SSE,37,15:37,20.4,66,0,WNW,9,,21.1,60,,SSE,24,
,2016-11-17,16.4,21.8,3.6,,,SSE,33,01:39,19.1,74,7,SSE,7,,20.8,66,,E,22,
,2016-11-18,15.4,30.2,0,,,NE,35,17:25,21.1,66,0,NW,20,,24.5,69,,ENE,24,
,2016-11-19,20.0,22.4,0,,,S,46,09:46,20.7,84,1,SSW,30,,20.9,79,,S,30,
,2016-11-20,19.0,23.0,0,,,E,28,17:50,21.1,74,7,SE,6,,22.1,74,,ESE,19,
,2016-11-21,20.0,24.6,0,,,ENE,41,14:07,20.5,94,6,N,15,,23.3,79,,ENE,31,
,2016-11-22,19.3,25.3,0,,,ENE,43,15:15,23.8,60,0,NNE,11,,23.8,74,,ENE,33,
,2016-11-23,18.6,25.4,0,,,S,56,16:37,22.2,65,0,N,13,,22.9,73,,ENE,33,
,2016-11-24,16.4,19.6,1.6,,,S,44,12:14,18.5,47,1,SSW,22,,18.8,61,,SSE,31,
,2016-11-25,14.4,24.9,0,,,SSE,33,13:26,19.0,65,3,NW,22,,21.6,53,,SE,24,
,2016-11-26,17.3,23.6,0,,,ENE,44,16:26,21.9,69,4,NNE,6,,21.7,75,,ENE,33,
,2016-11-27,19.3,23.6,0,,,E,41,17:15,21.9,84,7,SSW,17,,22.1,78,,ESE,33,
,2016-11-28,20.3,25.0,0,,,ENE,43,13:51,23.5,78,6,E,6,,22.9,78,,ENE,31,
,2016-11-29,20.1,22.6,0,,,S,50,12:35,21.0,83,6,SSW,30,,21.4,81,,S,39,
,2016-11-30,19.7,24.5,0,,,ENE,44,17:33,22.0,75,7,S,9,,23.1,71,,E,26,
