"Daily Weather Observations for Newcastle, New South Wales for December 2016"
"Prepared at 13:01 GMT on Tuesday  8 August 2017   IDCJDW2097.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,18.1,26.2,0,,,SE,33,14:36,19.5,73,7,WNW,17,,23.1,73,,E,20,
,2016-12-2,17.9,29.8,0,,,SSW,44,22:46,25.6,51,0,NW,19,,25.6,59,,ESE,20,
,2016-12-3,21.1,24.2,0,,,SE,48,16:28,21.9,78,6,S,26,,22.6,71,,SE,20,
,2016-12-4,20.3,24.9,0,,,ENE,37,18:33,22.2,82,8,S,9,,23.6,80,,E,20,
,2016-12-5,22.0,28.3,0,,,S,81,16:38,22.7,92,7,W,2,,23.4,86,,E,26,
,2016-12-6,20.6,23.6,0,,,SSW,56,23:23,21.4,90,,SSW,17,,22.2,89,,S,26,
,2016-12-7,17.9,23.3,,,,S,46,03:22,21.1,80,7,SW,9,,22.9,71,,E,19,
,2016-12-8,19.4,27.4,0.2,,,NW,56,21:59,21.8,78,5,N,15,,24.2,82,,ENE,31,
,2016-12-9,19.5,26.7,1.2,,,W,59,07:04,20.7,41,2,W,30,,23.2,44,,SE,20,
,2016-12-10,19.0,22.6,0,,,NE,46,18:40,21.7,57,6,E,13,,21.6,61,,E,28,
,2016-12-11,18.8,24.6,0,,,ENE,52,14:59,20.9,70,0,N,9,,22.8,75,,E,37,
,2016-12-12,19.6,27.3,0,,,E,41,13:22,22.4,67,3,NNW,17,,23.2,72,,ENE,31,
,2016-12-13,20.1,35.5,0,,,WNW,44,09:18,27.1,54,1,NW,24,,35.0,24,,NNW,30,
,2016-12-14,23.1,36.2,0,,,NW,59,09:25,29.5,34,5,NW,35,,35.3,22,,NNW,28,
,2016-12-15,18.9,19.2,0,,,SE,48,10:30,18.9,98,8,SSE,33,,17.9,96,,SSE,31,
,2016-12-16,17.2,25.1,29.6,,,SSE,30,01:14,19.1,100,8,S,11,,20.5,92,,SE,9,
,2016-12-17,18.5,30.4,6.8,,,NW,74,12:37,25.1,75,6,NW,31,,26.6,63,,E,13,
,2016-12-18,19.0,21.4,2.6,,,SSW,69,23:12,19.2,73,,SSE,28,,20.7,65,,SSE,28,
,2016-12-19,17.0,21.7,0.6,,,ENE,43,18:29,17.2,83,7,NE,13,,21.1,57,,E,26,
,2016-12-20,16.9,31.2,0.2,,,ENE,35,13:19,20.4,71,3,N,13,,23.2,74,,ENE,26,
,2016-12-21,19.6,22.7,0,,,SSW,52,00:48,20.9,82,1,SSW,22,,22.4,79,,SSE,24,
,2016-12-22,20.1,22.9,0,,,E,30,13:50,21.0,70,8,ESE,20,,22.1,65,,E,26,
,2016-12-23,19.8,22.8,0,,,E,48,14:54,21.9,74,5,E,22,,22.3,73,,E,37,
,2016-12-24,19.1,24.4,0,,,NW,43,17:38,22.4,77,6,NE,7,,24.0,74,,E,30,
,2016-12-25,19.0,25.5,0.2,,,ENE,50,14:11,22.9,79,,E,7,,23.4,75,,ENE,35,
,2016-12-26,20.3,24.2,0,,,ENE,41,14:19,23.4,74,0,NE,7,,23.3,72,,ENE,31,
,2016-12-27,19.7,24.4,0,,,ENE,35,17:42,22.0,81,4,NE,9,,22.8,75,,SE,7,
,2016-12-28,19.9,29.7,0,,,NE,43,18:07,24.2,68,1,N,17,,22.7,69,,ENE,31,
,2016-12-29,20.4,38.9,0,,,NW,48,08:46,29.4,42,2,WNW,33,,24.9,63,,ENE,22,
,2016-12-30,20.2,29.6,0,,,SSE,37,15:51,26.2,59,6,NNE,9,,25.0,66,,ENE,22,
,2016-12-31,21.0,25.7,0,,,SSW,37,17:27,23.5,76,7,ESE,4,,22.8,87,,SSW,20,
