"Daily Weather Observations for Newcastle, New South Wales for January 2017"
"Prepared at 16:01 GMT on Monday  7 August 2017   IDCJDW2097.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,20.9,25.2,0,,,SSW,31,23:02,21.8,94,8,SSW,15,,22.9,90,,S,13,
,2017-01-2,20.4,22.3,29.2,,,SSW,52,07:11,20.7,93,8,SSW,31,,21.5,86,,S,20,
,2017-01-3,19.4,22.6,0,,,SSW,44,08:53,20.9,81,4,SSW,24,,22.0,81,,S,26,
,2017-01-4,20.3,23.3,0,,,ESE,39,22:15,21.9,66,6,SE,20,,22.6,70,,S,19,
,2017-01-5,19.5,23.8,8.8,,,E,30,04:14,20.6,90,8,ENE,13,,22.6,83,,SE,17,
,2017-01-6,20.0,24.1,0,,,ESE,30,13:25,21.9,89,6,S,11,,23.5,79,,ESE,26,
,2017-01-7,21.1,24.7,0,,,ENE,43,15:59,23.9,75,6,S,9,,23.4,72,,E,33,
,2017-01-8,19.9,27.5,0,,,ENE,44,15:16,22.8,64,1,N,15,,24.1,74,,ENE,33,
,2017-01-9,19.6,24.9,0,,,E,43,16:25,23.6,74,1,ENE,7,,24.5,70,,ENE,28,
,2017-01-10,20.1,31.6,0,,,WNW,41,17:58,24.2,80,8,NNW,13,,23.2,84,,ENE,24,
,2017-01-11,22.6,37.5,0,,,SSW,67,19:45,25.9,77,7,N,11,,28.0,52,,NE,7,
,2017-01-12,21.9,25.7,0,,,SSW,54,23:22,23.0,82,5,SSW,19,,25.4,75,,E,11,
,2017-01-13,21.7,33.3,0,,,ENE,43,13:32,24.6,80,5,ENE,11,,25.0,80,,ENE,33,
,2017-01-14,24.1,31.0,0,,,SSW,48,00:02,29.2,57,8,NE,4,,26.1,78,,SSE,9,
,2017-01-15,21.9,24.8,0,,,SE,44,01:13,22.8,81,6,E,17,,24.0,76,,SE,7,
,2017-01-16,20.7,24.5,0,,,E,52,15:04,23.6,78,,ENE,11,,24.0,73,,E,37,
,2017-01-17,20.5,36.1,0,,,ENE,43,14:57,23.1,86,1,NNW,13,,26.0,72,,ENE,28,
,2017-01-18,23.1,38.3,0,,,NW,78,08:28,34.7,35,4,NW,50,,24.4,83,,SSW,31,
,2017-01-19,20.0,23.9,0.2,,,S,41,00:03,20.8,80,8,ESE,7,,22.8,65,,E,15,
,2017-01-20,20.4,28.7,0,,,SSW,57,22:34,23.8,72,6,N,17,,24.5,93,,NNW,22,
,2017-01-21,21.0,23.2,17.0,,,SSW,50,23:04,21.7,72,8,S,24,,22.5,67,,S,22,
,2017-01-22,20.4,25.2,0,,,ENE,39,18:28,22.2,73,2,S,15,,24.1,63,,E,24,
,2017-01-23,20.8,31.3,0,,,ENE,39,12:47,23.2,72,1,NNW,19,,24.9,71,,ENE,30,
,2017-01-24,21.9,38.7,0,,,SW,70,15:50,31.1,42,5,NW,33,,33.5,41,,S,7,
,2017-01-25,19.3,21.8,39.2,,,SSE,44,23:50,20.6,87,8,SSE,13,,21.5,86,,SSW,15,
,2017-01-26,20.1,23.1,0.4,,,S,41,11:31,20.6,99,8,SSW,22,,22.6,86,,SSW,20,
,2017-01-27,20.5,24.8,5.4,,,SSW,33,09:42,22.7,94,7,SSW,13,,24.6,83,,SE,13,
,2017-01-28,21.2,26.5,0.6,,,ENE,39,15:38,24.3,85,1,ENE,2,,25.3,83,,E,26,
,2017-01-29,22.0,25.0,0,,,SW,37,18:37,22.8,98,,SSW,19,,24.4,90,,SSE,19,
,2017-01-30,22.0,31.9,0,,,ENE,41,16:33,24.9,84,0,N,15,,27.3,69,,ENE,26,
,2017-01-31,24.8,39.2,0,,,SSW,67,18:41,31.7,45,6,NW,30,,38.3,27,,NW,19,
