"Daily Weather Observations for Newcastle, New South Wales for February 2017"
"Prepared at 13:01 GMT on Sunday  6 August 2017   IDCJDW2097.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,20.9,23.8,1.6,,,SSW,48,20:00,21.2,100,8,SSW,20,,22.6,92,,S,20,
,2017-02-2,21.1,23.6,0.4,,,SSW,54,13:20,23.2,93,7,SSW,17,,23.0,82,,SSW,33,
,2017-02-3,21.7,24.7,0,,,ESE,28,12:59,23.1,87,8,E,11,,23.7,91,,SE,20,
,2017-02-4,23.1,28.8,0,,,N,54,19:10,24.6,95,6,NE,11,,26.0,83,,E,15,
,2017-02-5,24.3,32.1,1.2,,,WNW,39,01:57,26.6,76,6,NNE,19,,26.7,76,,ENE,24,
,2017-02-6,24.6,32.6,0,,,SSW,52,20:39,27.8,68,,N,13,,25.9,88,,S,17,
,2017-02-7,23.4,26.6,0,,,,,,25.4,90,7,SE,2,,24.6,80,,S,20,
,2017-02-8,21.7,26.0,0.6,,,ESE,39,23:00,24.2,89,7,E,15,,25.4,82,,ESE,24,
,2017-02-9,22.5,27.5,2.0,,,ENE,44,15:26,25.1,85,4,ENE,7,,26.0,77,,E,33,
,2017-02-10,21.9,32.7,0,,,SSW,35,23:00,25.8,73,2,NNW,19,,27.7,68,,ENE,22,
,2017-02-11,23.7,36.4,0,,,SSW,61,00:40,26.6,79,0,WNW,7,,26.6,79,,E,20,
,2017-02-12,23.5,30.8,0,,,SSW,81,23:58,27.8,78,1,NW,19,,24.8,91,,S,24,
,2017-02-13,20.0,24.0,0,,,S,37,07:00,21.7,50,6,S,26,,23.7,56,,SSE,19,
,2017-02-14,21.1,23.8,0,,,SSE,43,16:46,23.3,71,6,ESE,15,,23.2,72,,ESE,26,
,2017-02-15,18.9,24.5,6.8,,,ENE,37,17:58,22.0,81,4,S,13,,24.0,71,,ESE,17,
,2017-02-16,20.1,27.4,0,,,E,37,14:45,22.5,81,1,N,9,,24.6,77,,E,30,
,2017-02-17,22.3,30.2,0,,,WNW,56,16:47,24.4,81,2,NE,9,,25.0,76,,E,26,
,2017-02-18,21.4,32.1,13.4,,,SSW,46,18:07,23.9,79,3,N,11,,23.8,81,,SSE,15,
,2017-02-19,19.8,21.3,2.4,,,SSW,46,05:18,19.9,90,7,SW,19,,20.3,86,,SSW,17,
,2017-02-20,18.1,26.8,0.2,,,W,37,08:17,20.5,39,0,W,22,,22.8,52,,SE,26,
,2017-02-21,18.9,24.2,0,,,ENE,35,18:25,20.8,78,6,S,9,,23.9,66,,ESE,20,
,2017-02-22,20.4,25.1,0,,,ENE,46,16:11,22.5,76,1,NE,13,,23.9,69,,E,35,
,2017-02-23,19.8,26.3,0,,,ENE,43,13:37,22.0,76,0,ENE,11,,23.3,71,,ENE,33,
,2017-02-24,19.6,23.6,0,,,ESE,31,11:22,21.2,83,0,S,9,,23.0,81,,ESE,20,
,2017-02-25,20.1,23.2,0,,,SE,43,17:35,21.5,87,6,S,13,,22.4,83,,SSW,22,
,2017-02-26,20.2,23.1,19.2,,,S,48,17:49,22.6,72,5,SSE,26,,21.6,79,,SSW,20,
,2017-02-27,19.3,24.2,4.0,,,SE,72,17:11,22.8,74,6,SE,30,,23.4,71,,S,26,
,2017-02-28,19.6,24.2,24.2,,,SE,54,18:53,21.4,93,7,SW,6,,22.9,86,,SSE,17,
