"Daily Weather Observations for Newcastle, New South Wales for March 2017"
"Prepared at 13:01 GMT on Saturday  5 August 2017   IDCJDW2097.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,19.7,25.9,23.8,,,SE,39,23:28,22.7,88,0,S,9,,25.2,,,SSE,13,
,2017-03-2,21.0,25.6,0,,,ENE,28,17:18,22.4,,6,SSW,11,,25.2,,,SE,13,
,2017-03-3,20.9,25.0,2.8,,,SSE,46,20:33,21.6,,8,SSW,15,,23.4,,,S,17,
,2017-03-4,20.9,23.3,21.8,,,SSW,52,16:14,22.0,,8,SW,19,,22.9,,,SW,20,
,2017-03-5,19.5,23.0,8.8,,,SW,50,21:04,20.1,,5,NW,15,,22.7,,,SSW,20,
,2017-03-6,19.6,23.2,0.8,,,SSW,78,16:27,20.9,,6,SW,24,,22.8,73,,SSW,48,
,2017-03-7,18.3,22.9,1.8,,,S,70,05:22,22.1,66,7,S,44,,20.0,85,,S,33,
,2017-03-8,18.4,22.2,3.2,,,SSE,57,02:29,21.3,63,7,SSE,28,,21.7,68,,SSE,24,
,2017-03-9,17.6,23.1,2.0,,,SSE,59,15:50,22.0,66,7,SSE,31,,22.4,60,,S,33,
,2017-03-10,18.7,22.9,2.4,,,SSW,50,11:07,19.9,78,5,SW,13,,22.3,63,,SSW,30,
,2017-03-11,18.0,24.1,0,,,S,30,23:01,20.0,75,8,SW,13,,23.0,62,,SSE,20,
,2017-03-12,16.3,26.3,0,,,ENE,44,15:41,18.2,62,0,NNW,11,,24.5,62,,E,30,
,2017-03-13,18.2,25.6,0,,,ENE,50,17:11,22.2,62,8,NE,9,,24.9,62,,E,20,
,2017-03-14,21.6,24.1,0.2,,,ESE,59,14:32,22.7,62,6,ENE,22,,23.0,62,,ESE,39,
,2017-03-15,20.3,24.9,19.4,,,ENE,52,18:56,22.8,62,5,ENE,22,,24.5,62,,ENE,31,
,2017-03-16,21.8,24.8,3.6,,,ENE,56,23:38,22.9,95,8,NE,22,,23.9,87,,ENE,19,
,2017-03-17,21.5,23.8,4.0,,,S,80,11:28,21.6,96,8,S,39,,20.4,94,,S,54,
,2017-03-18,19.5,24.9,36.8,,,ESE,69,01:36,23.3,83,8,SE,44,,24.3,80,,SE,41,
,2017-03-19,22.2,25.7,10.6,,,ESE,61,00:01,22.7,99,8,NE,22,,25.5,85,,ENE,15,
,2017-03-20,22.4,26.1,11.2,,,NE,37,10:45,24.5,89,6,NE,17,,24.8,86,,NE,15,
,2017-03-21,22.5,29.6,0,,,ENE,28,16:54,23.4,91,7,NE,6,,26.1,82,,E,17,
,2017-03-22,22.8,30.7,0,,,SSW,57,17:51,23.6,91,6,NW,9,,29.7,60,,WNW,26,
,2017-03-23,20.5,22.7,10.6,,,SSW,50,05:33,21.9,88,8,SSW,30,,22.4,84,,SSW,24,
,2017-03-24,18.9,23.9,6.6,,,SSE,56,02:08,19.8,95,8,SW,11,,23.0,73,,SE,28,
,2017-03-25,19.3,24.5,1.4,,,ENE,28,15:54,21.3,79,,NW,9,,22.9,69,,E,17,
,2017-03-26,21.1,26.2,0,,,ENE,28,18:40,22.3,91,4,SW,9,,25.3,78,,E,20,
,2017-03-27,20.4,25.8,0,,,ENE,43,14:40,23.1,83,0,NE,9,,24.6,80,,ENE,30,
,2017-03-28,21.0,24.5,0,,,S,46,05:54,22.8,93,7,SSW,31,,23.4,87,,S,28,
,2017-03-29,22.3,28.8,0,,,NE,26,21:34,23.0,96,7,NNE,7,,26.0,86,,ENE,19,
,2017-03-30,22.9,24.5,0,,,SSW,87,21:30,23.9,95,8,NNE,13,,22.2,98,,N,15,
,2017-03-31,16.1,20.9,67.0,,,S,74,23:23,16.9,83,,SW,22,,20.4,79,,SSW,43,
