"Daily Weather Observations for Newcastle, New South Wales for April 2017"
"Prepared at 13:01 GMT on Friday  4 August 2017   IDCJDW2097.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,16.8,22.7,8.6,,,S,52,23:41,18.4,81,,WNW,6,,22.1,73,,E,11,
,2017-04-2,18.3,22.3,3.4,,,SE,67,04:02,19.8,72,,SSE,35,,21.6,61,,SSE,35,
,2017-04-3,16.9,22.3,6.6,,,SSE,61,18:39,21.1,66,,SE,37,,21.5,63,,SSE,35,
,2017-04-4,16.8,22.4,10.4,,,SSE,74,06:49,20.2,65,,SE,31,,20.6,65,,SE,37,
,2017-04-5,17.4,22.0,6.4,,,SSE,52,05:42,17.8,88,,NNW,19,,20.5,70,,SE,28,
,2017-04-6,15.6,22.6,3.6,,,E,35,21:42,19.6,77,,W,4,,22.3,57,,SE,17,
,2017-04-7,16.2,23.9,0.2,,,SE,28,03:18,19.2,82,,NW,7,,22.1,62,,SE,13,
,2017-04-8,14.4,23.7,0.2,,,NE,35,18:23,19.7,79,,NW,7,,22.6,66,,E,22,
,2017-04-9,16.1,26.9,0,,,SW,48,20:23,19.7,80,,NW,20,,26.1,46,,N,22,
,2017-04-10,12.4,18.9,5.2,,,WNW,70,09:03,14.5,54,0,WNW,41,,17.8,50,,WNW,33,
,2017-04-11,14.1,21.3,0,,,SSW,65,18:00,18.8,60,,WSW,26,,20.8,66,,SSW,39,
,2017-04-12,15.8,21.0,35.8,,,SSW,52,13:51,16.7,97,7,WSW,15,,19.7,81,,SSW,31,
,2017-04-13,15.7,21.4,20.2,,,S,39,22:15,16.5,98,8,SW,11,,19.7,77,,S,24,
,2017-04-14,16.3,22.7,3.2,,,S,31,01:46,19.5,78,,WSW,6,,21.8,57,,SSE,13,
,2017-04-15,13.4,23.7,0,,,SE,31,16:24,17.9,84,0,NW,17,,21.4,68,,SSE,24,
,2017-04-16,14.4,25.2,0,,,NW,31,08:20,15.4,99,4,NW,22,,23.1,63,,SSE,11,
,2017-04-17,15.4,23.6,0,,,SE,22,17:25,20.7,75,6, ,Calm,,22.5,61,,SE,15,
,2017-04-18,15.2,23.4,0,,,S,28,23:35,20.1,78,1,NNW,4,,22.6,65,,SE,19,
,2017-04-19,16.3,23.5,0,,,NE,33,21:58,19.2,81,6,NW,17,,22.7,70,,S,13,
,2017-04-20,16.6,23.4,0,,,E,22,12:48,21.3,79,1,ESE,4,,22.9,63,,E,17,
,2017-04-21,15.6,24.1,0,,,ENE,37,17:21,18.5,84,7,WNW,6,,22.1,70,,E,22,
,2017-04-22,18.3,23.0,0,,,NNE,22,03:27,18.6,84,8,N,11,,22.4,69,,N,6,
,2017-04-23,14.5,25.7,0,,,NW,26,08:50,18.0,88,6,NW,20,,22.7,70,,SE,13,
,2017-04-24,15.2,22.7,0,,,NE,26,18:52,20.0,86,1,NNW,6,,22.3,75,,ESE,13,
,2017-04-25,17.1,25.7,0,,,W,59,16:40,18.8,88,7,NNW,15,,22.8,80,,ENE,22,
,2017-04-26,18.1,24.9,6.6,,,WSW,76,16:05,20.8,79,,WNW,17,,23.5,38,,WNW,33,
,2017-04-27,11.2,18.1,0.6,,,SSW,39,20:15,13.1,76,,WNW,19,,17.3,58,,SSW,20,
,2017-04-28,13.0,18.6,4.4,,,SW,46,03:41,15.9,66,,SW,17,,18.1,55,,S,26,
,2017-04-29,10.9,22.9,0,,,,,,15.4,74,1,NW,19,,19.6,63,,SE,17,
,2017-04-30,13.3,21.1,1.0,,,S,31,13:46,18.4,79,4,W,11,,19.7,76,,SSE,22,
