"Daily Weather Observations for Newcastle, New South Wales for May 2017"
"Prepared at 13:01 GMT on Thursday  3 August 2017   IDCJDW2097.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,12.1,23.7,0.4,,,NW,26,07:50,13.4,100,8,NW,19,,23.4,59,,N,11,
,2017-05-2,13.4,26.0,0,,,SSE,31,18:59,16.7,81,6,NW,17,,21.7,61,,SE,20,
,2017-05-3,16.4,19.8,0.4,,,SSE,57,03:04,18.6,68,6,SSE,33,,18.7,64,,SE,31,
,2017-05-4,15.7,20.8,1.0,,,,,,18.5,67,7,SE,22,,19.4,57,,E,13,
,2017-05-5,13.0,22.9,0,,,,,,17.1,77,0,NW,9,,20.5,65,,ESE,17,
,2017-05-6,12.1,23.5,0,,,,,,15.1,85,6,,,,23.4,55,,NNW,19,
,2017-05-7,14.5,23.2,0,,,S,41,15:32,19.1,62,0,WNW,9,,19.9,41,,S,28,
,2017-05-8,13.4,19.2,0,,,,,,15.5,59,6,SSW,15,,18.6,54,,SE,17,
,2017-05-9,13.5,18.5,0,,,,,,16.2,70,3,,,,17.9,72,,S,28,
,2017-05-10,11.6,20.1,0,,,,,,16.6,76,1,,,,18.8,69,,S,26,
,2017-05-11,11.3,20.2,0,,,,,,16.6,80,0,NW,15,,18.9,71,,,,
,2017-05-12,15.2,20.0,3.4,,,,,,16.4,94,8,,,,18.6,78,,,,
,2017-05-13,14.8,21.5,0,,,,,,18.8,89,3,,,,19.8,77,,ESE,17,
,2017-05-14,17.2,20.5,0.2,,,SSE,50,15:13,17.7,89,8,NNE,9,,17.2,79,,SSE,41,
,2017-05-15,14.4,19.3,2.0,,,SW,46,10:50,16.5,79,7,SW,22,,18.9,65,,SW,17,
,2017-05-16,11.7,19.7,1.2,,,WSW,31,09:35,16.4,65,1,W,19,,18.8,60,,SSE,17,
,2017-05-17,10.0,21.1,0,,,,,,14.5,83,1,NW,13,,19.1,72,,ESE,15,
,2017-05-18,14.2,21.3,0,,,E,43,18:45,18.3,78,1,N,6,,20.9,72,,E,26,
,2017-05-19,17.4,20.4,0,,,NE,48,09:38,18.4,91,8,NE,22,,19.4,84,,NE,15,
,2017-05-20,16.8,24.1,5.6,,,NE,33,00:03,18.6,92,7,NNE,22,,22.4,72,,WSW,7,
,2017-05-21,14.2,20.6,0,,,S,30,14:38,16.4,100,7,WNW,7,,19.9,69,,SSE,20,
,2017-05-22,16.4,21.7,0,,,S,26,12:26,18.9,88,6,SSW,11,,21.0,69,,SE,19,
,2017-05-23,14.3,23.2,0,,,NW,26,09:00,15.7,100,8,NW,20,,22.5,66,,N,13,
,2017-05-24,15.1,23.5,1.6,,,WNW,44,14:31,18.0,88,2,N,9,,22.7,57,,WNW,24,
,2017-05-25,11.3,20.3,0,,,,,,15.6,67,2,WNW,13,,19.1,64,,,,
,2017-05-26,10.2,18.4,0,,,NW,28,04:05,15.9,68,2,WNW,9,,17.4,69,,S,19,
,2017-05-27,9.7,21.4,0,,,NNE,24,19:19,13.2,91,,NW,13,,20.8,66,,N,13,
,2017-05-28,11.0,22.0,0,,,NW,48,13:48,13.5,91,5,NW,15,,21.7,59,,NW,31,
,2017-05-29,11.3,19.6,0,,,W,43,10:52,14.0,64,0,WNW,28,,18.5,34,,WSW,17,
,2017-05-30,7.5,16.8,0,,,NW,44,09:59,10.6,65,1,WNW,30,,16.1,42,,NW,31,
,2017-05-31,9.3,,0,,,S,57,17:05,14.4,68,2,WSW,15,,14.6,57,,SW,26,
