"Daily Weather Observations for Newcastle, New South Wales for June 2017"
"Prepared at 16:01 GMT on Wednesday  2 August 2017   IDCJDW2097.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,10.8,16.3,2.8,,,SSW,56,13:28,13.1,62,1,WSW,19,,15.8,60,,SSW,28,
,2017-06-2,11.6,17.7,0,,,S,56,22:42,14.2,62,0,SW,17,,15.2,69,,SW,22,
,2017-06-3,13.0,17.0,4.8,,,SSE,57,00:38,14.3,78,7,SW,24,,15.6,94,,SSW,22,
,2017-06-4,13.3,17.7,17.8,,,SSW,33,12:01,13.8,90,6,WSW,15,,17.1,75,,SSW,19,
,2017-06-5,9.1,19.6,0,,,NW,20,23:21,11.1,100,5,WNW,13,,16.8,68,,SSE,6,
,2017-06-6,8.3,16.9,0.2,,,WSW,43,15:05,11.4,71,0,WNW,31,,15.9,60,,WSW,17,
,2017-06-7,10.4,17.0,11.0,,,SSW,57,11:39,11.4,100,8,WSW,22,,13.4,100,,WSW,15,
,2017-06-8,11.0,18.8,60.8,,,SE,57,12:00,16.5,95,6,S,28,,17.1,92,,SSE,31,
,2017-06-9,14.4,18.7,28.4,,,ESE,56,14:58,14.7,100,8,NW,15,,15.1,92,,ESE,44,
,2017-06-10,13.1,18.7,21.0,,,ESE,56,09:20,18.0,72,8,SE,33,,17.9,82,,SE,30,
,2017-06-11,14.1,17.8,7.0,,,S,24,12:18,14.7,100,8,WSW,7,,16.9,92,,S,19,
,2017-06-12,11.2,20.9,0.2,,,S,31,18:44,14.5,100,6,WNW,6,,18.6,76,,S,15,
,2017-06-13,14.5,19.8,4.6,,,SSE,48,01:27,18.9,65,5,SSE,33,,18.5,71,,S,30,
,2017-06-14,14.8,19.3,2.4,,,SSW,31,02:10,15.4,100,7,SW,13,,18.6,86,,SSW,7,
,2017-06-15,12.1,19.8,1.0,,,NW,26,07:45,13.5,100,8,NW,15,,19.3,74,,NNW,13,
,2017-06-16,12.1,19.1,0,,,NW,28,08:36,13.4,100,8,NW,17,,17.4,83,,SSW,15,
,2017-06-17,13.4,18.9,0,,,SSE,37,18:37,15.2,97,8,NNW,11,,17.7,89,,SSW,15,
,2017-06-18,14.3,18.8,0.8,,,S,67,13:53,15.5,90,4,SW,20,,17.8,85,,SSE,37,
,2017-06-19,14.3,18.8,8.4,,,SSE,59,02:40,15.6,86,6,SSW,24,,17.6,85,,SSW,24,
,2017-06-20,15.4,18.5,1.4,,,SSE,37,05:11,16.4,95,6,SSW,22,,17.8,83,,SSW,22,
,2017-06-21,10.5,18.5,0.2,,,SSE,43,18:43,13.8,95,0,WNW,13,,17.9,75,,SW,17,
,2017-06-22,13.1,18.0,0.2,,,SW,35,02:39,15.7,81,6,SW,11,,17.4,77,,SSW,19,
,2017-06-23,9.7,17.3,0.2,,,NW,39,14:07,11.3,,4,NW,20,,16.4,,,NW,20,
,2017-06-24,11.2,20.4,0,,,W,48,12:34,14.6,,5,NW,30,,19.6,,,WNW,22,
,2017-06-25,10.1,20.8,0,,,WNW,35,11:51,14.2,,6,WNW,11,,19.8,,,WNW,19,
,2017-06-26,9.5,18.1,0,,,SSW,26,11:30,13.7,,0,NW,13,,16.8,,,S,19,
,2017-06-27,7.4,17.9,0,,,NW,22,03:11,10.6,,4,NW,13,,16.4,,,SSE,9,
,2017-06-28,9.9,14.8,0,,,NW,31,20:46,13.1,,7,NNW,15,,13.4,,,WNW,7,
,2017-06-29,11.6,14.2,2.6,,,WNW,26,07:20,12.1,,8,WNW,15,,14.0,,,WNW,11,
,2017-06-30,8.3,15.3,1.0,,,SSW,44,12:48,11.7,,1,NW,15,,14.9,,,SW,19,
