"Daily Weather Observations for Newcastle, New South Wales for July 2017"
"Prepared at 13:01 GMT on Monday  7 August 2017   IDCJDW2097.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,8.4,15.8,0,,,W,33,06:52,11.7,,3,W,19,,14.7,,,SSW,17,
,2017-07-2,5.7,18.0,0,,,WNW,24,04:41,9.0,,0,WNW,17,,17.4,,,N,13,
,2017-07-3,6.3,18.3,0,,,NW,26,09:44,8.6,,2,NW,17,,18.1,,,NE,11,
,2017-07-4,8.4,21.7,0,,,,,,16.5,,0,NW,9,,21.3,,,WNW,35,
,2017-07-5,12.1,19.9,0,,,NW,61,13:43,14.2,,0,NW,33,,19.5,,,WNW,24,
,2017-07-6,9.9,,0,,,W,35,14:36,12.6,,0,NW,22,,,,,NW,19,
,2017-07-7,7.3,19.1,0,,,NW,35,16:13,10.0,77,0,NW,19,,18.6,46,,NW,15,
,2017-07-8,8.4,18.2,0,,,WNW,44,15:15,11.9,57,0,NW,17,,18.0,46,,WNW,30,
,2017-07-9,8.1,18.5,0,,,WNW,43,10:18,12.6,64,0,WNW,19,,17.6,44,,NW,22,
,2017-07-10,7.6,18.6,0,,,NW,28,10:39,11.6,63,1,NW,17,,15.7,45,,SSW,11,
,2017-07-11,6.2,17.1,0,,,SSE,61,18:26,10.5,69,3,WNW,17,,14.3,81,,SSE,35,
,2017-07-12,10.4,15.3,25.8,,,SSW,46,00:12,10.9,100,8,W,22,,14.2,83,,SSW,15,
,2017-07-13,8.4,17.8,12.4,,,NNE,24,19:46,11.2,100,1,WNW,11,,16.4,73,,E,7,
,2017-07-14,7.6,19.0,0.2,,,NW,35,10:38,10.2,88,0,NW,19,,17.9,67,,NNE,6,
,2017-07-15,10.1,18.6,0,,,NW,30,04:05,13.5,89,8,WNW,11,,15.9,67,,SSW,7,
,2017-07-16,11.7,17.0,0,,,SSW,31,01:54,13.0,50,4,WSW,11,,16.3,50,,S,11,
,2017-07-17,8.5,19.1,0,,,NW,31,08:54,11.5,87,3,NW,24,,18.6,60,,NNE,9,
,2017-07-18,10.3,23.7,0,,,NW,52,14:38,14.2,78,,NW,19,,23.4,40,,NW,26,
,2017-07-19,10.0,17.5,0,,,WSW,65,12:52,13.6,55,6,WNW,37,,16.1,49,,W,31,
,2017-07-20,9.6,19.3,0,,,WNW,56,13:28,12.5,64,,WNW,31,,18.8,29,,W,30,
,2017-07-21,7.9,16.6,0,,,SSW,46,13:27,11.2,59,7,W,20,,15.3,56,,SSW,22,
,2017-07-22,6.5,18.0,0,,,NW,39,13:48,10.2,70,1,NW,24,,17.7,37,,NW,22,
,2017-07-23,8.6,20.3,0,,,WNW,70,12:20,13.2,49,0,NW,31,,19.9,26,,NW,31,
,2017-07-24,11.8,21.9,0,,,NW,59,01:09,14.3,40,1,WNW,24,,19.6,45,,SSE,9,
,2017-07-25,9.0,20.2,0,,,NW,31,14:39,12.9,63,0,WNW,20,,19.0,45,,NW,20,
,2017-07-26,12.2,23.8,0,,,W,65,14:37,17.6,41,1,WNW,19,,23.2,32,,WSW,24,
,2017-07-27,9.5,18.9,0,,,WNW,24,03:40,14.0,60,1,NW,6,,17.2,60,,SSE,11,
,2017-07-28,9.4,21.6,0,,,,,,10.9,63,7,NW,15,,21.1,29,,WSW,26,
,2017-07-29,7.6,19.6,0,,,,,,11.5,55,1,,,,18.9,33,,,,
,2017-07-30,11.6,22.2,0,,,,,,14.1,44,6,,,,19.7,48,,,,
,2017-07-31,14.1,21.7,0,,,,,,19.5,71,,,,,20.4,51,,,,
