"Daily Weather Observations for Wollongong, New South Wales for September 2016"
"Prepared at 13:02 GMT on Friday 11 August 2017   IDCJDW2146.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,11.9,21.2,0.8,,,WNW,30,08:49,17.7,57,,WNW,19,1019.8,19.2,63,1,E,13,1015.1
,2016-09-2,14.2,17.0,9.2,,,N,41,23:37,14.6,94,8,S,26,1012.2,14.7,93,8,S,11,1006.0
,2016-09-3,14.1,18.7,21.6,,,WNW,83,12:03,16.0,58,8,WNW,28,996.1,18.0,48,4,W,39,1004.5
,2016-09-4,9.4,18.1,0,,,WSW,37,09:28,15.4,54,,WSW,19,1021.4,17.7,46,,ENE,9,1021.7
,2016-09-5,9.3,18.6,0,,,NNW,20,22:41,16.4,60,,NNW,7,1029.8,18.3,60,,NNE,7,1027.2
,2016-09-6,12.2,19.3,0,,,NE,31,11:42,16.1,71,,SE,6,1029.7,18.6,74,,NNE,19,1025.9
,2016-09-7,13.5,19.6,0,,,N,28,20:51,17.8,79,8,S,13,1031.8,18.7,80,,ESE,6,1029.6
,2016-09-8,16.4,20.0,0.6,,,NE,46,16:14,17.7,79,8,NE,7,1029.3,18.5,83,1,NE,35,1024.0
,2016-09-9,14.8,20.7,0,,,NE,56,13:47,19.6,59,,NNW,33,1020.8,18.2,81,,NE,39,1014.9
,2016-09-10,14.4,21.9,1.0,,,NNW,56,12:29,17.2,62,,N,24,1011.0,20.7,38,7,NW,28,1010.9
,2016-09-11,12.5,17.8,0,,,SW,33,01:02,16.0,55,,E,9,1018.5,16.7,62,,E,7,1017.2
,2016-09-12,11.6,18.9,0,,,WNW,37,05:16,16.5,50,5,WSW,17,1021.2,17.5,59,,E,13,1018.9
,2016-09-13,14.4,18.2,0,,,S,24,06:47,17.1,71,8,SSW,13,1021.7,17.4,81,7,S,15,1018.4
,2016-09-14,15.5,21.8,0.2,,,NE,30,16:55,17.3,85,7,NW,15,1014.0,20.1,81,1,NNE,15,1007.1
,2016-09-15,14.2,21.8,0,,,NW,70,07:10,17.1,34,,NW,39,1007.7,20.8,35,,WNW,13,1007.4
,2016-09-16,13.2,21.3,0,,,W,50,16:10,15.8,62,8,SW,17,1016.3,20.8,31,4,W,20,1015.4
,2016-09-17,11.4,19.1,0,,,NE,26,14:57,16.6,62,,E,9,1021.8,17.6,63,4,NE,20,1018.2
,2016-09-18,12.8,17.1,0.2,,,N,24,15:03,15.1,75,8,WNW,4,1012.1,15.3,78,8,N,15,1005.3
,2016-09-19,13.1,20.8,10.4,,,W,54,09:33,17.0,57,,W,28,1008.3,20.2,39,,W,24,1008.6
,2016-09-20,10.9,18.1,0,,,W,41,03:13,16.2,44,,W,13,1018.5,16.9,52,4,ENE,11,1015.9
,2016-09-21,14.1,18.7,0,,,N,26,06:45,17.3,69,8,N,17,1012.0,16.4,78,8,N,7,1006.9
,2016-09-22,13.1,18.5,0.8,,,SW,54,23:52,17.9,57,8,WSW,17,1006.6,16.1,73,8,WSW,19,1005.6
,2016-09-23,15.5,19.7,0,,,SSW,69,09:43,17.6,61,1,SW,33,1011.8,18.9,55,,SSW,39,1010.8
,2016-09-24,12.4,19.8,0,,,SW,20,00:15,18.0,66,,SSE,9,1012.4,19.4,74,3,NE,9,1007.9
,2016-09-25,15.4,20.3,0,,,S,44,16:40,18.6,60,8,NW,7,1005.6,16.5,71,8,WSW,7,1006.7
,2016-09-26,10.4,17.5,2.6,,,WNW,41,21:03,15.5,52,,SW,19,1012.9,16.9,54,,ESE,9,1009.6
,2016-09-27,11.2,21.0,0,,,WSW,63,14:24,16.4,54,,N,24,1008.5,18.9,27,,WSW,30,1007.5
,2016-09-28,10.6,18.3,0,,,NNW,31,23:16,16.4,47,,SSW,19,1014.5,18.0,56,,ENE,13,1011.2
,2016-09-29,14.5,20.6,0,,,NW,65,23:42,14.6,78,8,N,30,1000.7,19.4,72,3,N,19,993.5
,2016-09-30,12.7,18.9,0,,,NNW,67,12:41,14.8,52,7,NNW,22,997.6,17.3,45,6,NW,30,996.3
