"Daily Weather Observations for Wollongong, New South Wales for October 2016"
"Prepared at 13:01 GMT on Thursday 10 August 2017   IDCJDW2146.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,11.3,21.4,0,,,WNW,85,10:42,18.3,50,,WNW,52,1003.8,20.7,37,3,W,26,1004.9
,2016-10-2,11.0,23.7,0,,,NE,46,15:42,17.6,52,,NNE,7,1012.2,20.4,66,,NE,33,1007.4
,2016-10-3,17.4,24.4,0,,,WNW,109,21:50,20.8,56,7,NNE,28,998.0,22.8,19,,WNW,30,998.6
,2016-10-4,13.3,22.6,0,,,WSW,93,19:26,16.4,39,2,N,6,1006.6,22.0,29,,WNW,28,1002.4
,2016-10-5,10.9,21.3,0.2,,,WNW,87,23:09,13.9,40,,W,17,1014.6,21.1,22,,W,19,1012.4
,2016-10-6,13.9,26.7,0,,,SW,46,23:16,19.9,39,,WSW,20,1018.0,22.6,50,,E,15,1016.2
,2016-10-7,19.7,29.4,0,,,WNW,50,05:25,23.2,42,,W,15,1019.3,29.2,23,,WSW,20,1014.2
,2016-10-8,17.5,18.3,0,,,S,56,14:15,18.1,77,8,S,37,1017.6,15.2,78,8,S,44,1019.4
,2016-10-9,11.7,19.8,0,,,NE,59,15:37,16.5,51,,N,6,1022.5,18.4,63,7,NE,44,1017.2
,2016-10-10,16.5,28.1,0,,,WSW,61,16:51,19.6,62,7,NNE,20,1006.6,27.9,34,3,W,31,1006.0
,2016-10-11,11.8,19.7,0,,,WSW,63,00:11,14.7,32,,WSW,22,1013.4,19.0,27,4,SW,17,1013.1
,2016-10-12,9.6,18.9,0,,,WSW,37,16:40,15.6,45,,WSW,13,1016.1,17.6,42,7,NE,11,1012.9
,2016-10-13,10.2,15.8,3.4,,,S,65,23:39,13.3,63,,SW,33,1022.4,15.3,57,,S,43,1023.1
,2016-10-14,10.6,19.8,0,,,S,24,07:52,14.9,53,,SSW,20,1026.2,18.0,50,,E,9,1023.2
,2016-10-15,11.7,23.5,0,,,NE,52,15:15,19.6,42,,SW,7,1022.0,20.5,66,,NE,39,1016.1
,2016-10-16,14.8,25.7,0,,,NE,61,13:24,19.6,52,,NE,30,1013.4,21.5,65,,NE,43,1006.8
,2016-10-17,18.1,20.6,0,,,SSW,63,17:43,18.5,48,8,WNW,33,1005.8,15.8,60,7,WNW,19,1007.1
,2016-10-18,10.5,25.2,0.4,,,NW,50,03:47,17.6,49,,E,11,1013.4,24.8,25,4,NW,28,1010.7
,2016-10-19,13.9,22.0,0,,,WSW,43,12:13,16.9,34,,W,24,1017.7,17.8,63,,SE,28,1018.6
,2016-10-20,12.8,20.3,0,,,NE,50,13:23,16.5,64,1,SSE,9,1024.7,19.3,62,2,NE,41,1020.7
,2016-10-21,15.7,21.3,0,,,SSW,41,21:40,18.5,71,,NNE,17,1018.5,19.0,79,8,NE,26,1012.4
,2016-10-22,14.5,17.7,0.4,,,S,59,14:55,14.6,89,8,SSW,30,1010.4,14.0,83,8,S,39,1010.8
,2016-10-23,10.4,16.3,0,,,SSW,65,07:33,14.4,47,2,SW,35,1018.7,15.0,62,1,S,43,1018.0
,2016-10-24,8.7,18.4,0,,,SW,37,23:31,14.3,45,,SSW,20,1019.7,17.1,51,,SSE,22,1016.2
,2016-10-25,11.5,23.0,0,,,NE,50,13:40,18.4,49,,NW,9,1018.0,20.6,61,,NE,43,1013.6
,2016-10-26,16.1,24.8,0,,,WSW,33,06:04,21.3,47,8,NNE,9,1015.6,23.3,54,2,N,11,1012.9
,2016-10-27,17.1,19.8,0,,,SSW,44,04:04,18.6,77,5,S,30,1016.4,17.0,75,8,S,30,1016.9
,2016-10-28,13.3,18.4,0,,,S,30,05:02,13.8,92,8,SW,17,1021.0,16.3,87,7,SSW,15,1018.9
,2016-10-29,13.8,21.8,1.8,,,NE,39,16:09,17.9,88,8,SSW,15,1020.0,21.7,81,8,NE,22,1017.3
,2016-10-30,17.9,26.2,0,,,N,59,16:41,20.0,83,4,NE,22,1012.4,25.1,55,8,N,35,1004.8
,2016-10-31,14.1,22.3,0,,,SW,65,08:44,16.4,26,,SW,22,1011.9,21.6,19,,WNW,20,1010.7
