"Daily Weather Observations for Wollongong, New South Wales for November 2016"
"Prepared at 13:01 GMT on Wednesday  9 August 2017   IDCJDW2146.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,12.1,21.0,0,,,W,33,07:41,17.4,29,,W,20,1014.1,20.1,40,,E,15,1009.7
,2016-11-2,12.5,22.2,0,,,WSW,37,07:57,20.0,30,,WSW,22,1014.2,21.1,43,,ENE,19,1013.0
,2016-11-3,13.4,24.0,0.4,,,ENE,43,11:47,20.7,40,,NW,17,1018.3,21.7,70,,ENE,20,1015.3
,2016-11-4,14.5,30.5,0,,,WNW,52,11:55,22.0,47,,ENE,11,1013.8,29.5,16,,E,7,1008.8
,2016-11-5,17.3,23.9,0,,,W,72,21:14,21.3,17,,WSW,35,1004.1,23.1,21,,WNW,30,1005.8
,2016-11-6,14.2,22.7,0,,,W,52,00:58,18.7,28,,WSW,24,1008.5,20.4,43,,E,15,1007.8
,2016-11-7,14.1,27.6,0,,,NE,56,15:15,22.7,35,,N,13,1009.6,21.9,65,,NE,39,1005.3
,2016-11-8,18.1,20.2,0,,,SSW,41,05:59,18.5,80,7,SSE,9,1007.7,20.2,79,8,SSW,19,1008.2
,2016-11-9,16.2,19.4,2.6,,,SSW,37,02:03,17.6,87,8,SSW,17,1013.5,17.3,86,8,S,24,1010.3
,2016-11-10,16.1,22.4,6.0,,,SSE,17,03:00,18.9,85,1,SSE,6,1009.5,22.2,74,,NE,13,1007.3
,2016-11-11,15.5,22.2,0,,,S,33,00:09,19.0,74,6,S,20,1013.1,21.0,64,6,ENE,17,1010.2
,2016-11-12,18.6,26.3,11.0,,,NNE,31,04:51,20.3,84,7,N,17,1001.0,24.2,78,1,NNE,11,996.9
,2016-11-13,15.4,28.3,0,,,NW,91,13:48,24.0,33,,WNW,19,998.2,26.8,17,,WNW,43,995.4
,2016-11-14,17.0,23.0,0,,,S,56,14:00,20.7,37,4,SW,24,1002.0,17.9,71,,S,30,1005.9
,2016-11-15,13.4,20.5,4.2,,,SSW,37,23:19,15.9,62,6,SSW,28,1016.6,19.5,53,2,SE,15,1015.2
,2016-11-16,14.0,21.5,0,,,SSE,33,14:36,20.3,64,,SSE,13,1020.0,19.3,70,8,SSE,24,1021.3
,2016-11-17,15.0,26.5,0,,,NE,50,16:45,19.2,66,,E,9,1025.5,21.3,66,,NE,26,1021.3
,2016-11-18,18.3,29.9,0,,,S,39,21:55,26.1,43,,ESE,4,1016.0,23.5,73,,NNE,13,1013.4
,2016-11-19,18.1,20.5,0,,,S,43,03:49,19.7,80,8,S,28,1018.5,19.5,74,8,SSE,15,1019.0
,2016-11-20,18.1,23.6,0,,,NE,31,17:31,19.7,75,8,NNE,9,1021.2,22.0,69,,NE,20,1018.5
,2016-11-21,18.0,24.8,0,,,N,31,21:11,21.9,82,8,NE,15,1018.0,23.0,80,,N,15,1014.4
,2016-11-22,21.0,25.2,0,,,SSW,46,19:04,23.8,71,3,ENE,17,1014.0,22.4,76,8,NNE,24,1011.8
,2016-11-23,19.9,24.0,0,,,S,65,13:32,22.1,72,,E,11,1009.9,19.4,87,8,S,46,1008.6
,2016-11-24,12.4,20.6,3.4,,,SSW,50,09:19,18.4,43,,SSW,30,1013.0,20.3,54,,SSE,22,1011.5
,2016-11-25,14.8,22.1,0,,,WNW,37,05:35,20.1,37,,SW,11,1012.7,21.1,59,4,SE,22,1013.1
,2016-11-26,15.7,23.2,0,,,NE,41,13:04,20.7,62,7,NE,17,1017.3,22.9,65,,NE,26,1014.4
,2016-11-27,18.1,23.4,0.2,,,ESE,33,16:04,19.4,78,8,ESE,22,1018.4,20.8,71,8,E,22,1017.5
,2016-11-28,18.9,24.9,0.8,,,ENE,33,09:58,23.0,71,4,NNE,13,1014.7,23.9,76,,NNE,24,1011.0
,2016-11-29,17.7,21.9,0,,,SSE,37,09:31,20.5,75,,S,26,1012.1,19.8,76,8,SSE,24,1011.4
,2016-11-30,17.4,,0,,,,,,21.3,69,7,ESE,9,1012.2,23.5,70,,NNE,26,1009.5
