"Daily Weather Observations for Wollongong, New South Wales for December 2016"
"Prepared at 13:01 GMT on Tuesday  8 August 2017   IDCJDW2146.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,18.4,25.0,,,,NW,37,01:55,22.7,68,1,ENE,13,1007.3,22.7,73,8,N,17,1005.3
,2016-12-2,17.6,26.4,0,,,SSW,50,19:00,22.3,79,8,E,7,1007.8,25.0,73,4,NNE,9,1007.3
,2016-12-3,19.8,24.6,0,,,SSW,44,23:08,20.5,76,8,S,13,1016.6,23.1,60,8,E,15,1015.1
,2016-12-4,18.5,26.0,0,,,NE,37,18:35,23.2,70,1,ENE,11,1015.6,24.6,69,,NNE,15,1013.1
,2016-12-5,21.5,26.6,2.2,,,S,65,20:13,23.4,85,, ,Calm,1008.8,25.2,78,8,N,13,1006.3
,2016-12-6,19.2,24.2,0,,,SW,41,15:22,20.7,85,8,SE,7,1012.3,21.1,88,8,NNE,6,1010.3
,2016-12-7,18.9,23.7,8.4,,,NNE,35,20:40,20.5,80,4,S,19,1015.8,23.1,66,,ENE,17,1014.3
,2016-12-8,19.8,26.7,0,,,NE,61,15:55,22.6,73,,NE,24,1007.5,23.6,80,8,NE,43,999.9
,2016-12-9,16.8,25.9,0,,,W,59,06:44,20.8,35,,W,30,1007.1,21.6,60,,SE,22,1010.1
,2016-12-10,15.1,23.4,0,,,NE,35,17:41,20.0,60,2,SE,9,1022.6,21.4,58,8,ENE,20,1020.7
,2016-12-11,18.4,24.2,0,,,SSE,33,16:28,21.5,69,,SSE,11,1022.2,22.3,71,8,SSE,20,1021.4
,2016-12-12,18.9,30.6,3.2,,,NE,44,16:43,22.9,70,4,NE,20,1022.5,24.0,70,,NE,28,1018.4
,2016-12-13,19.9,38.0,0,,,NW,46,08:56,30.1,30,,NW,22,1013.7,24.7,71,4,NE,24,1009.7
,2016-12-14,22.0,34.6,0,,,NW,76,10:00,32.9,22,,NW,44,1005.7,31.7,24,8,WNW,17,1007.8
,2016-12-15,16.1,18.3,10.0,,,SSE,41,00:40,16.6,93,8,SSE,31,1018.2,16.9,86,8,SSE,22,1018.1
,2016-12-16,15.9,24.9,13.8,,,SE,35,03:27,17.6,93,8,SSE,20,1014.3,18.3,93,8,S,9,1009.3
,2016-12-17,17.3,33.6,8.0,,,SSW,78,20:03,24.6,64,,N,9,1006.3,31.1,29,2,NW,20,1004.1
,2016-12-18,17.1,20.3,0,,,S,54,23:07,17.7,64,8,S,22,1019.7,17.7,60,8,S,24,1020.9
,2016-12-19,15.1,22.6,0,,,NE,48,16:56,20.3,59,8,NE,20,1021.1,21.2,57,,NE,35,1016.8
,2016-12-20,16.6,26.8,0,,,NE,52,12:16,21.2,67,,NE,24,1009.8,23.3,72,,NE,39,1004.6
,2016-12-21,17.2,24.0,0.8,,,S,52,23:19,21.2,72,,SE,17,1012.1,23.3,64,8,SE,22,1013.2
,2016-12-22,17.5,23.1,0.2,,,E,24,23:29,19.4,78,8,SW,2,1019.8,21.2,72,8,ESE,15,1018.8
,2016-12-23,19.3,23.7,0,,,NE,56,14:38,23.0,66,6,NNE,13,1018.9,22.8,68,,NE,44,1015.8
,2016-12-24,19.0,25.1,0,,,WNW,48,20:18,22.3,80,,SE,7,1015.9,21.7,83,4,N,13,1014.4
,2016-12-25,18.7,25.2,0,,,ENE,35,12:40,22.1,78,,ESE,9,1016.9,24.6,73,,NE,28,1015.4
,2016-12-26,20.5,24.7,0,,,NE,50,14:06,22.5,78,,ENE,19,1013.9,23.0,76,8,NE,33,1011.4
,2016-12-27,19.3,25.3,0.6,,,NNE,24,01:56,22.8,79,1,NNE,6,1014.7,24.9,75,,S,9,1013.8
,2016-12-28,19.1,28.1,0,,,NE,54,15:02,22.3,82,,NE,19,1012.8,22.9,75,1,NNE,20,1009.3
,2016-12-29,19.2,33.3,0,,,NW,22,08:42,27.3,46,8,ESE,11,1006.1,25.5,59,8,N,9,1004.9
,2016-12-30,20.2,31.7,0,,,SSW,48,21:20,23.8,65,7, ,Calm,1003.4,30.7,39,8,NW,22,1000.1
,2016-12-31,19.6,23.1,0.4,,,S,43,08:33,21.2,88,8,S,30,1004.1,22.5,80,8,SSW,17,1004.1
