"Daily Weather Observations for Wollongong, New South Wales for January 2017"
"Prepared at 16:02 GMT on Monday  7 August 2017   IDCJDW2146.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,20.8,24.1,0.2,,,NE,31,17:44,22.0,86,8,N,4,1007.4,21.3,86,7,N,11,1005.8
,2017-01-2,20.2,22.7,0.8,,,SSW,54,01:46,20.6,78,7,SSW,31,1010.6,20.9,78,8,S,15,1012.1
,2017-01-3,17.6,22.5,5.0,,,S,46,10:19,21.1,70,,SSW,28,1019.0,21.7,76,8,S,33,1019.1
,2017-01-4,18.3,25.0,3.6,,,SE,30,23:03,21.6,65,1,SE,19,1022.1,23.4,57,,ESE,15,1020.7
,2017-01-5,18.8,23.2,1.6,,,NNE,33,13:12,20.0,91,7,SSW,7,1019.6,21.0,91,8,NNE,15,1017.6
,2017-01-6,18.9,26.1,11.8,,,ENE,26,05:49,20.0,93,5,N,17,1018.8,24.6,76,8,ESE,7,1018.1
,2017-01-7,18.6,25.9,0.6,,,NE,44,15:58,22.1,80,7,NE,13,1018.4,24.4,72,,NE,30,1014.7
,2017-01-8,20.3,25.4,0,,,NE,46,14:31,23.3,69,,NNE,15,1012.7,24.9,69,1,NNE,26,1009.3
,2017-01-9,20.9,26.1,0,,,SSW,57,18:39,23.3,83,6,SSW,7,1011.8,24.7,74,5,E,9,1009.7
,2017-01-10,21.8,28.9,1.2,,,N,35,05:04,24.2,76,7,N,17,1010.9,25.7,74,4,SE,11,1008.8
,2017-01-11,21.2,29.3,0.2,,,SSW,63,15:27,25.1,83,4,ENE,13,1007.1,27.4,65,2,N,11,1003.7
,2017-01-12,20.9,26.3,0,,,SSW,33,23:07,22.7,79,8,SSW,7,1012.7,25.6,70,,ESE,13,1011.1
,2017-01-13,21.9,31.5,0,,,NE,50,12:19,23.5,76,8,NNE,22,1008.1,25.5,76,,NE,33,1000.8
,2017-01-14,23.4,30.0,0.2,,,WNW,52,03:41,28.5,45,8,WSW,20,1003.7,25.4,72,1,SSE,9,1003.9
,2017-01-15,20.5,23.8,0,,,SE,37,10:07,23.2,73,8,S,17,1015.7,22.0,74,8,SSE,20,1016.7
,2017-01-16,19.9,26.9,2.6,,,NE,54,15:57,23.7,69,1,NNW,24,1016.6,24.4,72,,NE,41,1013.4
,2017-01-17,19.9,34.9,0,,,ENE,37,11:44,24.7,72,,NE,19,1012.5,25.6,73,5,NE,20,1007.4
,2017-01-18,23.2,27.1,0,,,SSE,65,07:17,24.9,72,,SSW,31,1005.3,25.6,70,1,S,24,1007.7
,2017-01-19,19.0,23.3,0,,,S,39,23:34,20.1,68,8,SSE,19,1015.9,22.2,60,8,NNE,17,1013.6
,2017-01-20,20.1,27.8,0,,,SSW,72,19:15,21.9,73,8,NNE,28,999.7,25.7,74,,NNE,17,993.3
,2017-01-21,19.7,23.4,3.8,,,SSW,56,00:22,21.3,53,8,S,26,1010.8,22.4,58,,SSE,24,1012.6
,2017-01-22,18.0,25.5,0,,,NE,31,14:31,21.8,64,,SE,9,1017.9,24.9,60,,NE,24,1015.6
,2017-01-23,21.3,33.6,0,,,NE,50,15:44,23.9,74,,NE,19,1014.1,25.0,71,,NNE,20,1009.3
,2017-01-24,23.5,35.6,0,,,S,74,14:40,33.6,37,8,WNW,22,1006.0,34.2,42,8,WSW,20,1007.8
,2017-01-25,20.0,24.8,4.2,,,S,35,02:27,21.0,72,7,SSW,17,1021.3,23.0,61,8,ESE,11,1018.1
,2017-01-26,19.6,22.4,0,,,SSW,35,08:18,20.9,84,8,S,26,1016.4,21.6,75,8,S,20,1015.5
,2017-01-27,19.9,25.1,0,,,SSW,31,23:46,21.5,73,8,S,15,1019.0,23.2,66,8,NE,7,1016.9
,2017-01-28,21.3,26.9,0,,,NNW,37,00:35,25.0,70,4,NE,20,1015.5,25.1,77,2,NNE,19,1011.7
,2017-01-29,21.3,27.6,0,,,SSE,30,12:56,23.1,77,2,SSE,15,1016.7,23.6,79,8,S,22,1015.4
,2017-01-30,22.1,31.2,0,,,NE,50,12:47,27.5,71,,N,15,1010.9,25.8,76,3,N,20,1006.3
,2017-01-31,22.5,26.6,0.2,,,SSW,50,10:16,24.6,77,7,E,7,1007.4,22.7,81,8,S,33,1011.1
