"Daily Weather Observations for Wollongong, New South Wales for March 2017"
"Prepared at 13:02 GMT on Saturday  5 August 2017   IDCJDW2146.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,21.5,26.5,0,,,ESE,46,15:32,24.8,80,5,SE,9,1021.7,25.7,71,,SSE,20,1019.8
,2017-03-2,20.2,25.6,30.6,,,SSW,22,07:36,21.4,92,6,SW,15,1018.3,24.0,75,7,NE,13,1016.6
,2017-03-3,19.9,23.9,49.0,,,SE,50,18:17,22.6,91,8,SE,20,1017.7,21.4,92,8,E,24,1017.4
,2017-03-4,19.0,22.2,30.0,,,ESE,67,03:29,20.3,90,8,SW,19,1016.6,21.4,89,8,S,30,1014.4
,2017-03-5,18.6,23.4,24.6,,,SSW,59,19:15,19.3,90,8,SW,17,1010.7,22.3,74,8,SSW,39,1010.1
,2017-03-6,19.3,23.6,1.2,,,SSW,72,13:31,21.0,64,,SSW,41,1013.3,22.3,65,5,S,52,1014.1
,2017-03-7,17.5,22.0,7.8,,,SSW,63,19:27,20.0,71,6,SSW,30,1018.4,21.1,74,5,S,46,1018.2
,2017-03-8,15.9,21.3,6.8,,,SE,54,02:49,19.6,76,8,SSE,24,1019.5,20.5,59,7,SSE,24,1018.6
,2017-03-9,17.1,22.4,2.6,,,S,43,18:16,19.2,70,8,SW,17,1017.9,22.2,59,7,S,28,1016.6
,2017-03-10,17.5,23.0,0,,,S,46,13:23,19.3,72,4,SW,17,1015.7,22.5,67,,S,37,1014.3
,2017-03-11,16.8,23.6,0,,,SSW,26,08:09,20.8,69,,SW,17,1014.6,23.2,62,,ESE,15,1012.2
,2017-03-12,17.3,24.5,0,,,NE,50,15:42,21.0,70,2,NNW,22,1010.3,23.9,69,2,NE,35,1007.1
,2017-03-13,19.7,26.4,0,,,ENE,44,15:11,21.5,79,4,SW,9,1011.5,25.8,75,2,ENE,9,1012.8
,2017-03-14,21.5,24.5,0,,,E,44,00:54,24.1,80,8,ESE,15,1020.3,23.8,81,8,E,24,1020.4
,2017-03-15,20.4,25.1,19.6,,,ENE,54,00:32,22.5,85,8,E,30,1021.7,24.1,77,8,ENE,26,1019.4
,2017-03-16,21.3,22.9,12.2,,,ESE,63,13:47,21.8,93,8,NNE,24,1013.9,22.2,96,8,ESE,39,1010.9
,2017-03-17,19.1,22.2,75.2,,,S,81,20:47,19.8,81,8,SSW,35,1019.9,19.4,81,8,SW,35,1022.2
,2017-03-18,18.2,23.8,18.8,,,S,70,23:18,22.1,84,8,SE,35,1025.0,23.0,84,8,SE,26,1023.9
,2017-03-19,20.8,25.0,13.0,,,ESE,46,01:38,22.6,93,8,ENE,28,1021.2,24.6,87,8,ENE,30,1018.6
,2017-03-20,22.2,24.7,1.6,,,NE,37,18:00,22.9,93,1,N,11,1018.3,23.5,89,8,NE,28,1015.4
,2017-03-21,22.2,24.7,0,,,NW,37,22:10,22.9,93,, ,Calm,1015.7,23.0,91,7,N,11,1012.7
,2017-03-22,22.5,27.7,7.4,,,W,67,15:31,24.0,82,7,NNW,2,1012.2,26.6,72,,E,4,1011.0
,2017-03-23,19.6,23.0,17.2,,,SSW,52,00:23,20.7,79,8,SSW,28,1018.8,19.7,92,8,SW,13,1018.1
,2017-03-24,17.7,23.0,8.8,,,S,43,11:02,19.9,85,7,SW,17,1020.3,22.0,75,8,S,20,1019.6
,2017-03-25,17.9,23.9,0.4,,,NE,24,11:45,20.4,74,5,NNW,13,1017.6,20.6,84,8,NNE,13,1014.9
,2017-03-26,17.4,26.2,4.2,,,N,24,22:55,20.9,83,, ,Calm,1015.7,25.3,74,,NE,15,1014.7
,2017-03-27,20.9,25.9,0,,,NE,48,13:40,22.4,73,,NNW,22,1016.4,24.2,78,,NE,41,1010.9
,2017-03-28,19.9,22.3,0,,,SSW,61,03:40,20.5,77,8,SSW,22,1014.4,21.9,77,8,S,15,1012.6
,2017-03-29,20.4,26.6,0,,,NNE,24,14:22,22.1,89,8, ,Calm,1012.0,25.9,82,,NNE,15,1006.9
,2017-03-30,22.1,24.3,0.6,,,SW,65,19:51,24.3,91,8,SW,24,1008.4,17.6,86,8,SSW,41,1009.6
,2017-03-31,14.1,20.4,37.0,,,SSW,57,00:12,16.4,59,,SW,28,1017.0,20.0,64,,S,39,1016.2
