"Daily Weather Observations for Wollongong, New South Wales for April 2017"
"Prepared at 13:01 GMT on Friday  4 August 2017   IDCJDW2146.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,14.0,23.1,0,,,S,44,20:36,18.7,70,,NW,9,1018.1,22.5,57,1,E,11,1016.9
,2017-04-2,14.8,20.3,14.6,,,SSW,59,11:16,16.4,80,8,SW,24,1026.1,20.1,62,1,SSW,37,1025.8
,2017-04-3,13.4,20.0,18.6,,,S,65,14:51,15.6,87,8,SW,20,1029.3,16.8,85,8,S,56,1028.4
,2017-04-4,14.3,20.4,10.4,,,SE,48,20:51,18.0,76,3,SW,20,1029.0,19.8,62,8,SSE,28,1027.4
,2017-04-5,15.6,21.5,14.6,,,SE,50,04:45,17.8,78,,WSW,9,1026.7,20.5,55,8,SE,17,1023.9
,2017-04-6,13.1,22.9,0,,,E,22,13:14,19.7,59,3,SSW,13,1026.1,21.8,52,,ENE,13,1024.1
,2017-04-7,14.4,23.1,0,,,NE,24,18:04,20.2,60,1,SSE,4,1028.4,22.2,42,,NE,13,1025.9
,2017-04-8,16.4,24.5,0,,,NE,43,15:30,21.5,59,,NW,15,1025.4,21.8,66,1,NE,33,1020.7
,2017-04-9,16.4,25.7,0,,,W,87,17:33,21.9,62,,NNE,11,1014.5,24.6,64,8,NE,13,1006.1
,2017-04-10,11.4,19.5,11.8,,,NW,70,09:50,14.3,56,1,NW,46,1007.5,17.5,50,1,WSW,24,1007.9
,2017-04-11,14.3,22.1,0,,,S,61,16:05,19.4,54,6,SSW,37,1017.3,21.3,59,8,SSW,44,1018.3
,2017-04-12,16.1,20.7,0,,,SSW,54,15:10,19.1,68,8,SSW,28,1024.2,17.8,87,8,S,41,1023.0
,2017-04-13,15.3,21.2,0.8,,,SSW,39,10:19,18.6,70,,SW,19,1024.0,20.4,58,,S,26,1020.9
,2017-04-14,14.3,22.0,0,,,SSE,30,13:23,19.7,63,1,SE,6,1021.8,21.1,59,,SSE,20,1019.1
,2017-04-15,14.7,21.8,0,,,SSW,24,08:53,18.9,73,,S,19,1021.2,21.1,64,,ESE,11,1018.8
,2017-04-16,16.6,24.7,0,,,S,48,15:04,20.2,67,7,NW,24,1019.6,21.0,50,,S,37,1017.9
,2017-04-17,15.9,22.6,0,,,SE,15,10:24,20.2,63,,S,7,1024.2,22.3,62,,E,9,1022.3
,2017-04-18,15.5,23.5,0,,,ESE,24,21:29,21.4,66,, ,Calm,1027.0,22.2,65,,E,15,1025.6
,2017-04-19,16.5,22.3,0,,,E,30,17:22,20.0,65,8,SW,11,1031.2,21.0,68,8,SSE,17,1029.1
,2017-04-20,17.0,23.1,5.2,,,NE,33,12:59,20.5,82,,SSE,6,1030.2,22.2,66,1,NE,26,1027.2
,2017-04-21,16.0,23.8,0,,,ENE,26,13:17,21.3,60,3,N,17,1028.1,21.3,72,7,NE,17,1024.7
,2017-04-22,17.8,23.3,0,,,N,31,01:44,19.6,78,7,N,9,1025.7,20.8,77,8,N,15,1022.6
,2017-04-23,15.5,22.5,0,,,SSE,17,10:47,19.9,77,,SSW,9,1023.9,21.7,71,,SSE,9,1021.3
,2017-04-24,15.3,22.9,0,,,N,31,22:07,20.5,74,,E,7,1022.4,21.7,73,,N,9,1018.2
,2017-04-25,19.4,24.1,0,,,NNW,44,11:47,20.1,73,8,NE,24,1012.9,21.8,69,8,NNW,26,1007.3
,2017-04-26,15.8,24.0,0.2,,,W,72,14:18,19.8,54,,SSE,9,1006.0,16.4,52,8,W,30,1003.6
,2017-04-27,10.1,18.2,0,,,SSW,50,11:01,14.6,46,,SW,17,1015.7,17.1,58,6,SSW,31,1015.6
,2017-04-28,12.0,18.9,0,,,SW,35,00:01,15.6,49,,SW,19,1022.9,18.4,53,,SSE,17,1020.5
,2017-04-29,11.3,20.5,0,,,S,24,15:01,17.3,55,, ,Calm,1020.6,19.7,57,,S,19,1018.6
,2017-04-30,14.7,20.6,0,,,SW,26,06:32,19.0,63,,SW,17,1023.2,19.4,64,,SE,13,1020.8
