"Daily Weather Observations for Wollongong, New South Wales for May 2017"
"Prepared at 13:02 GMT on Thursday  3 August 2017   IDCJDW2146.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,14.8,23.2,0,,,NNW,41,09:19,19.2,64,,NNW,31,1018.6,21.6,74,,NE,28,1014.0
,2017-05-2,15.6,21.9,0,,,S,50,21:40,17.6,56,7,NW,9,1016.8,21.4,43,6,W,17,1016.0
,2017-05-3,13.6,17.6,0,,,SSW,52,04:50,15.1,60,,SSW,26,1027.8,17.0,63,,SSW,30,1027.6
,2017-05-4,12.0,19.0,8.0,,,SSW,26,02:09,15.5,76,8,WSW,9,1032.0,18.1,64,5,SSE,6,1029.6
,2017-05-5,13.6,20.9,0,,,N,33,22:56,18.8,67,, ,Calm,1031.0,19.7,63,,NE,26,1027.3
,2017-05-6,14.6,24.1,0,,,N,39,01:26,18.0,65,7,NW,24,1024.8,23.1,49,,N,15,1020.2
,2017-05-7,14.4,19.8,0,,,NW,41,07:23,16.2,40,,W,17,1023.4,18.5,40,,SSE,17,1023.4
,2017-05-8,8.4,17.4,0,,,S,41,14:57,15.0,43,2,SW,19,1028.2,16.6,52,,S,31,1025.8
,2017-05-9,12.8,18.0,0,,,S,37,16:20,16.1,48,,SW,17,1026.9,17.7,53,,S,28,1024.2
,2017-05-10,12.2,19.3,0,,,SSE,31,11:56,17.1,62,,SW,19,1025.1,18.2,61,,SSE,17,1021.9
,2017-05-11,12.3,19.1,0,,,SSE,33,13:52,17.1,65,,SSW,13,1024.7,18.3,58,1,S,24,1023.0
,2017-05-12,13.6,19.7,0,,,N,26,22:34,17.1,66,2,SW,15,1027.2,18.4,70,7,SSE,9,1024.6
,2017-05-13,14.2,21.0,0,,,ENE,31,13:10,18.2,70,,N,7,1024.6,19.0,75,3,NE,26,1021.7
,2017-05-14,14.4,19.3,0,,,SSW,33,06:18,16.8,82,8,SW,13,1022.9,18.6,74,,S,22,1019.9
,2017-05-15,14.0,19.4,3.4,,,SSW,44,09:33,15.7,76,7,SSW,26,1017.6,18.7,55,1,SSW,24,1014.6
,2017-05-16,13.1,18.9,0,,,SSW,41,10:33,16.2,54,,SW,15,1017.9,18.0,55,,S,24,1016.4
,2017-05-17,10.5,19.8,0,,,ENE,26,14:09,17.2,63,,NW,9,1023.2,18.8,60,,ENE,20,1021.2
,2017-05-18,13.3,20.8,0,,,ENE,31,16:07,17.4,76,,S,9,1027.0,20.2,69,4,NNE,6,1025.0
,2017-05-19,17.3,20.1,0,,,NE,52,22:05,19.0,83,8,NE,22,1025.4,19.0,87,8,NE,30,1020.9
,2017-05-20,16.9,20.7,15.2,,,N,39,03:57,17.9,84,8,NNW,11,1017.7,19.6,75,3,S,9,1015.5
,2017-05-21,14.5,20.1,0,,,WSW,28,02:56,17.8,59,,WSW,7,1020.8,19.1,70,6,SSE,15,1019.6
,2017-05-22,13.1,19.8,0,,,ENE,20,15:53,17.6,84,3,SW,6,1024.7,18.6,75,8,ENE,15,1021.9
,2017-05-23,15.6,22.9,0,,,NNW,31,10:09,18.8,74,,NW,20,1021.7,20.4,78,,NE,26,1016.5
,2017-05-24,14.9,21.5,3.4,,,W,52,18:59,16.4,77,8,W,4,1014.3,20.4,34,,WSW,24,1012.9
,2017-05-25,11.4,18.8,0,,,WSW,30,00:41,16.7,60,,NW,9,1021.2,18.4,46,,ENE,7,1018.6
,2017-05-26,11.1,18.9,0,,,S,30,16:01,14.3,68,6, ,Calm,1021.2,18.2,65,,S,20,1020.0
,2017-05-27,12.7,19.7,0,,,N,28,22:55,16.9,82,,SW,9,1021.9,19.0,70,,NNE,7,1017.4
,2017-05-28,12.7,22.1,0,,,WNW,46,17:43,17.6,64,,NNE,11,1012.4,21.4,41,2,NNW,17,1008.3
,2017-05-29,11.6,16.9,0.2,,,WNW,65,06:55,12.3,46,,WSW,20,1017.2,16.4,33,,WSW,17,1018.4
,2017-05-30,8.4,17.9,,,,W,39,16:16,11.8,53,,W,20,1021.7,17.3,42,,SW,19,1019.6
,2017-05-31,10.0,14.9,,,,SSW,56,12:55,11.5,58,6,SW,24,1026.6,14.3,46,1,SW,33,1027.0
