"Daily Weather Observations for Wollongong, New South Wales for June 2017"
"Prepared at 16:02 GMT on Wednesday  2 August 2017   IDCJDW2146.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,10.3,16.4,,,,S,43,14:28,12.9,49,,SW,26,1032.9,15.7,50,,S,31,1031.7
,2017-06-2,11.2,17.1,,,,SW,46,10:13,14.3,52,8,SW,20,1032.7,16.1,53,7,S,30,1031.0
,2017-06-3,12.4,17.1,,,,SSW,39,12:32,15.1,62,,SW,22,1031.5,16.2,66,8,SSW,30,1029.2
,2017-06-4,12.9,17.6,,,,S,28,09:26,15.9,69,4,SSW,15,1028.2,16.5,67,6,SSE,13,1024.6
,2017-06-5,9.5,17.5,,,,NW,44,22:10,14.2,72,,W,2,1024.7,17.2,57,,ENE,7,1021.4
,2017-06-6,10.7,16.4,,,,SW,59,23:54,13.0,60,8,W,17,1018.7,15.6,42,2,SSW,17,1017.9
,2017-06-7,9.3,15.6,,,,SW,70,00:30,11.2,94,8,SW,22,1021.8,15.0,83,5,SSW,35,1021.3
,2017-06-8,11.2,17.5,4.4,,,SSW,43,14:01,14.4,87,,SW,20,1025.3,16.9,77,,SSW,35,1024.5
,2017-06-9,12.8,17.4,5.2,,,ESE,57,22:30,15.3,85,8,SSW,13,1028.3,16.5,82,3,SSW,31,1028.3
,2017-06-10,14.2,17.1,25.0,,,SE,50,00:55,17.0,75,8,SSE,30,1033.1,14.6,93,8,SSW,13,1031.1
,2017-06-11,12.9,18.4,40.4,,,NW,28,23:10,15.6,87,,SSW,6,1029.1,16.7,81,8,NNE,9,1025.6
,2017-06-12,11.8,18.8,0.2,,,S,31,12:35,16.2,74,,NW,11,1024.8,16.8,76,,S,26,1024.3
,2017-06-13,11.7,17.2,0,,,S,35,11:46,15.3,76,,SW,19,1030.5,16.2,69,,S,24,1029.7
,2017-06-14,13.9,18.7,0,,,NNW,20,19:36,16.2,75,8,SW,7,1031.5,17.7,74,3,NNE,11,1027.9
,2017-06-15,11.7,19.3,0,,,WNW,22,05:23,15.1,77,, ,Calm,1027.6,18.7,75,2,NE,9,1024.3
,2017-06-16,11.4,17.1,0,,,S,30,15:26,14.5,73,7,WSW,13,1025.9,16.3,78,8,S,20,1023.8
,2017-06-17,13.4,17.3,0,,,SSW,30,11:11,15.3,72,8,SW,15,1024.9,16.7,76,8,SSW,17,1022.2
,2017-06-18,12.6,16.9,0,,,SSW,56,10:38,14.7,79,6,SW,28,1026.6,15.6,65,2,S,41,1027.5
,2017-06-19,12.7,17.5,0,,,S,35,11:44,15.5,65,,SW,22,1030.7,17.0,74,,SSE,28,1028.6
,2017-06-20,12.7,18.0,0,,,NW,30,23:07,15.1,72,7,SW,11,1028.8,16.6,66,,NE,7,1024.9
,2017-06-21,8.3,17.4,0,,,SSW,44,11:37,14.6,62,3,SW,19,1026.2,17.0,62,,S,26,1026.0
,2017-06-22,11.1,17.0,0,,,SW,24,01:19,14.3,71,,SW,11,1028.6,16.9,61,,ENE,4,1024.5
,2017-06-23,9.5,18.1,0,,,NW,30,22:35,13.6,68,8,NW,13,1020.0,17.6,54,8,NNW,6,1013.9
,2017-06-24,12.3,18.9,0,,,WNW,56,05:09,14.1,50,,W,22,1016.3,18.0,38,,SW,15,1015.1
,2017-06-25,8.0,18.1,0,,,WSW,48,13:51,11.8,51,,W,4,1017.1,17.6,35,,W,20,1014.9
,2017-06-26,9.9,17.3,0,,,W,35,03:43,13.8,50,,WSW,15,1021.5,16.6,45,,SSE,13,1021.5
,2017-06-27,9.8,16.3,0,,,SSW,20,09:44,13.7,67,4,WSW,13,1026.8,15.4,65,6,S,7,1024.3
,2017-06-28,12.0,17.1,0,,,NNW,37,03:36,15.3,61,8,NW,6,1022.4,15.4,58,8,NW,11,1020.6
,2017-06-29,9.4,16.6,0,,,W,39,22:25,11.5,69,8,WNW,11,1021.6,15.5,62,,SSE,13,1018.4
,2017-06-30,10.0,14.8,0,,,W,43,01:46,11.7,56,,SW,22,1025.2,14.2,32,,SSW,19,1024.4
