"Daily Weather Observations for Wollongong, New South Wales for July 2017"
"Prepared at 13:02 GMT on Monday  7 August 2017   IDCJDW2146.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,7.6,14.4,0,,,WSW,39,01:18,11.2,52,,SW,19,1030.6,13.9,56,,S,20,1028.5
,2017-07-2,7.3,17.7,0,,,NE,24,15:29,12.7,56,,WNW,13,1027.8,16.3,46,,NNE,15,1023.3
,2017-07-3,9.1,15.6,0,,,NNW,35,17:36,13.7,54,1,NE,13,1020.1,14.7,66,7,NNW,11,1014.5
,2017-07-4,10.5,20.9,0.2,,,WNW,31,11:11,15.0,74,,NW,2,1012.9,19.4,45,5,NE,13,1010.1
,2017-07-5,10.5,20.4,0,,,WNW,72,19:39,15.1,59,,N,15,1014.1,19.6,31,3,W,17,1009.9
,2017-07-6,10.9,18.0,0,,,WSW,46,00:19,14.0,52,,WSW,13,1016.8,17.3,36,,W,17,1014.5
,2017-07-7,8.0,18.5,0,,,NW,46,09:56,12.9,56,,NW,19,1012.8,16.7,29,5,SW,19,1009.2
,2017-07-8,8.0,18.0,0,,,WNW,37,13:04,12.4,52,,WSW,9,1015.7,16.5,41,7,WNW,17,1014.4
,2017-07-9,9.5,17.7,0,,,NW,54,04:27,12.7,46,,W,17,1019.9,17.0,33,,W,19,1018.4
,2017-07-10,8.9,16.4,0,,,WNW,43,08:59,12.2,52,,WNW,30,1025.6,15.5,38,,SSE,17,1024.2
,2017-07-11,8.6,16.8,0,,,S,46,14:12,14.4,46,,SW,15,1030.5,15.5,53,,S,35,1030.4
,2017-07-12,10.2,15.8,0,,,SW,37,09:35,12.6,64,,SW,24,1034.3,14.5,67,1,SSW,28,1031.8
,2017-07-13,8.6,18.1,2.0,,,NW,43,09:07,13.4,73,,WNW,7,1028.5,17.2,53,,NNE,20,1022.8
,2017-07-14,9.5,19.7,0.2,,,NW,46,23:27,13.1,65,8,NW,15,1018.5,19.0,49,8,N,17,1013.6
,2017-07-15,12.8,18.6,0,,,WNW,52,00:11,14.2,50,8,SW,13,1019.2,17.2,32,8,WNW,17,1017.6
,2017-07-16,7.7,15.9,0,,,NNW,26,21:55,12.8,49,,WSW,9,1023.5,15.4,42,,NE,15,1020.6
,2017-07-17,10.1,19.2,0,,,NNE,37,23:22,13.5,66,3,W,7,1020.3,17.3,47,8,NNW,17,1016.2
,2017-07-18,10.8,22.2,0,,,NW,65,21:50,16.7,49,,WNW,7,1013.2,22.2,35,,NNW,17,1006.9
,2017-07-19,11.8,16.8,0,,,WNW,74,05:55,12.9,51,,SW,13,1006.1,16.0,37,,W,28,1006.0
,2017-07-20,10.3,15.5,0,,,W,63,14:43,12.4,42,,W,22,1012.6,14.4,34,,W,33,1012.2
,2017-07-21,8.7,16.0,0,,,SSW,43,10:10,12.2,51,,SW,22,1020.9,15.7,44,2,SSW,26,1020.8
,2017-07-22,7.9,20.0,0,,,WNW,41,23:57,12.3,44,,NW,19,1023.1,19.4,18,,W,11,1017.9
,2017-07-23,11.8,22.0,0,,,WNW,65,08:01,15.6,27,,NW,17,1015.5,21.1,27,,NNW,19,1012.0
,2017-07-24,10.8,19.8,0,,,W,48,20:52,15.0,48,,SW,17,1019.2,19.4,29,,W,19,1017.8
,2017-07-25,9.4,21.1,0,,,WSW,35,00:49,13.6,55,,NW,7,1022.1,20.8,28,,WSW,11,1017.8
,2017-07-26,12.7,19.7,0,,,WNW,83,05:13,17.4,41,,W,30,1014.6,19.0,29,,WSW,30,1014.0
,2017-07-27,9.4,16.7,0,,,N,39,22:07,13.8,53,,SW,11,1025.3,15.9,48,,ENE,11,1022.3
,2017-07-28,10.4,18.2,0,,,W,69,11:41,14.2,61,2,NW,28,1016.1,17.9,29,,WSW,24,1015.4
,2017-07-29,9.1,19.7,0,,,NW,46,22:56,13.9,42,,NW,4,1019.9,19.3,32,,NNE,11,1014.4
,2017-07-30,13.8,26.8,0,,,NNW,44,13:31,17.7,33,,NNE,19,1013.0,25.8,23,,NNW,26,1009.4
,2017-07-31,13.5,16.2,0,,,WSW,46,20:03,14.8,72,8,N,9,1018.0,12.0,90,8,WSW,13,1013.6
