"Daily Weather Observations for Hobart, Tasmania for August 2016"
"Prepared at 13:12 GMT on Saturday 12 August 2017   IDCJDW7021.201608"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-08-1,2.1,11.8,0,1.6,5.6,WSW,48,17:49,5.8,67,1,N,11,1008.2,11.2,64,7,S,6,1003.4
,2016-08-2,5.8,13.3,0,0.6,8.8,NNW,54,09:17,8.0,60,1,NNW,35,1014.8,13.1,48,3,SW,17,1015.2
,2016-08-3,8.0,12.5,0,1.4,3.7,S,44,10:37,9.3,68,7,SSW,17,1024.5,10.3,70,3,S,9,1026.4
,2016-08-4,4.5,11.2,2.8,1.6,5.0,NNW,17,09:08,6.4,91,3,NNE,4,1033.7,10.1,62,1,E,6,1032.7
,2016-08-5,3.5,11.9,0.2,1.0,5.0,NNW,20,08:57,5.6,81,7,NNW,15,1033.2,10.5,52,7,NE,6,1030.7
,2016-08-6,3.4,13.3,0.2,1.6,8.9,NNW,30,08:28,5.1,75,6,NNW,20,1030.3,11.9,46,3,N,15,1027.9
,2016-08-7,4.3,13.2,0,1.6,7.2,NW,28,06:24,5.7,80,7,NW,19,1028.9,12.6,48,7,NE,7,1026.2
,2016-08-8,3.6,13.2,0,0.8,6.3,WNW,50,01:52,5.9,75,6,NNW,24,1023.6,12.7,51,7,NNW,15,1019.0
,2016-08-9,5.6,16.3,0,1.6,5.9,N,76,14:46,9.2,75,6,N,9,1012.4,16.1,35,7,N,44,1003.0
,2016-08-10,8.9,14.4,1.4,3.6,8.8,NW,67,15:38,10.4,57,1,NNW,31,999.4,12.9,35,3,NW,41,999.0
,2016-08-11,5.8,12.2,0.2,2.8,5.7,SW,54,11:59,6.7,71,7,NNW,26,1005.0,11.4,53,5,NNW,6,1008.9
,2016-08-12,6.1,16.9,0.2,2.4,5.2,NW,65,13:24,10.5,61,7,N,30,1010.2,16.0,39,7,NNW,31,1005.4
,2016-08-13,8.5,15.1,0,2.8,7.4,W,87,21:00,10.1,68,7,NE,9,1009.5,13.8,61,7,NNW,24,1005.1
,2016-08-14,6.1,16.0,3.0,3.6,7.9,NW,65,04:12,9.5,51,1,N,28,1016.5,15.2,43,3,NNW,28,1015.0
,2016-08-15,9.5,15.6,0,5.2,6.5,N,52,02:10,11.9,63,6,N,15,1023.6,14.3,54,7,NW,20,1022.6
,2016-08-16,9.6,19.2,0,2.0,3.8,NNW,54,02:44,11.9,49,7,N,33,1018.8,19.2,34,7,NNW,19,1013.3
,2016-08-17,8.7,11.8,2.2,1.6,4.7,S,50,12:19,10.1,77,7,S,11,1019.1,10.2,64,6,S,22,1021.2
,2016-08-18,1.7,16.6,1.0,2.0,9.0,,,,4.4,76,3,NNW,13,1018.5,14.4,53,6,NW,15,1012.3
,2016-08-19,4.4,18.0,0.2,3.2,4.3,N,63,12:10,16.5,45,7,NNW,28,1003.9,15.5,60,7,N,28,998.5
,2016-08-20,6.4,11.8,0.8,3.6,0.3,NNW,54,16:09,8.0,66,7,NNW,13,1000.6,11.2,55,7,NNW,22,999.7
,2016-08-21,6.9,13.3,0,0.4,9.7,NW,52,13:49,10.2,53,3,N,20,1005.2,11.6,47,3,NW,30,1005.6
,2016-08-22,5.0,13.8,0.2,3.0,9.3,NW,39,13:28,8.5,55,2,N,11,1010.2,13.0,33,2,NNW,22,1009.3
,2016-08-23,3.0,13.8,0,1.4,8.9,SW,37,15:38,9.0,59,1,NW,17,1014.2,12.3,46,4,NE,13,1012.9
,2016-08-24,4.2,13.2,0,3.6,9.2,SW,33,15:58,8.4,65,1,NW,19,1013.3,11.5,44,4,SSW,17,1009.8
,2016-08-25,3.2,14.1,0,0.4,5.5,S,37,14:01,6.6,68,5,NNW,17,1011.4,9.6,74,7,SE,17,1011.7
,2016-08-26,4.2,15.4,0,0.8,9.4,NNW,70,21:04,10.1,57,1,NNW,30,1012.8,14.6,44,4,NNW,19,1011.1
,2016-08-27,9.2,14.9,0,3.6,3.8,NNW,69,01:42,12.1,54,6,N,24,1010.6,13.8,45,7,NW,31,1007.0
,2016-08-28,5.2,12.3,2.0,3.6,8.4,SW,56,03:20,8.6,43,5,SW,24,1015.9,11.7,38,5,NNW,7,1016.4
,2016-08-29,1.8,12.5,0.2,2.6,10.4,NW,26,07:50,7.2,61,1,NNW,15,1024.6,11.6,51,3,SE,15,1023.0
,2016-08-30,3.7,15.9,0,1.8,5.4,NW,33,08:36,7.9,71,7,NNW,20,1023.2,13.8,59,7,SE,9,1018.6
,2016-08-31,7.8,18.4,1.2,1.0,3.8,NNW,41,10:17,12.5,78,7,N,22,1008.6,17.0,54,7,SE,9,1005.6
