"Daily Weather Observations for Hobart, Tasmania for September 2016"
"Prepared at 13:11 GMT on Friday 11 August 2017   IDCJDW7021.201609"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-09-1,9.7,16.0,1.2,1.8,9.8,NNW,44,07:09,11.5,79,3,NW,22,1011.8,15.4,34,2,WNW,22,1012.1
,2016-09-2,5.9,12.2,1.0,3.8,5.1,ESE,22,13:59,9.7,79,3,NNE,13,1016.0,11.5,54,7,ESE,17,1012.2
,2016-09-3,5.5,14.1,0,1.8,1.6,N,33,22:58,8.5,81,7,NNW,9,1005.6,12.8,73,7,NE,9,1002.8
,2016-09-4,8.3,17.1,0,3.4,10.0,NNW,67,12:35,13.3,59,2,NNW,28,1009.8,15.5,45,3,NNW,33,1010.5
,2016-09-5,11.3,19.6,0,3.6,8.9,NW,52,10:27,14.9,55,4,N,17,1020.2,18.6,37,6,NW,13,1020.3
,2016-09-6,11.4,19.2,0,4.2,7.8,NNW,67,01:45,14.3,50,7,NNW,24,1020.3,18.4,36,4,WNW,28,1021.7
,2016-09-7,4.9,18.5,0,4.0,9.8,NNE,39,16:40,10.5,66,6,N,13,1032.2,18.0,43,1,N,17,1027.5
,2016-09-8,10.1,22.5,0,3.0,7.2,NW,65,14:04,16.7,58,1,N,17,1019.8,20.0,42,7,NNW,28,1015.1
,2016-09-9,13.3,19.8,0.2,4.6,2.1,N,35,02:54,14.7,78,7,NNW,9,1012.7,19.3,56,7,NNE,11,1008.0
,2016-09-10,10.8,15.7,4.2,2.6,4.4,S,35,07:30,11.6,86,7,S,20,1010.3,13.1,67,4,ESE,15,1010.5
,2016-09-11,7.8,17.2,0.2,3.8,1.5,SW,43,22:25,11.9,59,6,N,17,1010.4,13.2,67,7,E,13,1010.7
,2016-09-12,3.6,11.6,0,1.4,6.9,S,31,14:23,9.1,56,1,NNW,15,1019.6,10.1,57,7,SW,19,1020.3
,2016-09-13,4.3,12.3,1.2,3.4,9.5,ESE,24,14:18,9.1,66,2,NNW,9,1027.0,11.9,53,2,ESE,17,1023.2
,2016-09-14,4.6,13.9,0,2.6,6.0,E,35,17:23,10.7,66,3,SE,4,1016.9,12.9,66,7,E,19,1011.7
,2016-09-15,9.5,12.8,22.2,0.4,0.0,SSW,61,09:56,9.5,93,8,SSW,30,1002.8,10.1,83,8,S,17,1003.6
,2016-09-16,6.3,16.1,12.6,2.6,8.4,NNW,39,11:48,12.6,48,3,NW,17,1011.9,15.9,42,5,WNW,19,1010.3
,2016-09-17,7.5,20.1,0,2.0,8.5,NNW,52,09:49,13.4,55,3,NNW,28,1013.9,18.9,36,7,NW,19,1011.3
,2016-09-18,9.8,12.9,2.6,3.2,0.3,NNW,22,02:25,11.0,99,8,W,4,1009.2,12.3,100,7,SE,2,1005.7
,2016-09-19,5.7,14.9,8.0,1.2,6.1,ESE,26,16:05,10.6,99,4,NNW,15,1007.5,13.6,71,5,SE,13,1007.4
,2016-09-20,6.5,17.8,0,2.0,6.9,NNW,30,05:28,8.7,73,7,NNW,6,1013.0,17.2,36,2,NE,11,1010.4
,2016-09-21,8.7,15.1,0.2,1.8,1.3,SE,22,15:36,12.2,73,7, ,Calm,1013.9,14.6,62,7,ESE,9,1011.5
,2016-09-22,7.8,15.6,0,3.4,6.3,SE,28,15:38,13.9,70,7,NNE,7,1015.5,14.1,70,6,ESE,15,1015.0
,2016-09-23,10.2,15.8,0,1.2,5.5,SSE,22,16:17,13.9,69,7,ENE,11,1017.7,15.0,61,6,SE,15,1014.2
,2016-09-24,8.5,19.5,0,2.4,7.8,NE,37,16:24,14.1,61,6,NNW,20,1010.3,18.3,49,7,NNW,19,1005.1
,2016-09-25,10.3,17.3,0,3.0,6.4,WSW,41,13:58,13.3,54,7,SW,11,1003.0,16.0,30,4,SSW,15,1005.0
,2016-09-26,4.9,16.8,0,3.2,10.0,SE,30,15:42,11.7,56,7,NNW,13,1010.7,14.8,44,6,E,17,1007.3
,2016-09-27,5.0,17.7,1.0,2.8,10.9,ESE,31,14:46,10.5,70,3,NNW,20,1008.2,15.3,48,2,ESE,19,1006.1
,2016-09-28,7.6,15.8,0.2,2.8,9.8,NE,33,18:19,13.8,46,1,NNW,19,1009.8,14.8,48,2,ESE,24,1006.2
,2016-09-29,8.2,15.2,0.4,2.8,0.0,ENE,54,13:16,13.7,81,8,NNE,11,997.8,14.2,77,8,ENE,28,994.1
,2016-09-30,11.3,13.8,39.0,4.6,2.5,E,56,04:24,12.6,93,8,ESE,37,989.5,12.0,80,5,NNW,24,987.4
