"Daily Weather Observations for Hobart, Tasmania for October 2016"
"Prepared at 13:08 GMT on Thursday 10 August 2017   IDCJDW7021.201610"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-10-1,6.7,17.8,8.8,2.8,3.3,N,41,13:13,8.9,92,7,NNW,11,993.6,16.5,56,3,N,15,991.1
,2016-10-2,8.9,18.4,1.0,2.0,4.0,N,48,18:44,14.1,55,5,NNW,19,1002.9,17.0,47,7,NNW,11,999.0
,2016-10-3,12.7,17.1,4.6,2.8,7.3,WNW,61,15:27,13.9,78,8,NNE,13,982.9,16.7,38,3,NW,31,983.2
,2016-10-4,8.8,15.8,1.0,5.0,7.2,NW,67,11:01,12.3,48,3,N,22,984.6,12.9,51,7,WSW,24,987.1
,2016-10-5,5.7,14.9,1.8,3.8,6.8,W,104,21:59,9.3,65,7,NNE,19,998.3,10.0,84,7,WNW,26,990.8
,2016-10-6,9.1,19.3,7.2,6.6,9.4,W,94,23:47,13.4,47,3,NE,20,1005.2,17.2,44,7,NW,24,1005.3
,2016-10-7,11.0,18.6,0,5.0,10.9,NW,69,04:10,17.9,53,4,WNW,26,1000.0,17.2,26,1,W,28,1004.4
,2016-10-8,8.1,17.7,0,6.8,10.9,W,48,09:22,10.6,50,3,SW,22,1017.2,17.5,32,2,SW,17,1017.5
,2016-10-9,7.4,18.9,0,4.6,0.7,NNW,106,16:00,11.5,47,8,NNW,30,1005.1,18.2,44,7,NNW,43,992.4
,2016-10-10,7.3,13.1,9.4,4.8,9.0,WNW,80,11:59,7.7,79,7,NW,24,993.6,12.7,45,4,WNW,28,994.2
,2016-10-11,4.6,14.3,4.0,3.2,6.9,NW,57,18:55,10.2,39,1,NNW,22,1004.7,11.4,46,6,ENE,7,1005.8
,2016-10-12,7.5,11.1,1.6,3.0,6.5,S,61,15:57,8.7,66,7,SSW,11,1009.6,8.3,58,4,SW,24,1013.6
,2016-10-13,3.7,15.7,5.2,4.0,7.3,SSW,35,15:38,9.6,57,1,NNW,19,1022.4,15.3,41,7,SW,17,1020.9
,2016-10-14,7.0,16.8,0,3.8,6.9,NNW,37,11:40,10.3,60,7,NNW,17,1022.2,15.6,46,1,NW,17,1017.8
,2016-10-15,8.2,26.1,0,2.4,5.1,NW,80,20:31,15.2,44,6,NNW,33,1006.9,24.9,22,7,NW,37,1001.0
,2016-10-16,14.0,17.9,0.6,6.2,0.0,NW,78,01:51,15.2,78,8,NW,17,994.8,13.4,91,8, ,Calm,993.1
,2016-10-17,7.7,16.3,7.2,3.2,9.0,NNW,67,14:33,12.4,60,1,NNW,20,997.6,15.3,35,7,NW,31,997.4
,2016-10-18,7.3,15.7,0,6.4,9.7,NW,57,11:02,9.6,69,7,NW,15,999.9,14.1,42,4,NW,28,999.0
,2016-10-19,4.9,15.4,0.8,4.6,11.4,NW,59,13:10,8.4,57,2,NNW,28,1011.5,13.8,42,6,NW,24,1013.7
,2016-10-20,5.3,18.0,0.4,2.2,5.9,NNW,59,11:10,10.1,55,7,N,19,1015.3,17.3,34,7,NNW,28,1011.1
,2016-10-21,10.1,15.2,1.0,3.4,0.4,NNW,76,04:05,15.2,66,8,NW,30,1000.7,15.0,45,7,WNW,13,1005.8
,2016-10-22,6.4,12.9,17.2,7.2,7.0,SSW,65,15:30,9.0,73,7,SSW,30,1017.2,10.5,57,4,SSE,33,1019.2
,2016-10-23,5.9,12.8,11.0,4.6,7.2,SSW,50,09:31,8.8,61,6,SSW,9,1024.7,11.0,57,7,SSW,20,1023.0
,2016-10-24,8.1,13.6,0.2,3.2,9.7,SW,33,04:47,12.3,57,3,NNE,9,1019.9,12.4,65,5,ESE,20,1016.1
,2016-10-25,9.3,21.2,0,8.0,12.4,NW,39,08:27,12.8,51,5,N,20,1011.5,20.7,34,2,N,13,1007.3
,2016-10-26,12.4,21.1,0,6.8,12.5,NW,54,08:40,17.1,45,2,NW,28,1004.7,20.0,31,3,NW,19,1004.8
,2016-10-27,7.8,16.8,0.4,4.2,9.7,SSW,44,06:14,11.7,47,1,SW,24,1017.5,13.3,49,2,E,20,1018.1
,2016-10-28,5.9,19.7,0,3.0,9.4,NW,41,10:28,9.8,63,7,NW,17,1019.1,16.8,42,4,ESE,19,1016.0
,2016-10-29,5.9,20.3,0,3.6,12.6,N,37,19:44,12.4,55,2,NNW,22,1019.7,18.1,48,6,ESE,19,1014.7
,2016-10-30,12.4,25.8,0,3.0,6.8,WNW,93,16:08,17.4,68,7,N,24,993.8,24.4,27,3,NW,44,984.2
,2016-10-31,6.7,15.1,0,7.8,9.3,WNW,65,23:58,9.6,53,2,N,28,1000.9,13.0,97,7,WNW,31,1003.1
