"Daily Weather Observations for Hobart, Tasmania for November 2016"
"Prepared at 13:09 GMT on Wednesday  9 August 2017   IDCJDW7021.201611"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-11-1,8.6,16.1,0.6,4.0,12.1,WNW,76,20:01,12.5,56,3,NW,22,999.7,15.0,28,2,WNW,35,999.0
,2016-11-2,6.1,17.3,5.4,7.0,4.9,NW,65,04:27,11.0,53,5,NE,13,1004.5,15.7,60,7,WNW,24,1004.8
,2016-11-3,11.0,18.8,0.2,2.8,5.0,NW,54,11:00,15.5,56,7,NW,26,1010.2,17.2,48,8,NW,22,1009.4
,2016-11-4,11.5,24.5,0,4.6,10.6,WNW,89,18:14,14.8,45,1,N,28,1001.5,23.1,23,6,NW,43,991.0
,2016-11-5,7.2,14.7,7.8,7.4,6.1,WSW,76,14:42,11.6,50,6,ENE,9,994.0,12.0,52,6,WSW,26,996.1
,2016-11-6,8.0,17.1,0.2,3.4,5.0,WNW,50,15:51,10.9,69,7, ,Calm,1000.2,13.4,64,7,SSE,11,999.9
,2016-11-7,10.8,17.9,0.2,3.6,4.1,NNW,72,09:01,14.2,45,8,NNW,43,994.0,16.8,46,8,NNW,22,994.1
,2016-11-8,9.3,17.9,0,5.2,10.6,W,67,09:22,13.5,45,7,NW,30,1000.9,17.8,26,4,WNW,20,1005.4
,2016-11-9,6.6,16.9,0.2,4.2,11.5,SE,37,16:07,12.8,47,2,ESE,7,1012.8,15.7,43,7,ESE,15,1009.7
,2016-11-10,6.7,15.2,0,4.8,5.6,SE,30,15:29,13.7,53,5,N,7,1011.6,13.6,60,7,SSE,19,1011.4
,2016-11-11,9.7,17.3,0,3.6,6.0,SE,30,13:49,11.7,75,7,NW,7,1013.3,15.9,60,3,SE,22,1010.4
,2016-11-12,11.7,15.6,4.0,3.8,1.8,ESE,43,21:50,14.1,77,7,NE,7,1006.7,13.9,72,7,ENE,24,1003.5
,2016-11-13,10.5,11.8,12.4,4.4,0.0,S,46,10:25,10.5,87,8,SSE,24,998.8,11.0,91,8,SSE,24,999.1
,2016-11-14,8.8,14.7,14.4,0.8,2.9,SSW,35,08:27,11.5,63,7,SSW,19,1007.6,12.6,69,7,SE,20,1008.6
,2016-11-15,9.7,19.3,0.4,2.4,8.0,WSW,69,16:27,14.7,62,7,NNW,20,1008.5,17.9,50,6,SW,30,1008.4
,2016-11-16,12.4,18.2,0.2,5.6,7.2,SW,39,00:41,13.0,76,7,SE,20,1019.8,15.8,67,1,SE,20,1020.7
,2016-11-17,10.1,29.6,0,4.0,11.5,NW,69,19:39,18.2,60,4,NNW,24,1014.4,28.0,18,6,NNW,26,1006.6
,2016-11-18,12.3,21.5,0,8.8,12.1,WNW,59,23:18,15.1,41,1,NNW,19,1009.9,20.2,26,1,NW,35,1008.9
,2016-11-19,12.3,23.3,0,9.2,11.7,NNW,46,10:21,16.5,51,3,NNE,13,1015.4,22.8,35,4,NW,19,1014.1
,2016-11-20,11.4,24.4,0,6.6,12.1,SE,37,15:12,15.6,55,7,NNW,15,1015.8,23.1,38,2,SE,19,1013.2
,2016-11-21,13.3,28.5,0,5.0,4.0,NNW,59,21:45,15.8,74,7,NW,24,1008.9,26.3,51,7,N,13,1004.7
,2016-11-22,15.0,18.9,0.8,6.6,7.9,NNW,57,01:26,16.3,40,7,SE,11,1010.2,17.0,48,6,SE,20,1011.9
,2016-11-23,9.5,13.5,15.8,5.6,0.8,SSE,43,16:55,10.6,82,8,S,20,1016.6,12.5,69,8,S,26,1016.5
,2016-11-24,6.1,15.2,1.2,2.4,10.4,SE,37,15:18,12.1,57,6,NE,13,1015.6,13.6,54,2,SE,24,1009.7
,2016-11-25,8.3,15.9,0,4.2,9.9,WSW,72,15:59,12.3,47,7,WSW,35,1006.6,15.3,39,7,WSW,35,1008.8
,2016-11-26,11.9,18.7,0.2,5.8,7.5,WNW,57,03:39,13.1,57,6,NNW,28,1009.2,17.1,49,7,N,9,1009.8
,2016-11-27,11.4,20.3,0,2.4,12.9,SE,31,14:44,16.8,56,2,NNW,15,1015.8,18.6,55,3,SE,17,1013.8
,2016-11-28,10.4,18.2,0,6.6,9.1,SE,39,13:06,14.8,51,4,E,11,1011.8,15.2,59,7,ESE,19,1010.3
,2016-11-29,8.6,17.4,0.8,5.0,5.7,SE,30,11:27,15.0,63,7,NE,11,1014.5,15.7,65,5,SE,20,1014.2
,2016-11-30,12.7,18.7,0.4,5.2,5.4,SW,33,19:15,15.2,78,7,SE,9,1012.9,17.8,59,7,SSE,19,1010.7
