"Daily Weather Observations for Hobart, Tasmania for December 2016"
"Prepared at 13:08 GMT on Tuesday  8 August 2017   IDCJDW7021.201612"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-12-1,13.6,21.4,3.8,4.6,4.2,ENE,33,14:48,16.7,78,7,NW,11,1008.9,20.6,67,7,ESE,20,1004.4
,2016-12-2,13.3,20.9,0.6,4.0,10.7,NW,56,09:38,15.7,56,7,NW,26,1003.5,20.4,24,3,NW,31,1005.6
,2016-12-3,10.2,18.2,0.2,6.0,7.1,SE,39,15:10,14.7,50,7,NNW,13,1013.3,17.4,41,7,SE,19,1012.8
,2016-12-4,8.6,25.0,0,4.6,9.9,N,44,17:38,15.2,59,7,NNW,19,1012.3,24.4,30,7,NE,13,1006.2
,2016-12-5,15.2,22.0,6.6,7.8,12.0,NW,69,01:39,17.9,42,1,NW,30,1001.7,21.4,32,1,NW,28,1006.1
,2016-12-6,11.1,18.7,0,8.8,5.6,NNW,37,20:43,12.2,68,8,E,13,1011.1,17.7,42,5,NNW,9,1008.4
,2016-12-7,12.2,24.8,0,2.8,11.3,NNW,43,00:38,16.7,50,6,N,20,1010.7,24.3,33,4,WNW,20,1008.2
,2016-12-8,11.8,24.0,1.2,5.8,6.4,NNW,83,16:24,13.2,83,8,WNW,6,993.2,23.9,39,1,NNW,35,981.9
,2016-12-9,8.2,16.8,1.6,7.2,10.6,W,69,13:06,11.2,50,4,SSW,22,1006.1,14.7,40,4,SW,30,1009.9
,2016-12-10,9.8,18.9,0,8.0,2.4,NNW,57,11:03,16.8,50,7,NNW,20,1015.9,16.4,48,7,NW,30,1016.3
,2016-12-11,11.3,17.3,0,3.6,10.2,SE,35,15:41,13.5,71,4,E,15,1022.8,16.2,52,2,SE,22,1022.3
,2016-12-12,10.0,28.2,0,4.4,11.6,SSW,65,14:42,17.3,52,2,N,17,1018.7,27.1,24,7,NW,24,1010.5
,2016-12-13,14.6,30.2,0,8.4,5.5,NW,91,14:28,19.9,32,8,NNW,20,1002.8,30.2,18,7,WNW,28,996.5
,2016-12-14,12.1,16.9,0,8.6,10.3,WSW,94,15:57,13.6,38,1,WSW,31,999.5,15.3,28,1,W,48,1003.2
,2016-12-15,10.0,19.9,0,7.8,11.7,NW,35,23:37,14.1,37,3,E,13,1015.9,18.5,38,2,ESE,15,1015.3
,2016-12-16,9.1,21.4,0,4.0,12.8,SW,35,16:22,14.8,61,0,E,7,1013.2,19.4,50,1,SE,26,1007.5
,2016-12-17,12.9,21.0,0,8.2,8.1,W,85,17:11,16.6,61,6,NNW,22,997.1,13.1,55,7,W,30,998.6
,2016-12-18,6.4,18.2,1.0,4.6,11.1,WSW,54,09:27,10.8,48,4,WNW,26,1016.5,16.5,33,3,SW,26,1019.1
,2016-12-19,7.4,24.0,0,7.0,5.5,NNW,63,15:30,13.3,53,7,NNW,26,1013.8,22.3,27,7,NNW,24,1005.6
,2016-12-20,13.3,22.0,0,5.0,7.8,NW,57,23:09,16.9,39,5,NW,26,1000.3,20.1,30,6,NW,28,999.2
,2016-12-21,10.9,19.5,0,4.4,9.0,WSW,80,01:41,14.4,37,5,W,22,1006.7,17.7,30,2,WSW,19,1009.3
,2016-12-22,12.6,21.8,0,8.4,12.7,NNW,46,07:41,18.0,50,4,NNW,13,1017.2,18.7,60,2,SE,26,1016.6
,2016-12-23,12.0,25.5,0,6.4,10.0,ESE,39,13:56,19.5,58,6,N,20,1015.7,17.2,73,7,ESE,30,1014.2
,2016-12-24,14.2,23.9,0,6.4,13.6,SE,33,11:58,18.0,72,1,ENE,7,1015.1,19.9,69,1,ESE,20,1013.8
,2016-12-25,15.7,26.5,0,6.8,13.0,ESE,39,14:12,23.3,60,3,NNW,15,1013.9,19.4,76,2,ESE,24,1012.0
,2016-12-26,17.6,23.6,0,7.2,5.5,SW,48,19:45,20.8,59,7,S,11,1003.7,22.8,48,3,SW,24,1007.2
,2016-12-27,11.2,22.8,0.8,5.6,6.3,NE,31,14:08,15.1,61,7,NNE,6,1020.1,22.2,45,3,NE,19,1016.4
,2016-12-28,14.7,18.0,7.2,5.2,0.0,NNE,26,23:17,16.2,94,8,ENE,2,1008.7,17.4,92,8,SSE,6,1005.7
,2016-12-29,16.0,20.0,12.6,1.4,0.9,SE,24,05:50,16.8,96,8,SE,9,1006.9,18.0,89,8,SE,15,1005.4
,2016-12-30,16.6,25.5,20.8,1.8,7.1,SE,41,16:29,20.0,81,7,S,11,997.2,22.9,72,6,SSW,20,993.4
,2016-12-31,16.3,24.6,0.2,5.2,,NW,43,23:18,17.1,66,7,WNW,15,999.9,22.7,49,6,ESE,9,1000.4
